energy_ev,total_up,Fe_p_up,Fe_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.08346189,0.34639499,0.15840000,0.28157537,1.74501890,0.07900920,0.04307052,0.02413929,0.68434574
-5.99399700,3.14163962,0.35476689,0.15520315,0.28955956,1.77908146,0.08009133,0.04260970,0.02269255,0.69869868
-5.98799400,3.21305427,0.36382933,0.15332523,0.29830699,1.82119714,0.08143565,0.04226901,0.02145954,0.71567999
-5.98199100,3.29564620,0.37346326,0.15258791,0.30765920,1.87024098,0.08299326,0.04204995,0.02043218,0.73478024
-5.97598799,3.38712701,0.38352348,0.15280118,0.31743614,1.92495753,0.08471031,0.04195090,0.01960100,0.75543919
-5.96998499,3.48502984,0.39384146,0.15376850,0.32744022,1.98398580,0.08652924,0.04196703,0.01895520,0.77705984
-5.96398199,3.58676509,0.40422920,0.15529195,0.33746118,2.04588727,0.08839016,0.04209032,0.01848290,0.79902371
-5.95797899,3.68968015,0.41448380,0.15717700,0.34728141,2.10917621,0.09023234,0.04230973,0.01817125,0.82070693
-5.95197599,3.79112164,0.42439289,0.15923712,0.35668168,2.17235173,0.09199576,0.04261138,0.01800662,0.84149666
-5.94597299,3.88849822,0.43374040,0.16129781,0.36544703,2.23393062,0.09362272,0.04297897,0.01797475,0.86080730
-5.93996998,3.97934231,0.44231276,0.16320021,0.37337263,2.29248010,0.09505931,0.04339419,0.01806103,0.87809603
-5.93396698,4.06136880,0.44990500,0.16480409,0.38026940,2.34664963,0.09625693,0.04383721,0.01825064,0.89287712
-5.92796398,4.13252898,0.45632683,0.16599024,0.38596919,2.39520094,0.09717354,0.04428729,0.01852891,0.90473452
-5.92196098,4.19105815,0.46140819,0.16666216,0.39032928,2.43703527,0.09777475,0.04472340,0.01888155,0.91333248
-5.91595798,4.23551574,0.46500427,0.16674710,0.39323622,2.47121742,0.09803479,0.04512482,0.01929502,0.91842366
-5.90995498,4.26481668,0.46699985,0.16619640,0.39460870,2.49699572,0.09793702,0.04547182,0.01975684,0.91985474
-5.90395198,4.27825354,0.46731266,0.16498525,0.39439950,2.51381769,0.09747435,0.04574629,0.02025597,0.91756935
-5.89794897,4.27550909,0.46589596,0.16311183,0.39259653,2.52134097,0.09664929,0.04593227,0.02078320,0.91160822
-5.89194597,4.25665917,0.46274009,0.16059591,0.38922283,2.51943935,0.09547371,0.04601653,0.02133143,0.90210685
-5.88594297,4.22216616,0.45787310,0.15747701,0.38433568,2.50820389,0.09396840,0.04598901,0.02189611,0.88929078
-5.87993997,4.17286362,0.45136044,0.15381223,0.37802496,2.48793921,0.09216231,0.04584319,0.02247542,0.87346867
-5.87393697,4.10993276,0.44330393,0.14967378,0.37041067,2.45915494,0.09009167,0.04557633,0.02307059,0.85502367
-5.86793397,4.03487153,0.43383978,0.14514636,0.36163986,2.42255283,0.08779888,0.04518967,0.02368602,0.83440331
-5.86193097,3.94945732,0.42313615,0.14032445,0.35188315,2.37900950,0.08533127,0.04468845,0.02432938,0.81210831
-5.85592796,3.85570429,0.41139000,0.13530956,0.34133071,2.32955552,0.08273979,0.04408180,0.02501157,0.78868069
-5.84992496,3.75581637,0.39882356,0.13020768,0.33018817,2.27535090,0.08007763,0.04338260,0.02574659,0.76469145
-5.84392196,3.65213694,0.38568037,0.12512674,0.31867222,2.21765786,0.07739881,0.04260708,0.02655133,0.74072831
