energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.98797096,0.01338540,0.02131579,0.00701935,0.00000000,0.03217236,0.42061866,0.22120580,0.16666728
-5.99399700,0.97023664,0.01302077,0.02127881,0.00695215,0.00000000,0.03303898,0.41628454,0.21778935,0.15888579
-5.98799400,0.95984801,0.01264280,0.02151870,0.00693444,0.00000000,0.03411200,0.41433204,0.21574414,0.15310902
-5.98199100,0.95654001,0.01226963,0.02202567,0.00696576,0.00000000,0.03538713,0.41472475,0.21511280,0.14920314
-5.97598799,0.96000817,0.01192055,0.02279074,0.00704532,0.00000000,0.03685576,0.41740410,0.21593641,0.14703189
-5.96998499,0.96991648,0.01161552,0.02380622,0.00717197,0.00000000,0.03850522,0.42229129,0.21825512,0.14645918
-5.96398199,0.98590567,0.01137480,0.02506617,0.00734428,0.00000000,0.04031922,0.42928961,0.22210876,0.14735141
-5.95797899,1.00760179,0.01121848,0.02656677,0.00756049,0.00000000,0.04227843,0.43828748,0.22753748,0.14957936
-5.95197599,1.03462505,0.01116602,0.02830665,0.00781862,0.00000000,0.04436122,0.44916188,0.23458219,0.15301980
-5.94597299,1.06659865,0.01123582,0.03028713,0.00811643,0.00000000,0.04654445,0.46178221,0.24328486,0.15755675
-5.93996998,1.10315737,0.01144477,0.03251225,0.00845157,0.00000000,0.04880430,0.47601435,0.25368856,0.16308257
-5.93396698,1.14395533,0.01180780,0.03498879,0.00882153,0.00000000,0.05111717,0.49172472,0.26583692,0.16949861
-5.92796398,1.18867262,0.01233750,0.03772595,0.00922378,0.00000000,0.05346049,0.50878412,0.27977322,0.17671571
-5.92196098,1.23702011,0.01304366,0.04073505,0.00965575,0.00000000,0.05581351,0.52707107,0.29553870,0.18465420
-5.91595798,1.28874214,0.01393300,0.04402884,0.01011490,0.00000000,0.05815798,0.54647434,0.31317022,0.19324372
-5.90995498,1.34361657,0.01500878,0.04762074,0.01059876,0.00000000,0.06047860,0.56689466,0.33269714,0.20242251
-5.90395198,1.40145193,0.01627057,0.05152387,0.01110491,0.00000000,0.06276346,0.58824518,0.35413749,0.21213640
-5.89794897,1.46208174,0.01771404,0.05574987,0.01163101,0.00000000,0.06500410,0.61045082,0.37749357,0.22233735
-5.89194597,1.52535580,0.01933085,0.06030766,0.01217472,0.00000000,0.06719553,0.63344630,0.40274712,0.23298167
-5.88594297,1.59112907,0.02110860,0.06520212,0.01273374,0.00000000,0.06933597,0.65717305,0.42985421,0.24402795
-5.87993997,1.65924852,0.02303095,0.07043271,0.01330569,0.00000000,0.07142641,0.68157519,0.45874035,0.25543470
-5.87393697,1.72953878,0.02507778,0.07599222,0.01388807,0.00000000,0.07347006,0.70659465,0.48929599,0.26715795
-5.86793397,1.80178736,0.02722552,0.08186565,0.01447819,0.00000000,0.07547162,0.73216596,0.52137286,0.27914888
-5.86193097,1.87573068,0.02944760,0.08802923,0.01507313,0.00000000,0.07743649,0.75821097,0.55478150,0.29135156
-5.85592796,1.95104174,0.03171503,0.09444991,0.01566961,0.00000000,0.07937001,0.78463389,0.58929034,0.30370109
-5.84992496,2.02732074,0.03399708,0.10108502,0.01626403,0.00000000,0.08127660,0.81131718,0.62462656,0.31612219
-5.84392196,2.10408925,0.03626211,0.10788250,0.01685239,0.00000000,0.08315911,0.83811844,0.66047903,0.32852840
-5.83791896,2.18078897,0.03847840,0.11478150,0.01743032,0.00000000,0.08501812,0.86486884,0.69650328,0.34082203
-5.83191596,2.25678538,0.04061510,0.12171345,0.01799308,0.00000000,0.08685154,0.89137319,0.73232854,0.35289488
-5.82591296,2.33137656,0.04264320,0.12860360,0.01853567,0.00000000,0.08865430,0.91741173,0.76756671,0.36462976
-5.81990995,2.40380690,0.04453641,0.13537285,0.01905288,0.00000000,0.09041822,0.94274381,0.80182284,0.37590284
-5.81390695,2.47328538,0.04627206,0.14194003,0.01953941,0.00000000,0.09213216,0.96711316,0.83470671,0.38658664
-5.80790395,2.53900734,0.04783182,0.14822426,0.01999005,0.00000000,0.09378222,0.99025454,0.86584499,0.39655360
-5.80190095,2.60017894,0.04920234,0.15414748,0.02039976,0.00000000,0.09535223,1.01190156,0.89489335,0.40568000
-5.79589795,2.65604264,0.05037566,0.15963692,0.02076390,0.00000000,0.09682424,1.03179508,0.92154784,0.41385007
-5.78989495,2.70590262,0.05134945,0.16462743,0.02107832,0.00000000,0.09817924,1.04969177,0.94555484,0.42096000
-5.78389195,2.74914842,0.05212704,0.16906342,0.02133956,0.00000000,0.09939775,1.06537240,0.96671914,0.42692160
-5.77788894,2.78527557,0.05271715,0.17290054,0.02154494,0.00000000,0.10046060,1.07864934,0.98490949,0.43166549
-5.77188594,2.81390204,0.05313348,0.17610673,0.02169264,0.00000000,0.10134948,1.08937282,1.00006136,0.43514345
-5.76588294,2.83477954,0.05339406,0.17866276,0.02178178,0.00000000,0.10204759,1.09743572,1.01217672,0.43732997
-5.75987994,2.84779922,0.05352045,0.18056220,0.02181245,0.00000000,0.10254004,1.10277658,1.02132088,0.43822280
-5.75387694,2.85299153,0.05353676,0.18181078,0.02178567,0.00000000,0.10281420,1.10538088,1.02761644,0.43784247
-5.74787394,2.85052047,0.05346865,0.18242523,0.02170339,0.00000000,0.10285996,1.10528042,1.03123502,0.43623085
-5.74187094,2.84067294,0.05334226,0.18243169,0.02156833,0.00000000,0.10266977,1.10255114,1.03238700,0.43344893
-5.73586793,2.82384392,0.05318318,0.18186376,0.02138397,0.00000000,0.10223866,1.09730960,1.03131016,0.42957379
-5.72986493,2.80051876,0.05301551,0.18076032,0.02115436,0.00000000,0.10156413,1.08970835,1.02825790,0.42469520
-5.72386193,2.77125386,0.05286108,0.17916336,0.02088402,0.00000000,0.10064597,1.07993075,1.02348770,0.41891188
-5.71785893,2.73665697,0.05273875,0.17711580,0.02057783,0.00000000,0.09948611,1.06818545,1.01725073,0.41232778
-5.71185593,2.69736853,0.05266406,0.17465952,0.02024086,0.00000000,0.09808839,1.05470104,1.00978306,0.40504859
-5.70585293,2.65404484,0.05264895,0.17183380,0.01987830,0.00000000,0.09645841,1.03972107,1.00129900,0.39717859
-5.69984992,2.60734424,0.05270185,0.16867407,0.01949537,0.00000000,0.09460335,1.02349975,0.99198706,0.38881820
-5.69384692,2.55791634,0.05282786,0.16521116,0.01909723,0.00000000,0.09253193,1.00629836,0.98200832,0.38006208
-5.68784392,2.50639495,0.05302917,0.16147104,0.01868895,0.00000000,0.09025433,0.98838244,0.97149745,0.37099804
-5.68184092,2.45339404,0.05330567,0.15747504,0.01827549,0.00000000,0.08778220,0.97001967,0.96056592,0.36170662
-5.67583792,2.39950659,0.05365556,0.15324047,0.01786164,0.00000000,0.08512873,0.95147823,0.94930699,0.35226132
-5.66983492,2.34530540,0.05407609,0.14878160,0.01745208,0.00000000,0.08230865,0.93302545,0.93780192,0.34272931
-5.66383192,2.29134500,0.05456425,0.14411086,0.01705135,0.00000000,0.07933830,0.91492637,0.92612677,0.33317255
-5.65782891,2.23816374,0.05511744,0.13924022,0.01666383,0.00000000,0.07623568,0.89744204,0.91435903,0.32364904
-5.65182591,2.18628499,0.05573393,0.13418251,0.01629376,0.00000000,0.07302032,0.88082726,0.90258351,0.31421407
-5.64582291,2.13621677,0.05641328,0.12895276,0.01594518,0.00000000,0.06971329,0.86532753,0.89089681,0.30492131
-5.63981991,2.08844909,0.05715650,0.12356919,0.01562194,0.00000000,0.06633693,0.85117515,0.87941003,0.29582361
-5.63381691,2.04344865,0.05796605,0.11805406,0.01532758,0.00000000,0.06291463,0.83858449,0.86824933,0.28697326
-5.62781391,2.00165085,0.05884564,0.11243408,0.01506530,0.00000000,0.05947044,0.82774637,0.85755422,0.27842192
-5.62181091,1.96344938,0.05979980,0.10674052,0.01483783,0.00000000,0.05602873,0.81882199,0.84747372,0.27021993
-5.61580790,1.92918378,0.06083337,0.10100889,0.01464736,0.00000000,0.05261362,0.81193655,0.83816050,0.26241522
-5.60980490,1.89912587,0.06195081,0.09527833,0.01449542,0.00000000,0.04924854,0.80717285,0.82976346,0.25505179
-5.60380190,1.87346583,0.06315544,0.08959063,0.01438276,0.00000000,0.04595570,0.80456554,0.82241930,0.24816802
-5.59779890,1.85229903,0.06444868,0.08398908,0.01430930,0.00000000,0.04275559,0.80409616,0.81624350,0.24179474
-5.59179590,1.83561471,0.06582929,0.07851710,0.01427401,0.00000000,0.03966653,0.80568945,0.81132152,0.23595341
-5.58579290,1.82328726,0.06729273,0.07321688,0.01427488,0.00000000,0.03670432,0.80921142,0.80770066,0.23065443
-5.57978989,1.81507116,0.06883060,0.06812791,0.01430893,0.00000000,0.03388194,0.81446919,0.80538333,0.22589582
-5.57378689,1.81060004,0.07043026,0.06328575,0.01437217,0.00000000,0.03120934,0.82121292,0.80432199,0.22166231
-5.56778389,1.80939042,0.07207465,0.05872083,0.01445970,0.00000000,0.02869341,0.82913993,0.80441635,0.21792494
