energy_ev,total_up,Hg_p_up,Hg_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,0.59608344,0.10293362,0.16309481,0.10766935,0.00057008,0.01473353,0.20729072
-5.99399700,0.56378174,0.09629373,0.15413444,0.10357861,0.00052363,0.01369782,0.19383012
-5.98799400,0.53168326,0.08977032,0.14522147,0.09931738,0.00047816,0.01271753,0.18084247
-5.98199100,0.50026489,0.08343456,0.13647686,0.09493342,0.00043421,0.01180140,0.16857899
-5.97598799,0.46998073,0.07735125,0.12801567,0.09047710,0.00039224,0.01095715,0.15727268
-5.96998499,0.44125254,0.07157784,0.11994451,0.08599989,0.00035264,0.01019137,0.14713440
-5.96398199,0.41446109,0.06616365,0.11235933,0.08155287,0.00031573,0.00950952,0.13834961
-5.95797899,0.38993872,0.06114935,0.10534351,0.07718502,0.00028175,0.00891592,0.13107566
-5.95197599,0.36796314,0.05656661,0.09896624,0.07294181,0.00025087,0.00841370,0.12543982
-5.94597299,0.34875248,0.05243789,0.09328138,0.06886367,0.00022318,0.00800484,0.12153762
-5.93996998,0.33246189,0.04877649,0.08832662,0.06498488,0.00019870,0.00769006,0.11943179
-5.93396698,0.31918146,0.04558674,0.08412310,0.06133263,0.00017741,0.00746890,0.11915146
-5.92796398,0.30893553,0.04286433,0.08067538,0.05792638,0.00015923,0.00733962,0.12069176
-5.92196098,0.30168344,0.04059683,0.07797181,0.05477755,0.00014402,0.00729924,0.12401374
-5.91595798,0.29732154,0.03876430,0.07598527,0.05188966,0.00013163,0.00734348,0.12904458
-5.90995498,0.29568660,0.03734001,0.07467422,0.04925860,0.00012186,0.00746684,0.13567820
-5.90395198,0.29656022,0.03629130,0.07398400,0.04687336,0.00011448,0.00766255,0.14377638
-5.89794897,0.29967454,0.03558047,0.07384852,0.04471695,0.00010926,0.00792270,0.15317024
-5.89194597,0.30471886,0.03516579,0.07419205,0.04276748,0.00010596,0.00823826,0.16366251
-5.88594297,0.31134717,0.03500250,0.07493120,0.04099941,0.00010430,0.00859928,0.17503031
-5.87993997,0.31918652,0.03504385,0.07597715,0.03938489,0.00010405,0.00899497,0.18702876
-5.87393697,0.32784591,0.03524224,0.07723780,0.03789506,0.00010494,0.00941396,0.19939534
-5.86793397,0.33692568,0.03555022,0.07862010,0.03650133,0.00010672,0.00984452,0.21185497
-5.86193097,0.34602717,0.03592159,0.08003225,0.03517650,0.00010915,0.01027483,0.22412579
-5.85592796,0.35476239,0.03631237,0.08138594,0.03389582,0.00011202,0.01069329,0.23592547
-5.84992496,0.36276341,0.03668180,0.08259840,0.03263779,0.00011512,0.01108883,0.24697804
-5.84392196,0.36969144,0.03699317,0.08359429,0.03138481,0.00011827,0.01145128,0.25702081
-5.83791896,0.37524509,0.03721465,0.08430741,0.03012360,0.00012130,0.01177167,0.26581129
-5.83191596,0.37916768,0.03731993,0.08468210,0.02884545,0.00012409,0.01204259,0.27313383
-5.82591296,0.38125343,0.03728878,0.08467439,0.02754622,0.00012654,0.01225847,0.27880564
-5.81990995,0.38135218,0.03710752,0.08425278,0.02622626,0.00012858,0.01241590,0.28268203
-5.81390695,0.37937265,0.03676923,0.08339869,0.02489014,0.00013018,0.01251379,0.28466044
-5.80790395,0.37528396,0.03627395,0.08210656,0.02354628,0.00013136,0.01255363,0.28468332
-5.80190095,0.36911552,0.03562866,0.08038356,0.02220652,0.00013215,0.01253953,0.28273953
-5.79589795,0.36095527,0.03484714,0.07824903,0.02088564,0.00013265,0.01247834,0.27886421
-5.78989495,0.35094621,0.03394973,0.07573356,0.01960093,0.00013298,0.01237957,0.27313719
-5.78389195,0.33928164,0.03296298,0.07287782,0.01837164,0.00013331,0.01225531,0.26567991
-5.77788894,0.32619907,0.03191917,0.06973115,0.01721866,0.00013386,0.01212009,0.25665117
-5.77188594,0.31197316,0.03085579,0.06635006,0.01616408,0.00013486,0.01199059,0.24624157
-5.76588294,0.29690802,0.02981500,0.06279658,0.01523093,0.00013660,0.01188536,0.23466734
