energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,W_p_up,W_d_up
0.52526263,2.96570309,0.00217207,0.03327021,0.03464244,0.74171187,0.78152688,2.32963474
0.53126563,2.97919808,0.00216629,0.03147251,0.03374409,0.75097338,0.79161575,2.33518588
0.53726863,2.98256623,0.00215329,0.02977919,0.03268711,0.75695969,0.79811950,2.33365084
0.54327164,2.97567572,0.00213409,0.02819314,0.03148794,0.75968254,0.80105350,2.32486466
0.54927464,2.95868868,0.00210991,0.02671814,0.03016547,0.75923780,0.80052819,2.30888446
0.55527764,2.93205829,0.00208214,0.02535914,0.02874061,0.75580542,0.79674740,2.28598767
0.56128064,2.89651742,0.00205230,0.02412248,0.02723570,0.74964696,0.79000393,2.25666369
0.56728364,2.85305911,0.00202202,0.02301592,0.02567397,0.74110087,0.78067241,2.22159920
0.57328664,2.80290940,0.00199297,0.02204873,0.02407900,0.73057558,0.76919974,2.18165758
0.57928964,2.74749347,0.00196683,0.02123163,0.02247414,0.71854037,0.75609332,2.13785320
0.58529265,2.68839598,0.00194521,0.02057661,0.02088203,0.70551443,0.74190727,2.09132130
0.59129565,2.62731685,0.00192961,0.02009680,0.01932414,0.69205427,0.72722730,2.04328450
0.59729865,2.56602371,0.00192138,0.01980608,0.01782033,0.67873973,0.71265434,1.99501687
0.60330165,2.50630248,0.00192165,0.01971883,0.01638857,0.66615902,0.69878775,1.94780680
0.60930465,2.44990744,0.00193127,0.01984941,0.01504465,0.65489312,0.68620829,1.90291967
0.61530765,2.39851229,0.00195082,0.02021175,0.01380196,0.64550006,0.67546156,1.86156152
0.62131066,2.35366353,0.00198053,0.02081878,0.01267143,0.63849931,0.66704239,1.82484468
0.62731366,2.31673759,0.00202030,0.02168192,0.01166143,0.63435688,0.66138050,1.79375659
0.63331666,2.28890280,0.00206964,0.02281048,0.01077783,0.63347157,0.65882800,1.76913241
0.63931966,2.27108749,0.00212773,0.02421110,0.01002407,0.63616265,0.65964918,1.75163254
0.64532266,2.26395502,0.00219342,0.02588720,0.00940127,0.64265951,0.66401263,1.74172547
0.65132566,2.26788649,0.00226522,0.02783850,0.00890844,0.65309358,0.67198632,1.73967653
0.65732866,2.28297170,0.00234139,0.03006055,0.00854269,0.66749280,0.68353543,1.74554278
0.66333167,2.30900855,0.00242000,0.03254441,0.00829942,0.68577895,0.69852332,1.75917427
0.66933467,2.34551084,0.00249895,0.03527634,0.00817264,0.70776780,0.71671536,1.78022130
0.67533767,2.39172429,0.00257606,0.03823774,0.00815522,0.73317248,0.73778568,1.80814759
0.68134067,2.44665007,0.00264918,0.04140510,0.00823917,0.76160965,0.76132647,1.84224868
0.68734367,2.50907499,0.00271620,0.04475020,0.00841591,0.79260864,0.78685967,1.88167487
0.69334667,2.57760747,0.00277521,0.04824034,0.00867656,0.82562313,0.81385050,1.92545782
0.69934967,2.65071770,0.00282450,0.05183886,0.00901220,0.86004508,0.84172245,1.97253975
0.70535268,2.72678088,0.00286267,0.05550571,0.00941411,0.89522061,0.86987326,2.02180431
0.71135568,2.80412179,0.00288866,0.05919812,0.00987403,0.93046708,0.89769126,2.07210772
0.71735868,2.88105934,0.00290182,0.06287153,0.01038431,0.96509112,0.92457158,2.12230939
0.72336168,2.95594953,0.00290191,0.06648043,0.01093815,0.99840677,0.94993177,2.17130083
0.72936468,3.02722555,0.00288911,0.06997938,0.01152969,1.02975333,0.97322618,2.21803191
0.73536768,3.09343374,0.00286407,0.07332403,0.01215413,1.05851226,0.99395893,2.26153397
0.74137069,3.15326465,0.00282780,0.07647213,0.01280781,1.08412265,1.01169491,2.30093890
0.74737369,3.20557832,0.00278171,0.07938449,0.01348818,1.10609475,1.02606865,2.33549418
0.75337669,3.24942352,0.00272752,0.08202595,0.01419381,1.12402126,1.03679095,2.36457353
0.75937969,3.28405065,0.00266724,0.08436615,0.01492430,1.13758604,1.04365312,2.38768331
