energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,4.55326069,-0.22568773,0.06392546,-0.00106520,0.88385905,-0.05366227,1.05117642,-0.08111885,1.23000463,-0.02351817,0.05223411,-0.00051112,0.93998868,-0.05478182
-5.99399700,4.71390765,-0.22478549,0.06703390,-0.00119476,0.91781949,-0.05541899,1.10503946,-0.08501855,1.27567897,-0.02349844,0.05321147,-0.00057733,0.96869653,-0.05211061
-5.98799400,4.86159109,-0.22726413,0.07011822,-0.00134670,0.94951956,-0.05783072,1.15678791,-0.08974738,1.31850706,-0.02384433,0.05391760,-0.00065723,0.99421223,-0.05045076
-5.98199100,4.99416175,-0.23287686,0.07314083,-0.00152081,0.97848648,-0.06083596,1.20566867,-0.09521374,1.35789855,-0.02453032,0.05433862,-0.00075162,1.01618698,-0.04974652
-5.97598799,5.10964192,-0.24134909,0.07606335,-0.00171659,1.00427341,-0.06436482,1.25094752,-0.10130998,1.39329610,-0.02552827,0.05446511,-0.00086139,1.03432179,-0.04993805
-5.96998499,5.20628565,-0.25238663,0.07884776,-0.00193319,1.02647248,-0.06834075,1.29192878,-0.10791477,1.42419284,-0.02680826,0.05429238,-0.00098749,1.04837735,-0.05096386
-5.96398199,5.28263397,-0.26568427,0.08145766,-0.00216943,1.04472699,-0.07268248,1.32797458,-0.11489595,1.45014873,-0.02833950,0.05382072,-0.00113101,1.05818259,-0.05276305
-5.95797899,5.33756263,-0.28093459,0.08385940,-0.00242374,1.05874235,-0.07730615,1.35852296,-0.12211379,1.47080508,-0.03009122,0.05305541,-0.00129315,1.06364128,-0.05527744
-5.95197599,5.37032008,-0.29783706,0.08602313,-0.00269422,1.06829523,-0.08212765,1.38310407,-0.12942464,1.48589637,-0.03203363,0.05200669,-0.00147526,1.06473649,-0.05845367
-5.94597299,5.38055374,-0.31610726,0.08792367,-0.00297859,1.07324059,-0.08706507,1.40135383,-0.13668484,1.49525901,-0.03413888,0.05068950,-0.00167890,1.06153253,-0.06224506
-5.93996998,5.36832311,-0.33548619,0.08954116,-0.00327431,1.07351604,-0.09204134,1.41302435,-0.14375496,1.49883624,-0.03638208,0.04912316,-0.00190580,1.05417423,-0.06661350
-5.93396698,5.33409892,-0.35574935,0.09086152,-0.00357860,1.06914358,-0.09698678,1.41799078,-0.15050400,1.49667923,-0.03874229,0.04733088,-0.00215797,1.04288338,-0.07153108
-5.92796398,5.27874809,-0.37671555,0.09187661,-0.00388855,1.06022839,-0.10184176,1.41625410,-0.15681376,1.48894409,-0.04120352,0.04533919,-0.00243769,1.02795257,-0.07698155
-5.92196098,5.20350497,-0.39825496,0.09258410,-0.00420122,1.04695496,-0.10655907,1.40793987,-0.16258290,1.47588494,-0.04375565,0.04317732,-0.00274749,1.00973641,-0.08296166
-5.91595798,5.10993012,-0.42029634,0.09298721,-0.00451383,1.02958043,-0.11110625,1.39329289,-0.16773079,1.45784347,-0.04639531,0.04087640,-0.00309026,0.98864056,-0.08948215
-5.90995498,4.99985822,-0.44283290,0.09309407,-0.00482384,1.00842575,-0.11546746,1.37266805,-0.17220091,1.43523542,-0.04912662,0.03846878,-0.00346915,0.96510907,-0.09656842
-5.90395198,4.87533774,-0.46592673,0.09291702,-0.00512920,0.98386495,-0.11964502,1.34651765,-0.17596371,1.40853475,-0.05196180,0.03598722,-0.00388762,0.93961029,-0.10426084
-5.89794897,4.73856480,-0.48971137,0.09247171,-0.00542850,0.95631289,-0.12366056,1.31537601,-0.17901878,1.37825616,-0.05492164,0.03346413,-0.00434939,0.91262228,-0.11261468
-5.89194597,4.59181437,-0.51439250,0.09177615,-0.00572118,0.92621235,-0.12755552,1.27984177,-0.18139630,1.34493706,-0.05803574,0.03093092,-0.00485837,0.88461806,-0.12169955
-5.88594297,4.43737193,-0.54024649,0.09084976,-0.00600771,0.89402076,-0.13139120,1.24055893,-0.18315769,1.30911958,-0.06134254,0.02841732,-0.00541861,0.85605151,-0.13159834
-5.87993997,4.27746843,-0.56761692,0.08971235,-0.00628981,0.86019728,-0.13524830,1.19819728,-0.18439554,1.27133382,-0.06488922,0.02595086,-0.00603421,0.82734452,-0.14240579
-5.87393697,4.11422154,-0.59690911,0.08838335,-0.00657061,0.82519086,-0.13922580,1.15343315,-0.18523267,1.23208280,-0.06873126,0.02355641,-0.00670916,0.79887579,-0.15422652
-5.86793397,3.94958536,-0.62858286,0.08688104,-0.00685481,0.78942952,-0.14343953,1.10693127,-0.18582057,1.19182998,-0.07293197,0.02125585,-0.00744726,0.77097200,-0.16717281
-5.86193097,3.78531056,-0.66314370,0.08522202,-0.00714886,0.75331147,-0.14802020,1.05932841,-0.18633719,1.15098971,-0.07756167,0.01906788,-0.00825195,0.74390140,-0.18136197
-5.85592796,3.62291619,-0.70113297,0.08342085,-0.00746100,0.71719823,-0.15311114,1.01121946,-0.18698420,1.10992098,-0.08269692,0.01700792,-0.00912617,0.71787022,-0.19691363
-5.84992496,3.46367362,-0.74311710,0.08148989,-0.00780138,0.68140987,-0.15886581,0.96314631,-0.18798386,1.06892450,-0.08841944,0.01508810,-0.01007220,0.69302196,-0.21394683
-5.84392196,3.30860277,-0.78967661,0.07943936,-0.00818210,0.64622254,-0.16544516,0.91558987,-0.18957567,1.02824308,-0.09481510,0.01331743,-0.01109154,0.66943935,-0.23257725
-5.83791896,3.15847950,-0.84139497,0.07727752,-0.00861717,0.61186797,-0.17301486,0.86896527,-0.19201270,0.98806501,-0.10197276,0.01170198,-0.01218474,0.64714885,-0.25291449
-5.83191596,3.01385328,-0.89884784,0.07501109,-0.00912241,0.57853504,-0.18174259,0.82362017,-0.19555797,0.94852990,-0.10998306,0.01024519,-0.01335134,0.62612737,-0.27505961
-5.82591296,2.87507303,-0.96259275,0.07264571,-0.00971540,0.54637279,-0.19179535,0.77983593,-0.20048070,0.90973658,-0.11893722,0.00894817,-0.01458977,0.60631069,-0.29910291
-5.81990995,2.74231903,-1.03315937,0.07018651,-0.01041520,0.51549484,-0.20333679,0.73783132,-0.20705255,0.87175224,-0.12892568,0.00781008,-0.01589728,0.58760303,-0.32512201
-5.81390695,2.61563875,-1.11104028,0.06763867,-0.01124215,0.48598456,-0.21652464,0.69776813,-0.21554389,0.83462226,-0.14003679,0.00682856,-0.01726996,0.56988738,-0.35318021
