energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,10.89432225,5.05549921,2.10856945,0.05982798,1.32423938,0.23068126,3.13812189,0.66177701,1.28743456
-5.99399700,10.90970078,5.12287133,2.15955015,0.06065555,1.35983297,0.22772396,3.11608302,0.67095294,1.24921255
-5.98799400,10.91307964,5.17832791,2.20831575,0.06147373,1.39201677,0.22422824,3.09201953,0.67899014,1.21157895
-5.98199100,10.90235960,5.22118243,2.25383001,0.06225506,1.42032142,0.22021568,3.06566919,0.68570940,1.17447505
-5.97598799,10.87544047,5.25093427,2.29503470,0.06296930,1.44431855,0.21571357,3.03674770,0.69095067,1.13779888
-5.96998499,10.83032413,5.26729100,2.33088437,0.06358438,1.46363338,0.21075500,3.00497094,0.69457873,1.10141982
-5.96398199,10.76521582,5.27018306,2.36038269,0.06406767,1.47795630,0.20537897,2.97007709,0.69648803,1.06519338
-5.95797899,10.67861837,5.25976945,2.38261874,0.06438711,1.48705290,0.19963021,2.93184738,0.69660664,1.02897535
-5.95197599,10.56941453,5.23643421,2.39680165,0.06451254,1.49077192,0.19355888,2.89012434,0.69489910,0.99263463
-5.94597299,10.43693319,5.20077337,2.40229176,0.06441689,1.48905061,0.18722006,2.84482664,0.69136796,0.95606404
-5.93996998,10.28099611,5.15357321,2.39862698,0.06407734,1.48191740,0.18067300,2.79595980,0.68605399,0.91918869
-5.93396698,10.10194299,5.09578060,2.38554284,0.06347624,1.46949141,0.17398020,2.74362212,0.67903499,0.88197165
-5.92796398,9.90063385,5.02846716,2.36298527,0.06260198,1.45197905,0.16720620,2.68800585,0.67042333,0.84441679
-5.92196098,9.67842887,4.95278902,2.33111546,0.06144944,1.42966765,0.16041633,2.62939347,0.66036213,0.80656895
-5.91595798,9.43714720,4.86994426,2.29030644,0.06002037,1.40291649,0.15367524,2.56814941,0.64902040,0.76851152
-5.90995498,9.17900693,4.78113046,2.24113145,0.05832335,1.37214552,0.14704543,2.50470780,0.63658727,0.73036205
-5.90395198,8.90654993,4.68750423,2.18434481,0.05637356,1.33782247,0.14058574,2.43955694,0.62326559,0.69226611
-5.89794897,8.62255513,4.59014498,2.12085594,0.05419223,1.30044872,0.13434994,2.37322135,0.60926509,0.65439009
-5.89194597,8.32994495,4.49002433,2.05169789,0.05180597,1.26054470,0.12838542,2.30624235,0.59479544,0.61691333
-5.88594297,8.03168912,4.38798265,1.97799174,0.04924577,1.21863538,0.12273207,2.23915812,0.58005955,0.58002022
-5.87993997,7.73071050,4.28471333,1.90090863,0.04654601,1.17523646,0.11742141,2.17248422,0.56524719,0.54389262
-5.87393697,7.42979674,4.18075512,1.82163094,0.04374321,1.13084174,0.11247590,2.10669538,0.55052936,0.50870305
-5.86793397,7.13152143,4.07649230,1.74131438,0.04087492,1.08591218,0.10790868,2.04220945,0.53605350,0.47460893
-5.86193097,6.83817750,3.97216212,1.66105270,0.03797853,1.04086690,0.10372343,1.97937395,0.52193976,0.44174802
-5.85592796,6.55172492,3.86786830,1.58184613,0.03509016,0.99607641,0.09991467,1.91845586,0.50827828,0.41023520
-5.84992496,6.27375413,3.76359956,1.50457509,0.03224366,0.95185805,0.09646823,1.85963491,0.49512784,0.38016062
-5.84392196,6.00546540,3.65925154,1.42997975,0.02946983,0.90847373,0.09336201,1.80300047,0.48251558,0.35158908
-5.83791896,5.74766432,3.55465081,1.35864618,0.02679571,0.86612975,0.09056697,1.74855216,0.47043792,0.32456048
-5.83191596,5.50077204,3.44957940,1.29099929,0.02424410,0.82497865,0.08804824,1.69620386,0.45886261,0.29909137
-5.82591296,5.26484931,3.34379876,1.22730249,0.02183332,0.78512261,0.08576638,1.64579109,0.44773172,0.27517701
-5.81990995,5.03963214,3.23707196,1.16766373,0.01957709,0.74661827,0.08367879,1.59708119,0.43696546,0.25279418
-5.81390695,4.82457699,3.12918340,1.11204718,0.01748461,0.70948261,0.08174104,1.54978593,0.42646677,0.23190408
-5.80790395,4.61891331,3.01995551,1.06028990,0.01556076,0.67369946,0.07990831,1.50357602,0.41612627,0.21245554
