energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,0.02367053,0.00838881,0.00000000,0.00037460,0.00584587,0.00615393,0.00655019
-5.99399700,0.02198732,0.00777232,0.00000000,0.00032826,0.00551602,0.00545457,0.00599502
-5.98799400,0.02078696,0.00732448,0.00000000,0.00028712,0.00531605,0.00484841,0.00556242
-5.98199100,0.02010809,0.00705841,0.00000000,0.00025126,0.00525789,0.00433825,0.00526061
-5.97598799,0.01998906,0.00698710,0.00000000,0.00022067,0.00535368,0.00392601,0.00509745
-5.96998499,0.02046853,0.00712355,0.00000000,0.00019529,0.00561587,0.00361294,0.00508064
-5.96398199,0.02158571,0.00748092,0.00000000,0.00017505,0.00605727,0.00339987,0.00521782
-5.95797899,0.02338044,0.00807258,0.00000000,0.00015984,0.00669095,0.00328744,0.00551670
-5.95197599,0.02589288,0.00891196,0.00000000,0.00014955,0.00753015,0.00327621,0.00598501
-5.94597299,0.02916289,0.01001242,0.00000000,0.00014407,0.00858798,0.00336688,0.00663048
-5.93996998,0.03322908,0.01138688,0.00000000,0.00014332,0.00987708,0.00356038,0.00746068
-5.93396698,0.03812748,0.01304743,0.00000000,0.00014725,0.01140921,0.00385792,0.00848278
-5.92796398,0.04389007,0.01500478,0.00000000,0.00015586,0.01319468,0.00426104,0.00970333
-5.92196098,0.05054299,0.01726773,0.00000000,0.00016916,0.01524182,0.00477167,0.01112788
-5.91595798,0.05810479,0.01984251,0.00000000,0.00018725,0.01755638,0.00539211,0.01276071
-5.90995498,0.06658463,0.02273223,0.00000000,0.00021028,0.02014091,0.00612509,0.01460447
-5.90395198,0.07598067,0.02593631,0.00000000,0.00023847,0.02299427,0.00697376,0.01665989
-5.89794897,0.08627875,0.02945006,0.00000000,0.00027212,0.02611116,0.00794175,0.01892557
-5.89194597,0.09745155,0.03326440,0.00000000,0.00031161,0.02948183,0.00903332,0.02139784
-5.88594297,0.10945822,0.03736573,0.00000000,0.00035743,0.03309192,0.01025338,0.02407076
-5.87993997,0.12224478,0.04173610,0.00000000,0.00041018,0.03692256,0.01160778,0.02693623
-5.87393697,0.13574518,0.04635358,0.00000000,0.00047058,0.04095063,0.01310340,0.02998430
-5.86793397,0.14988310,0.05119289,0.00000000,0.00053948,0.04514930,0.01474847,0.03320358
-5.86193097,0.16457460,0.05622632,0.00000000,0.00061789,0.04948881,0.01655275,0.03658183
-5.85592796,0.17973134,0.06142484,0.00000000,0.00070694,0.05393746,0.01852781,0.04010666
-5.84992496,0.19526432,0.06675940,0.00000000,0.00080796,0.05846274,0.02068718,0.04376635
-5.84392196,0.21108813,0.07220241,0.00000000,0.00092240,0.06303266,0.02304652,0.04755067
-5.83791896,0.22712514,0.07772915,0.00000000,0.00105186,0.06761710,0.02562361,0.05145174
