energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,5.05077418,-5.05077420,0.88721400,-0.88721400,3.22269372,-3.22269373,0.00181219,-0.00181219,0.44373943,-0.44373943,0.62009182,-0.62009182,0.90925913,-0.90925913,0.49778334,-0.49778334,0.00000000,-0.00000000
-5.99399700,4.90952685,-4.90952687,0.86260479,-0.86260479,3.15452987,-3.15452988,0.00170133,-0.00170133,0.42301300,-0.42301300,0.59184847,-0.59184847,0.86843122,-0.86843123,0.48108003,-0.48108003,0.00000000,-0.00000000
-5.98799400,4.75193711,-4.75193712,0.83548616,-0.83548616,3.07444315,-3.07444315,0.00159132,-0.00159132,0.40139722,-0.40139722,0.56222275,-0.56222276,0.82573883,-0.82573884,0.46271332,-0.46271332,0.00000000,-0.00000000
-5.98199100,4.58010649,-4.58010650,0.80628595,-0.80628595,2.98360545,-2.98360545,0.00148305,-0.00148305,0.37911902,-0.37911902,0.53154509,-0.53154510,0.78166106,-0.78166106,0.44293606,-0.44293606,0.00000000,-0.00000000
-5.97598799,4.39641815,-4.39641817,0.77548251,-0.77548252,2.88341310,-2.88341311,0.00137737,-0.00137737,0.35641150,-0.35641150,0.50015577,-0.50015578,0.73669575,-0.73669575,0.42202792,-0.42202792,0.00000000,-0.00000000
-5.96998499,4.20346650,-4.20346651,0.74359181,-0.74359182,2.77544144,-2.77544145,0.00127505,-0.00127505,0.33350856,-0.33350856,0.46839725,-0.46839726,0.69134744,-0.69134744,0.40028729,-0.40028729,0.00000000,-0.00000000
-5.96398199,4.00398217,-4.00398219,0.71115359,-0.71115359,2.66139509,-2.66139510,0.00117678,-0.00117678,0.31063974,-0.31063974,0.43660671,-0.43660672,0.64611553,-0.64611553,0.37802284,-0.37802284,0.00000000,-0.00000000
-5.95797899,3.80075547,-3.80075548,0.67871713,-0.67871713,2.54305598,-2.54305599,0.00108316,-0.00108316,0.28802535,-0.28802535,0.40510907,-0.40510907,0.60148307,-0.60148307,0.35554500,-0.35554500,0.00000000,-0.00000000
-5.95197599,3.59656081,-3.59656083,0.64682703,-0.64682704,2.42223101,-2.42223102,0.00099474,-0.00099474,0.26587208,-0.26587208,0.37421059,-0.37421059,0.55790645,-0.55790646,0.33315790,-0.33315790,0.00000000,-0.00000000
-5.94597299,3.39408486,-3.39408487,0.61600952,-0.61600952,2.30070131,-2.30070132,0.00091194,-0.00091194,0.24436924,-0.24436925,0.34419332,-0.34419332,0.51580633,-0.51580634,0.31115182,-0.31115182,0.00000000,-0.00000000
-5.93996998,3.19586042,-3.19586043,0.58675949,-0.58675949,2.18017467,-2.18017468,0.00083510,-0.00083510,0.22368560,-0.22368560,0.31531046,-0.31531046,0.47555997,-0.47555997,0.28979647,-0.28979647,0.00000000,-0.00000000
-5.93396698,3.00420811,-3.00420813,0.55952883,-0.55952883,2.06224267,-2.06224267,0.00076448,-0.00076448,0.20396696,-0.20396696,0.28778263,-0.28778263,0.43749512,-0.43749512,0.26933531,-0.26933531,0.00000000,-0.00000000
-5.92796398,2.82118726,-2.82118727,0.53471596,-0.53471597,1.94834363,-1.94834364,0.00070024,-0.00070024,0.18533453,-0.18533453,0.26179530,-0.26179530,0.40188554,-0.40188554,0.24998093,-0.24998093,0.00000000,-0.00000000
-5.92196098,2.64855692,-2.64855693,0.51265711,-0.51265711,1.83973240,-1.83973241,0.00064245,-0.00064245,0.16788399,-0.16788399,0.23749721,-0.23749721,0.36894822,-0.36894822,0.23191168,-0.23191168,0.00000000,-0.00000000
-5.91595798,2.48774796,-2.48774797,0.49361910,-0.49361910,1.73745745,-1.73745746,0.00059109,-0.00059109,0.15168540,-0.15168541,0.21499979,-0.21499980,0.33884213,-0.33884214,0.21526938,-0.21526938,0.00000000,-0.00000000
-5.90995498,2.33984622,-2.33984622,0.47779409,-0.47779409,1.64234580,-1.64234580,0.00054608,-0.00054608,0.13678368,-0.13678369,0.19437765,-0.19437765,0.31166863,-0.31166863,0.20015827,-0.20015828,0.00000000,-0.00000000
-5.90395198,2.20558680,-2.20558681,0.46529607,-0.46529607,1.55499568,-1.55499568,0.00050723,-0.00050723,0.12319984,-0.12319984,0.17566982,-0.17566983,0.28747315,-0.28747315,0.18664502,-0.18664502,0.00000000,-0.00000000
-5.89794897,2.08535915,-2.08535915,0.45615925,-0.45615925,1.47577694,-1.47577695,0.00047434,-0.00047434,0.11093268,-0.11093269,0.15888196,-0.15888196,0.26624832,-0.26624832,0.17475971,-0.17475971,0.00000000,-0.00000000
-5.89194597,1.97922207,-1.97922208,0.45033845,-0.45033845,1.40483875,-1.40483875,0.00044711,-0.00044711,0.09996108,-0.09996108,0.14398904,-0.14398904,0.24793806,-0.24793806,0.16449775,-0.16449775,0.00000000,-0.00000000
-5.88594297,1.88692808,-1.88692808,0.44771133,-0.44771133,1.34212394,-1.34212394,0.00042522,-0.00042522,0.09024651,-0.09024651,0.13093878,-0.13093878,0.23244279,-0.23244279,0.15582255,-0.15582255,0.00000000,-0.00000000
-5.87993997,1.80795565,-1.80795566,0.44808257,-0.44808257,1.28738942,-1.28738942,0.00040832,-0.00040832,0.08173592,-0.08173592,0.11965533,-0.11965533,0.21962531,-0.21962531,0.14866886,-0.14866886,0.00000000,-0.00000000
-5.87393697,1.74154843,-1.74154844,0.45118998,-0.45118998,1.24023158,-1.24023158,0.00039603,-0.00039603,0.07436480,-0.07436480,0.11004336,-0.11004336,0.20931735,-0.20931735,0.14294664,-0.14294664,0.00000000,-0.00000000
-5.86793397,1.68675977,-1.68675978,0.45671232,-0.45671232,1.20011581,-1.20011581,0.00038800,-0.00038800,0.06806021,-0.06806021,0.10199228,-0.10199228,0.20132665,-0.20132665,0.13854541,-0.13854541,0.00000000,-0.00000000
-5.86193097,1.64250120,-1.64250120,0.46427890,-0.46427890,1.16640888,-1.16640889,0.00038385,-0.00038385,0.06274387,-0.06274387,0.09538051,-0.09538051,0.19544421,-0.19544421,0.13533880,-0.13533880,0.00000000,-0.00000000
