energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Te_p_up,Te_d_up
-6.00000000,2.31227694,0.28266241,1.36706594,0.05752945,0.07705119,0.44607151,0.19035559,0.33914843,0.00000000
-5.99399700,2.32101315,0.28758382,1.33496284,0.06128231,0.07951910,0.47421283,0.19810944,0.35340378,0.00000000
-5.98799400,2.35166640,0.29568321,1.31521354,0.06537432,0.08281208,0.50683977,0.20775722,0.37128102,0.00000000
-5.98199100,2.40344502,0.30695906,1.30739023,0.06975505,0.08691215,0.54366205,0.21920838,0.39267058,0.00000000
-5.97598799,2.47515066,0.32135646,1.31083478,0.07436529,0.09178699,0.58431173,0.23233232,0.41740473,0.00000000
-5.96998499,2.56520819,0.33876804,1.32468371,0.07913791,0.09739062,0.62834735,0.24696002,0.44525776,0.00000000
-5.96398199,2.67170486,0.35903617,1.34789780,0.08399903,0.10366456,0.67526023,0.26288687,0.47594738,0.00000000
-5.95797899,2.79243758,0.38195648,1.37929556,0.08886936,0.11053934,0.72448293,0.27987647,0.50913745,0.00000000
-5.95197599,2.92496725,0.40728248,1.41758922,0.09366582,0.11793623,0.77539983,0.29766555,0.54444219,0.00000000
-5.94597299,3.06667860,0.43473115,1.46142231,0.09830330,0.12576939,0.82735960,0.31596972,0.58143170,0.00000000
-5.93996998,3.21484404,0.46398940,1.50940758,0.10269662,0.13394804,0.87968932,0.33449001,0.61963897,0.00000000
-5.93396698,3.36668964,0.49472104,1.56016417,0.10676252,0.14237888,0.93170988,0.35291998,0.65856821,0.00000000
-5.92796398,3.51946140,0.52657424,1.61235275,0.11042172,0.15096843,0.98275218,0.37095322,0.69770432,0.00000000
-5.92196098,3.67048992,0.55918908,1.66470777,0.11360097,0.15962535,1.03217354,0.38829091,0.73652345,0.00000000
-5.91595798,3.81725127,0.59220500,1.71606561,0.11623491,0.16826258,1.07937385,0.40464938,0.77450426,0.00000000
-5.90995498,3.95742235,0.62526790,1.76538802,0.11826788,0.17679924,1.12381060,0.41976713,0.81113954,0.00000000
-5.90395198,4.08892881,0.65803667,1.81178003,0.11965540,0.18516213,1.16501240,0.43341131,0.84594800,0.00000000
-5.89794897,4.20998406,0.69018889,1.85450196,0.12036539,0.19328695,1.20259024,0.44538326,0.87848551,0.00000000
-5.89194597,4.31911806,0.72142554,1.89297538,0.12037901,0.20111894,1.23624592,0.45552298,0.90835567,0.00000000
-5.88594297,4.41519518,0.75147459,1.92678293,0.11969123,0.20861311,1.26577748,0.46371231,0.93521907,0.00000000
-5.87993997,4.49742063,0.78009340,1.95566257,0.11831083,0.21573402,1.29108095,0.46987678,0.95880094,0.00000000
-5.87393697,4.56533563,0.80706981,1.97949656,0.11626010,0.22245505,1.31214868,0.47398596,0.97889676,0.00000000
-5.86793397,4.61880189,0.83222211,1.99829623,0.11357419,0.22875729,1.32906400,0.47605243,0.99537577,0.00000000
