energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,1.79111695,0.11007642,0.00204558,0.01553022,1.16911996,1.02723339,0.67756793
-5.99399700,1.76021829,0.10770207,0.00201831,0.01519675,1.14903252,1.00997034,0.66737757
-5.98799400,1.72218821,0.10496000,0.00198306,0.01480481,1.12381321,0.98958004,0.65411628
-5.98199100,1.67786226,0.10191468,0.00194068,0.01436146,1.09397779,0.96656852,0.63808095
-5.97598799,1.62822797,0.09864140,0.00189221,0.01387509,1.06014125,0.94152103,0.61962862
-5.96998499,1.57439331,0.09522382,0.00183881,0.01335512,1.02299818,0.91508271,0.59916507
-5.96398199,1.51755228,0.09175133,0.00178174,0.01281179,0.98330158,0.88793776,0.57713233
-5.95797899,1.45894884,0.08831625,0.00172234,0.01225580,0.94184059,0.86078765,0.55399553
-5.95197599,1.39984024,0.08501091,0.00166197,0.01169797,0.89941797,0.83432906,0.53022946
-5.94597299,1.34146087,0.08192495,0.00160199,0.01114898,0.85682792,0.80923211,0.50630528
-5.93996998,1.28498770,0.07914259,0.00154369,0.01061897,0.81483509,0.78611953,0.48267781
-5.93396698,1.23150834,0.07674026,0.00148830,0.01011730,0.77415511,0.76554731,0.45977368
-5.92796398,1.18199255,0.07478450,0.00143691,0.00965222,0.73543748,0.74798744,0.43798080
-5.92196098,1.13726803,0.07333019,0.00139046,0.00923066,0.69925093,0.73381318,0.41763929
-5.91595798,1.09800108,0.07241927,0.00134972,0.00885805,0.66607186,0.72328734,0.39903424
-5.90995498,1.06468262,0.07207982,0.00131525,0.00853814,0.63627588,0.71655408,0.38239025
-5.90395198,1.03761984,0.07232568,0.00128740,0.00827296,0.61013272,0.71363432,0.36786813
-5.89794897,1.01693366,0.07315644,0.00126628,0.00806277,0.58780444,0.71442507,0.35556346
-5.89194597,1.00256190,0.07455790,0.00125178,0.00790610,0.56934686,0.71870286,0.34550733
