energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,2.65262442,-2.59755800,0.02768949,-0.03078741,0.21404681,-0.18128699,1.34127575,-1.34678556,0.55720173,-0.45355079,1.48137426,-1.51419387,0.00000000,-0.00000000,0.66350234,-0.67830259,0.26428878,-0.27495538
-5.99399700,2.61236254,-2.55759384,0.02601385,-0.02892734,0.21669601,-0.18376086,1.32279175,-1.33000244,0.56625737,-0.46272291,1.44834902,-1.48143804,0.00000000,-0.00000000,0.64930777,-0.66310909,0.25592500,-0.26612460
-5.98799400,2.57146859,-2.51888609,0.02438044,-0.02709331,0.21901045,-0.18648555,1.30353196,-1.31306848,0.57438976,-0.47230931,1.41566854,-1.44938194,0.00000000,-0.00000000,0.63565458,-0.64860820,0.24790338,-0.25761938
-5.98199100,2.52964422,-2.48155190,0.02279457,-0.02529646,0.22089248,-0.18942433,1.28337801,-1.29601647,0.58134886,-0.48217338,1.38328372,-1.41817189,0.00000000,-0.00000000,0.62249537,-0.63485282,0.24023466,-0.24949505
-5.97598799,2.48649694,-2.44549246,0.02125998,-0.02354593,0.22224202,-0.19251849,1.26216636,-1.27878190,0.58688781,-0.49213666,1.35107707,-1.38783179,0.00000000,-0.00000000,0.60974569,-0.62183396,0.23291074,-0.24178001
-5.96998499,2.44158340,-2.41041978,0.01977925,-0.02184904,0.22296173,-0.19568914,1.23970789,-1.26121665,0.59077540,-0.50198539,1.31888501,-1.35827903,0.00000000,-0.00000000,0.59729526,-0.60948911,0.22590879,-0.23447840
-5.96398199,2.39445388,-2.37589200,0.01835406,-0.02021156,0.22296217,-0.19884012,1.21580832,-1.24310686,0.59280817,-0.51147890,1.28652088,-1.32934498,0.00000000,-0.00000000,0.58501950,-0.59771282,0.21919559,-0.22757370
-5.95797899,2.34469507,-2.34135501,0.01698548,-0.01863797,0.22216701,-0.20186173,1.19028830,-1.22419407,0.59282162,-0.52035937,1.25379725,-1.30079869,0.00000000,-0.00000000,0.57279083,-0.58636861,0.21273194,-0.22103306
-5.95197599,2.29196887,-2.30618777,0.01567428,-0.01713168,0.22051777,-0.20463520,1.16300174,-1.20419801,0.59069998,-0.52836258,1.22054626,-1.27237228,0.00000000,-0.00000000,0.56048889,-0.57530174,0.20647683,-0.21481200
-5.94597299,2.23604502,-2.26974870,0.01442103,-0.01569525,0.21797806,-0.20703769,1.13385164,-1.18283984,0.58638395,-0.53522911,1.18663667,-1.24378644,0.00000000,-0.00000000,0.54800929,-0.56435172,0.20039103,-0.20885927
