energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up
-6.00000000,2.49653707,0.12817767,1.95760676,0.16441044,0.00831095,0.03962000,0.08093712,0.20623018
-5.99399700,2.31173008,0.11870952,1.80195116,0.15428202,0.00748979,0.04053892,0.07310549,0.19657991
-5.98799400,2.14735683,0.11026635,1.66240987,0.14541953,0.00674939,0.04193925,0.06568697,0.18863601
-5.98199100,2.00365348,0.10287280,1.53911536,0.13784360,0.00609041,0.04381898,0.05872950,0.18244001
-5.97598799,1.88039131,0.09652829,1.43184409,0.13154111,0.00551177,0.04616629,0.05226799,0.17799133
-5.96998499,1.77690770,0.09120868,1.34004360,0.12646734,0.00501088,0.04895933,0.04632465,0.17524830
-5.96398199,1.69214728,0.08686830,1.26286713,0.12254886,0.00458382,0.05216623,0.04090969,0.17413015
-5.95797899,1.62471154,0.08344259,1.19921437,0.11968704,0.00422564,0.05574529,0.03602230,0.17451996
-5.95197599,1.57291523,0.08085097,1.14777674,0.11776213,0.00393052,0.05964554,0.03165192,0.17626854
-5.94597299,1.53484763,0.07900001,1.10708588,0.11663781,0.00369210,0.06380745,0.02777964,0.17919908
-5.93996998,1.50843689,0.07778675,1.07556374,0.11616587,0.00350367,0.06816400,0.02437964,0.18311245
-5.93396698,1.49151556,0.07710208,1.05157268,0.11619114,0.00335842,0.07264205,0.02142083,0.18779308
-5.92796398,1.48188549,0.07683409,1.03346445,0.11655627,0.00324968,0.07716388,0.01886825,0.19301518
-5.92196098,1.47738038,0.07687131,1.01962644,0.11710643,0.00317109,0.08164911,0.01668461,0.19854927
-5.91595798,1.47592441,0.07710580,1.00852416,0.11769369,0.00311680,0.08601670,0.01483153,0.20416874
-5.90995498,1.47558550,0.07743595,0.99873897,0.11818098,0.00308168,0.09018719,0.01327080,0.20965637
-5.90395198,1.47462195,0.07776897,0.98900005,0.11844548,0.00306141,0.09408498,0.01196542,0.21481061
-5.89794897,1.47152139,0.07802312,0.97821006,0.11838150,0.00305266,0.09764068,0.01088039,0.21945141
-5.89194597,1.46503142,0.07812942,0.96546404,0.11790259,0.00305319,0.10079338,0.00998350,0.22342559
-5.88594297,1.45418121,0.07803303,0.95006129,0.11694299,0.00306195,0.10349279,0.00924583,0.22661140
-5.87993997,1.43829404,0.07769420,0.93151025,0.11545832,0.00307913,0.10570122,0.00864208,0.22892236
-5.87393697,1.41699080,0.07708881,0.90952672,0.11342558,0.00310623,0.10739521,0.00815089,0.23031011
-5.86793397,1.39018470,0.07620842,0.88402573,0.11084241,0.00314614,0.10856690,0.00775485,0.23076632
-5.86193097,1.35806801,0.07506005,0.85510783,0.10772585,0.00320308,0.10922496,0.00744058,0.23032344
