energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,4.05538191,0.43482366,2.26461400,0.08126781,0.08423427,0.14934703,0.46014125,0.16842608,0.47622053
-5.99399700,3.94535951,0.43428533,2.18269494,0.07708497,0.08223377,0.13893261,0.46498324,0.16529032,0.45510101
-5.98799400,3.84041302,0.43400232,2.10499623,0.07316133,0.08021837,0.12881469,0.46967920,0.16243928,0.43461235
-5.98199100,3.74141550,0.43398900,2.03211133,0.06957530,0.07821816,0.11910542,0.47414681,0.15992550,0.41498286
-5.97598799,3.64900718,0.43422764,1.96447468,0.06639829,0.07625729,0.10990025,0.47829493,0.15778693,0.39641310
-5.96998499,3.56361013,0.43467005,1.90236598,0.06369323,0.07435350,0.10127693,0.48203018,0.15604802,0.37907551
-5.96398199,3.48545423,0.43524128,1.84592082,0.06151325,0.07251799,0.09329517,0.48526456,0.15472173,0.36311557
-5.95797899,3.41461217,0.43584509,1.79514646,0.05990068,0.07075583,0.08599705,0.48792366,0.15381227,0.34865428
-5.95197599,3.35104084,0.43637092,1.74994135,0.05888627,0.06906659,0.07940795,0.48995507,0.15331846,0.33579179
-5.94597299,3.29462611,0.43670178,1.71011701,0.05848869,0.06744534,0.07353793,0.49133638,0.15323742,0.32461166
-5.93996998,3.24522799,0.43672278,1.67542080,0.05871420,0.06588385,0.06838356,0.49208246,0.15356839,0.31518560
-5.93396698,3.20272337,0.43632956,1.64555829,0.05955658,0.06437190,0.06392989,0.49225142,0.15431639,0.30757819
-5.92796398,3.16704359,0.43543626,1.62021408,0.06099729,0.06289865,0.06015265,0.49194890,0.15549548,0.30185123
-5.92196098,3.13820480,0.43398245,1.59907017,0.06300578,0.06145392,0.05702037,0.49133031,0.15713139,0.29806741
-5.91595798,3.11632924,0.43193869,1.58182109,0.06554008,0.06002939,0.05449647,0.49060078,0.15926329,0.29629296
-5.90995498,3.10165637,0.42931031,1.56818555,0.06854751,0.05861950,0.05254115,0.49001273,0.16194452,0.29659910
-5.90395198,3.09454329,0.42613923,1.55791420,0.07196571,0.05722221,0.05111299,0.48986082,0.16524225,0.29906212
-5.89794897,3.09545442,0.42250377,1.55079378,0.07572380,0.05583935,0.05017030,0.49047458,0.16923595,0.30376189
-5.89194597,3.10494106,0.41851625,1.54664774,0.07974379,0.05447673,0.04967215,0.49220879,0.17401469,0.31077898
