energy_ev,total_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,4.13671325,1.90584657,2.11276738,0.00126351,2.61557537,0.03781518,0.00024626
-5.99399700,4.22225101,1.96229075,2.15412191,0.00120142,2.65729868,0.03725300,0.00025184
-5.98799400,4.28661460,2.00913346,2.18372970,0.00114195,2.68503683,0.03654780,0.00025636
-5.98199100,4.32831478,2.04526311,2.20083922,0.00108590,2.69805097,0.03572024,0.00025976
-5.97598799,4.34636982,2.06984158,2.20497729,0.00103443,2.69595463,0.03479399,0.00026196
-5.96998499,4.34033816,2.08232718,2.19596364,0.00098905,2.67872652,0.03379548,0.00026295
-5.96398199,4.31033752,2.08249040,2.17391711,0.00095151,2.64671355,0.03275352,0.00026269
-5.95797899,4.25704914,2.07042126,2.13925322,0.00092384,2.60062385,0.03169911,0.00026121
-5.95197599,4.18170616,2.04652774,2.09267270,0.00090830,2.54150943,0.03066510,0.00025853
-5.94597299,4.08606586,2.01152492,2.03514135,0.00090732,2.47073890,0.02968598,0.00025472
-5.93996998,3.97236633,1.96641490,1.96786184,0.00092354,2.38996086,0.02879761,0.00024988
-5.93396698,3.84326845,1.91245818,1.89223831,0.00095980,2.30105903,0.02803696,0.00024411
-5.92796398,3.70178514,1.85113721,1.80983523,0.00101906,2.20610077,0.02744183,0.00023756
-5.92196098,3.55119997,1.78411357,1.72233196,0.00110447,2.10728035,0.02705055,0.00023037
-5.91595798,3.39497809,1.71318016,1.63147470,0.00121932,2.00685927,0.02690160,0.00022274
-5.90995498,3.23667232,1.64021006,1.53902766,0.00136702,1.90710531,0.02703318,0.00021484
-5.90395198,3.07982775,1.56710400,1.44672525,0.00155108,1.81023249,0.02748273,0.00020687
-5.89794897,2.92788792,1.49573808,1.35622678,0.00177510,1.71834377,0.02828637,0.00019903
-5.89194597,2.78410578,1.42791348,1.26907538,0.00204270,1.63337826,0.02947821,0.00019151
-5.88594297,2.65146207,1.36530978,1.18666217,0.00235748,1.55706448,0.03108967,0.00018448
-5.87993997,2.53259368,1.30944311,1.11019683,0.00272297,1.49088076,0.03314868,0.00017813
-5.87393697,2.42973381,1.26163032,1.04068503,0.00314257,1.43602397,0.03567889,0.00017259
-5.86793397,2.34466546,1.22295985,0.97891333,0.00361944,1.39338688,0.03869876,0.00016800
-5.86193097,2.27868922,1.19427001,0.92544131,0.00415643,1.36354476,0.04222076,0.00016445
-5.85592796,2.23260563,1.17613475,0.88060098,0.00475601,1.34675099,0.04625054,0.00016202
-5.84992496,2.20671223,1.16885700,0.84450283,0.00542012,1.34294158,0.05078617,0.00016072
-5.84392196,2.20081459,1.17246935,0.81704799,0.00615013,1.35174809,0.05581749,0.00016058
-5.83791896,2.21425051,1.18674182,0.79794564,0.00694671,1.37251823,0.06132556,0.00016156
-5.83191596,2.24592623,1.21119586,0.78673489,0.00780973,1.40434340,0.06728234,0.00016361
-5.82591296,2.29436294,1.24512434,0.78281001,0.00873820,1.44609213,0.07365047,0.00016665
-5.81990995,2.35775212,1.28761645,0.78544828,0.00973017,1.49644842,0.08038338,0.00017056
-5.81390695,2.43401782,1.33758703,0.79383927,0.01078271,1.55395383,0.08742554,0.00017521
-5.80790395,2.52088392,1.39380926,0.80711490,0.01189184,1.61705225,0.09471307,0.00018046
-5.80190095,2.61594461,1.45495014,0.82437920,0.01305254,1.68413601,0.10217451,0.00018616
-5.79589795,2.71673602,1.51960768,0.84473717,0.01425875,1.75359230,0.10973201,0.00019214
-5.78989495,2.82080731,1.58634910,0.86732195,0.01550345,1.82384865,0.11730261,0.00019824
-5.78389195,2.92578931,1.65374915,0.89131973,0.01677873,1.89341637,0.12479992,0.00020431
-5.77788894,3.02945923,1.72042764,0.91599193,0.01807591,1.96093083,0.13213589,0.00021019
-5.77188594,3.12979965,1.78508532,0.94069405,0.01938573,2.02518767,0.13922286,0.00021576
-5.76588294,3.22505074,1.84653720,0.96489110,0.02069850,2.08517391,0.14597565,0.00022089
-5.75987994,3.31375414,1.90374257,0.98816903,0.02200439,2.14009319,0.15231376,0.00022549
-5.75387694,3.39478768,1.95583063,1.01024226,0.02329364,2.18938451,0.15816359,0.00022950
-5.74787394,3.46738991,2.00212117,1.03095702,0.02455686,2.23273383,0.16346050,0.00023287
-5.74187094,3.53117382,2.04213947,1.05029044,0.02578528,2.27007820,0.16815081,0.00023559
-5.73586793,3.58612926,2.07562478,1.06834557,0.02697108,2.30160213,0.17219346,0.00023767
-5.72986493,3.63261373,2.10253194,1.08534233,0.02810761,2.32772620,0.17556144,0.00023915
-5.72386193,3.67133165,2.12302598,1.10160460,0.02918963,2.34908808,0.17824275,0.00024010
-5.71785893,3.70330226,2.13746934,1.11754379,0.03021347,2.36651618,0.18024096,0.00024062
-5.71185593,3.72981683,2.14640228,1.13363914,0.03117716,2.38099662,0.18157519,0.00024083
-5.70585293,3.75238591,2.15051663,1.15041548,0.03208047,2.39363427,0.18227957,0.00024087
-5.69984992,3.77267805,2.15062382,1.16841867,0.03292486,2.40560885,0.18240220,0.00024088
-5.69384692,3.79245144,2.14761815,1.18818973,0.03371337,2.41812729,0.18200345,0.00024104
-5.68784392,3.81348051,2.14243671,1.21023825,0.03445034,2.43237384,0.18115388,0.00024151
-5.68184092,3.83747972,2.13601735,1.23501601,0.03514121,2.44945962,0.17993160,0.00024247
-5.67583792,3.86602715,2.12925658,1.26289178,0.03579205,2.47037322,0.17841938,0.00024408
-5.66983492,3.90049083,2.12296922,1.29412822,0.03640920,2.49593437,0.17670150,0.00024650
-5.66383192,3.94196058,2.11785157,1.32886201,0.03699880,2.52675258,0.17486040,0.00024986
-5.65782891,3.99118853,2.11445004,1.36708803,0.03756629,2.56319264,0.17297355,0.00025427
-5.65182591,4.04854115,2.11313683,1.40864870,0.03811599,2.60534871,0.17111031,0.00025981
-5.64582291,4.11396542,2.11409411,1.45322907,0.03865068,2.65302858,0.16932928,0.00026654
-5.63981991,4.18697146,2.11730767,1.50035845,0.03917127,2.70574934,0.16767600,0.00027446
-5.63381691,4.26663311,2.12257069,1.54941877,0.03967657,2.76274527,0.16618126,0.00028354
-5.62781391,4.35160765,2.12949790,1.59965999,0.04016314,2.82298835,0.16486009,0.00029370
-5.62181091,4.44017468,2.13754957,1.65022214,0.04062531,2.88522109,0.16371148,0.00030483
-5.61580790,4.53029342,2.14606468,1.70016370,0.04105531,2.94800106,0.16271878,0.00031675
-5.60980490,4.61967690,2.15430168,1.74849524,0.04144353,3.00975564,0.16185089,0.00032928
-5.60380190,4.70588047,2.16148533,1.79421736,0.04177896,3.06884513,0.16106411,0.00034217
-5.59779890,4.78640116,2.16685724,1.83636138,0.04204961,3.12363185,0.16030453,0.00035517
-5.59179590,4.85878409,2.16972783,1.87403115,0.04224316,3.17255233,0.15951097,0.00036798
-5.58579290,4.92073117,2.16952718,1.90644416,0.04234754,3.21418956,0.15861818,0.00038032
