energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,0.15194771,0.00001396,0.06632465,0.00474665,0.00024411,0.06201087,0.08427945
-5.99399700,0.12506813,0.00001138,0.05456816,0.00389691,0.00020195,0.05087414,0.06942955
-5.98799400,0.10222595,0.00000921,0.04458305,0.00317722,0.00016590,0.04145061,0.05679571
-5.98199100,0.08297238,0.00000741,0.03617113,0.00257254,0.00013532,0.03353998,0.04613516
-5.97598799,0.06687443,0.00000592,0.02914153,0.00206852,0.00010959,0.02695174,0.03721267
-5.96998499,0.05352262,0.00000470,0.02331401,0.00165171,0.00008813,0.02150786,0.02980501
-5.96398199,0.04253653,0.00000370,0.01852135,0.00130974,0.00007037,0.01704467,0.02370418
-5.95797899,0.03356846,0.00000290,0.01461087,0.00103134,0.00005579,0.01341395,0.01871955
-5.95197599,0.02630528,0.00000226,0.01144524,0.00080646,0.00004393,0.01048328,0.01467908
-5.94597299,0.02046889,0.00000174,0.00890260,0.00062622,0.00003435,0.00813592,0.01142966
-5.93996998,0.01581557,0.00000134,0.00687623,0.00048286,0.00002668,0.00627023,0.00883687
-5.93396698,0.01213429,0.00000102,0.00527382,0.00036973,0.00002060,0.00479875,0.00678413
-5.92796398,0.00924458,0.00000077,0.00401646,0.00028112,0.00001583,0.00364709,0.00517158
-5.92196098,0.00699377,0.00000058,0.00303746,0.00021225,0.00001213,0.00275268,0.00391465
-5.91595798,0.00525424,0.00000044,0.00228110,0.00015912,0.00000932,0.00206344,0.00294253
-5.90995498,0.00392038,0.00000033,0.00170130,0.00011846,0.00000723,0.00153651,0.00219655
-5.90395198,0.00290580,0.00000025,0.00126036,0.00008757,0.00000577,0.00113698,0.00162866
-5.89794897,0.00214054,0.00000020,0.00092777,0.00006428,0.00000486,0.00083674,0.00119990
-5.89194597,0.00156863,0.00000016,0.00067911,0.00004685,0.00000446,0.00061342,0.00087903
-5.88594297,0.00114579,0.00000014,0.00049506,0.00003391,0.00000459,0.00044947,0.00064132
-5.87993997,0.00083750,0.00000014,0.00036052,0.00002437,0.00000531,0.00033132,0.00046738
-5.87393697,0.00061729,0.00000015,0.00026386,0.00001739,0.00000674,0.00024877,0.00034232
-5.86793397,0.00046539,0.00000019,0.00019635,0.00001232,0.00000909,0.00019437,0.00025488
-5.86193097,0.00036754,0.00000025,0.00015158,0.00000867,0.00001264,0.00016306,0.00019683
-5.85592796,0.00031417,0.00000034,0.00012511,0.00000606,0.00001783,0.00015183,0.00016246
-5.84992496,0.00029977,0.00000048,0.00011418,0.00000420,0.00002523,0.00015956,0.00014820
-5.84392196,0.00032247,0.00000067,0.00011746,0.00000289,0.00003564,0.00018691,0.00015235
-5.83791896,0.00038391,0.00000094,0.00013500,0.00000198,0.00005011,0.00023637,0.00017497
-5.83191596,0.00048922,0.00000132,0.00016814,0.00000134,0.00007004,0.00031238,0.00021778
-5.82591296,0.00064726,0.00000183,0.00021956,0.00000091,0.00009726,0.00042162,0.00028427
-5.81990995,0.00087106,0.00000252,0.00029344,0.00000061,0.00013412,0.00057328,0.00037983
-5.81390695,0.00117840,0.00000345,0.00039558,0.00000040,0.00018366,0.00077959,0.00051196
-5.80790395,0.00159264,0.00000469,0.00053367,0.00000027,0.00024971,0.00105637,0.00069063
-5.80190095,0.00214363,0.00000634,0.00071764,0.00000018,0.00033711,0.00142366,0.00092866
-5.79589795,0.00286888,0.00000849,0.00095996,0.00000011,0.00045186,0.00190657,0.00124219
-5.78989495,0.00381481,0.00001131,0.00127610,0.00000008,0.00060134,0.00253609,0.00165125
-5.78389195,0.00503816,0.00001494,0.00168499,0.00000005,0.00079457,0.00335003,0.00218028
-5.77788894,0.00660741,0.00001961,0.00220944,0.00000004,0.00104240,0.00439404,0.00285884
-5.77188594,0.00860425,0.00002555,0.00287672,0.00000003,0.00135780,0.00572255,0.00372216
-5.76588294,0.01112504,0.00003305,0.00371892,0.00000003,0.00175605,0.00739975,0.00481175
-5.75987994,0.01428204,0.00004245,0.00477343,0.00000003,0.00225497,0.00950046,0.00617596
-5.75387694,0.01820444,0.00005415,0.00608325,0.00000004,0.00287509,0.01211081,0.00787037
-5.74787394,0.02303900,0.00006858,0.00769716,0.00000006,0.00363978,0.01532867,0.00995806
-5.74187094,0.02895023,0.00008624,0.00966978,0.00000008,0.00457525,0.01926383,0.01250961
-5.73586793,0.03611986,0.00010770,0.01206136,0.00000012,0.00571057,0.02403764,0.01560284
-5.72986493,0.04474560,0.00013355,0.01493731,0.00000018,0.00707740,0.02978226,0.01932225
-5.72386193,0.05503894,0.00016446,0.01836744,0.00000028,0.00870977,0.03663917,0.02375795
-5.71785893,0.06722199,0.00020113,0.02242484,0.00000041,0.01064355,0.04475722,0.02900424
-5.71185593,0.08152323,0.00024427,0.02718439,0.00000060,0.01291588,0.05428972,0.03515766
-5.70585293,0.09817211,0.00029463,0.03272090,0.00000088,0.01556432,0.06539105,0.04231453
-5.69984992,0.11739264,0.00035296,0.03910688,0.00000129,0.01862594,0.07821232,0.05056810
-5.69384692,0.13939599,0.00041996,0.04640996,0.00000186,0.02213617,0.09289663,0.06000516
-5.68784392,0.16437225,0.00049634,0.05469010,0.00000267,0.02612762,0.10957356,0.07070235
-5.68184092,0.19248175,0.00058271,0.06399653,0.00000380,0.03062874,0.12835349,0.08272225
-5.67583792,0.22384607,0.00067959,0.07436471,0.00000537,0.03566252,0.14932167,0.09610937
-5.66983492,0.25853940,0.00078743,0.08581334,0.00000754,0.04124513,0.17253245,0.11088620
-5.66383192,0.29658049,0.00090652,0.09834158,0.00001051,0.04738475,0.19800393,0.12704968
-5.65782891,0.33792585,0.00103701,0.11192682,0.00001454,0.05408055,0.22571339,0.14456812
-5.65182591,0.38246467,0.00117891,0.12652288,0.00001997,0.06132191,0.25559383,0.16337897
-5.64582291,0.43001602,0.00133204,0.14205918,0.00002724,0.06908794,0.28753186,0.18338758
-5.63981991,0.48032869,0.00149607,0.15844078,0.00003688,0.07734749,0.32136743,0.20446729
