energy_ev,total_up,Ga_p_up,Ga_d_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,6.81692445,0.20645512,0.00000000,3.23433705,2.21819242,0.02825095,3.73477359
-5.99399700,6.83659234,0.20015118,0.00000000,3.24004951,2.26979869,0.02689039,3.80248795
-5.98799400,6.84477088,0.19336379,0.00000000,3.24195900,2.32089857,0.02549905,3.86453089
-5.98199100,6.84115914,0.18614462,0.00000000,3.23992091,2.37097016,0.02409107,3.92025307
-5.97598799,6.82555857,0.17854958,0.00000000,3.23379578,2.41943015,0.02267967,3.96906109
-5.96998499,6.79788179,0.17063869,0.00000000,3.22345523,2.46563971,0.02127709,4.01042567
-5.96398199,6.75815892,0.16247574,0.00000000,3.20878787,2.50891406,0.01989451,4.04388878
-5.95797899,6.70654079,0.15412786,0.00000000,3.18970463,2.54853559,0.01854203,4.06906977
-5.95197599,6.64329882,0.14566474,0.00000000,3.16614369,2.58377014,0.01722866,4.08567023
-5.94597299,6.56882143,0.13715772,0.00000000,3.13807442,2.61388581,0.01596232,4.09347754
-5.93996998,6.48360688,0.12867863,0.00000000,3.10550066,2.63817375,0.01474988,4.09236695
-5.93396698,6.38825285,0.12029849,0.00000000,3.06846287,2.65596975,0.01359715,4.08230217
-5.92796398,6.28344308,0.11208613,0.00000000,3.02703923,2.66667596,0.01250891,4.06333428
-5.92196098,6.16993139,0.10410671,0.00000000,2.98134573,2.66978136,0.01148894,4.03559894
-5.91595798,6.04852379,0.09642031,0.00000000,2.93153501,2.66488021,0.01053998,3.99931189
-5.90995498,5.92005919,0.08908058,0.00000000,2.87779406,2.65168737,0.00966381,3.95476265
-5.90395198,5.78538941,0.08213361,0.00000000,2.82034096,2.63004971,0.00886119,3.90230658
-5.89794897,5.64535933,0.07561693,0.00000000,2.75942045,2.59995301,0.00813194,3.84235549
-5.89194597,5.50078779,0.06955890,0.00000000,2.69529881,2.56152396,0.00747490,3.77536690
-5.88594297,5.35245015,0.06397833,0.00000000,2.62825815,2.51502718,0.00688801,3.70183263
-5.87993997,5.20106327,0.05888444,0.00000000,2.55859027,2.46085742,0.00636836,3.62226684
-5.87393697,5.04727359,0.05427715,0.00000000,2.48659078,2.39952747,0.00591224,3.53719444
-5.86793397,4.89164905,0.05014773,0.00000000,2.41255346,2.33165237,0.00551523,3.44714022
-5.86193097,4.73467525,0.04647968,0.00000000,2.33676557,2.25793095,0.00517234,3.35261946
-5.85592796,4.57675634,0.04324985,0.00000000,2.25950427,2.17912558,0.00487808,3.25413056
-5.84992496,4.41822067,0.04042981,0.00000000,2.18103451,2.09604132,0.00462663,3.15215009
-5.84392196,4.25933115,0.03798731,0.00000000,2.10160864,2.00950542,0.00441198,3.04713072
-5.83791896,4.10029978,0.03588776,0.00000000,2.02146768,1.92034816,0.00422808,2.93950204
-5.83191596,3.94130583,0.03409580,0.00000000,1.94084430,1.82938585,0.00406896,2.82967415
-5.82591296,3.78251656,0.03257675,0.00000000,1.85996736,1.73740648,0.00392891,2.71804382
-5.81990995,3.62410934,0.03129788,0.00000000,1.77906738,1.64515848,0.00380260,2.60500253
-5.81390695,3.46629382,0.03022964,0.00000000,1.69838283,1.55334265,0.00368518,2.49094583
-5.80790395,3.30933269,0.02934654,0.00000000,1.61816640,1.46260706,0.00357236,2.37628297
-5.80190095,3.15355954,0.02862781,0.00000000,1.53869084,1.37354483,0.00346056,2.26144607
-5.79589795,2.99939268,0.02805785,0.00000000,1.46025361,1.28669399,0.00334684,2.14689777
-5.78989495,2.84734357,0.02762631,0.00000000,1.38317998,1.20253926,0.00322905,2.03313671
-5.78389195,2.69801935,0.02732794,0.00000000,1.30782411,1.12151473,0.00310571,1.92070001
-5.77788894,2.55211882,0.02716218,0.00000000,1.23456775,1.04400722,0.00297610,1.81016244
-5.77188594,2.41042212,0.02713250,0.00000000,1.16381659,0.97035963,0.00284014,1.70213212
-5.76588294,2.27377442,0.02724559,0.00000000,1.09599439,0.90087385,0.00269836,1.59724278
-5.75987994,2.14306456,0.02751028,0.00000000,1.03153513,0.83581323,0.00255185,1.49614306
-5.75387694,2.01919999,0.02793653,0.00000000,0.97087369,0.77540419,0.00240219,1.39948349
-5.74787394,1.90307947,0.02853424,0.00000000,0.91443575,0.71983734,0.00225134,1.30790201
-5.74187094,1.79556542,0.02931218,0.00000000,0.86262769,0.66926804,0.00210161,1.22200916
-5.73586793,1.69745766,0.03027689,0.00000000,0.81582723,0.62381696,0.00195558,1.14237380
-5.72986493,1.60947047,0.03143180,0.00000000,0.77437564,0.58357073,0.00181605,1.06951076
-5.72386193,1.53221455,0.03277651,0.00000000,0.73857226,0.54858326,0.00168600,1.00387115
-5.71785893,1.46618523,0.03430628,0.00000000,0.70867199,0.51887803,0.00156856,0.94583636
-5.71185593,1.41175800,0.03601178,0.00000000,0.68488607,0.49445153,0.00146700,0.89571618
-5.70585293,1.36919173,0.03787911,0.00000000,0.66738640,0.47527820,0.00138472,0.85375151
-5.69984992,1.33863976,0.03989014,0.00000000,0.65631344,0.46131676,0.00132530,0.82012152
-5.69384692,1.32016810,0.04202308,0.00000000,0.65178719,0.45251783,0.00129247,0.79495503
-5.68784392,1.31377988,0.04425333,0.00000000,0.65392086,0.44883265,0.00129015,0.77834534
-5.68184092,1.31944449,0.04655451,0.00000000,0.66283624,0.45022236,0.00132251,0.77036774
-5.67583792,1.33712930,0.04889973,0.00000000,0.67867991,0.45666732,0.00139394,0.77109825
-5.66983492,1.36683192,0.05126284,0.00000000,0.70163892,0.46817572,0.00150911,0.78063250
-5.66383192,1.40861055,0.05361983,0.00000000,0.73195475,0.48479091,0.00167293,0.79910299
-5.65782891,1.46260981,0.05595013,0.00000000,0.76993420,0.50659646,0.00189055,0.82669351
-5.65182591,1.52907992,0.05823774,0.00000000,0.81595599,0.53371845,0.00216729,0.86364905
-5.64582291,1.60838704,0.06047232,0.00000000,0.87047194,0.56632427,0.00250862,0.91028013
-5.63981991,1.70101313,0.06264984,0.00000000,0.93400181,0.60461747,0.00292000,0.96696044
-5.63381691,1.80754420,0.06477308,0.00000000,1.00712123,0.64882844,0.00340680,1.03411723
-5.62781391,1.92864660,0.06685172,0.00000000,1.09044261,0.69920090,0.00397412,1.11221409
-5.62181091,2.06503143,0.06890203,0.00000000,1.18458896,0.75597445,0.00462660,1.20172640
-5.61580790,2.21740819,0.07094635,0.00000000,1.29016160,0.81936369,0.00536828,1.30311004
-5.60980490,2.38642950,0.07301205,0.00000000,1.40770245,0.88953479,0.00620230,1.41676457
-5.60380190,2.57262914,0.07513036,0.00000000,1.53765270,0.96658054,0.00713076,1.54299228
-5.59779890,2.77635667,0.07733487,0.00000000,1.68030941,1.05049512,0.00815445,1.68195525
-5.59179590,2.99771198,0.07965991,0.00000000,1.83578234,1.14115006,0.00927269,1.83363241
-5.58579290,3.23648351,0.08213884,0.00000000,2.00395323,1.23827292,0.01048314,1.99777918
-5.57978989,3.49209393,0.08480234,0.00000000,2.18443972,1.34142997,0.01178165,2.17389197
-5.57378689,3.76355689,0.08767680,0.00000000,2.37656636,1.45001450,0.01316220,2.36118003
-5.56778389,4.04944797,0.09078288,0.00000000,2.57934460,1.56324161,0.01461680,2.55854658
-5.56178089,4.34789236,0.09413427,0.00000000,2.79146337,1.68015052,0.01613559,2.76458113
-5.55577789,4.65657109,0.09773680,0.00000000,3.01129166,1.79961486,0.01770687,2.97756406
-5.54977489,4.97274656,0.10158784,0.00000000,3.23689353,1.92036092,0.01931728,3.19548432
-5.54377189,5.29330720,0.10567601,0.00000000,3.46605574,2.04099353,0.02095203,3.41607003
-5.53776888,5.61482996,0.10998130,0.00000000,3.69632740,2.16002880,0.02259516,3.63683149
-5.53176588,5.93365842,0.11447547,0.00000000,3.92507032,2.27593238,0.02422992,3.85511519
-5.52576288,6.24599348,0.11912273,0.00000000,4.14951849,2.38716178,0.02583914,4.06816693
-5.51975988,6.54799273,0.12388070,0.00000000,4.36684429,2.49221083,0.02740566,4.27320160
-5.51375688,6.83587431,0.12870156,0.00000000,4.57422896,2.58965426,0.02891277,4.46747682
-5.50775388,7.10602068,0.13353326,0.00000000,4.76893455,2.67819051,0.03034464,4.64836746
-5.50175088,7.35507792,0.13832091,0.00000000,4.94837447,2.75668057,0.03168677,4.81343785
-5.49574787,7.58004628,0.14300811,0.00000000,5.11018011,2.82418135,0.03292640,4.96050885
-5.48974487,7.77835839,0.14753831,0.00000000,5.25226077,2.87997195,0.03405283,5.08771701
-5.48374187,7.94794223,0.15185604,0.00000000,5.37285522,2.92357184,0.03505772,5.19356355
-5.47773887,8.08726661,0.15590814,0.00000000,5.47057298,2.95475037,0.03593534,5.27695141
-5.47173587,8.19536827,0.15964477,0.00000000,5.54442433,2.97352733,0.03668266,5.33720928
-5.46573287,8.27186014,0.16302038,0.00000000,5.59383862,2.98016513,0.03729939,5.37410205
-5.45972986,8.31692170,0.16599450,0.00000000,5.61867080,2.97515301,0.03778799,5.38782782
-5.45372686,8.33127268,0.16853240,0.00000000,5.61919667,2.95918469,0.03815346,5.37900224
-5.44772386,8.31613250,0.17060570,0.00000000,5.59609779,2.93313066,0.03840313,5.34863134
-5.44172086,8.27316781,0.17219272,0.00000000,5.55043728,2.89800672,0.03854636,5.29807455
-5.43571786,8.20443121,0.17327885,0.00000000,5.48362793,2.85494031,0.03859415,5.22899978
-5.42971486,8.11229387,0.17385669,0.00000000,5.39739408,2.80513633,0.03855870,5.14333279
-5.42371186,7.99937515,0.17392617,0.00000000,5.29372899,2.74984374,0.03845294,5.04320276
-5.41770885,7.86847160,0.17349447,0.00000000,5.17484895,2.69032426,0.03829003,4.93088634
-5.41170585,7.72248773,0.17257583,0.00000000,5.04314558,2.62782404,0.03808284,4.80875182
-5.40570285,7.56437033,0.17119123,0.00000000,4.90113741,2.56354906,0.03784354,4.67920533
-5.39969985,7.39704773,0.16936793,0.00000000,4.75142167,2.49864450,0.03758307,4.54464010
-5.39369685,7.22337487,0.16713886,0.00000000,4.59662702,2.43417820,0.03731081,4.40738998
-5.38769385,7.04608478,0.16454185,0.00000000,4.43936783,2.37112807,0.03703424,4.26968795
-5.38169085,6.86774667,0.16161875,0.00000000,4.28220033,2.31037297,0.03675875,4.13362985
-5.37568784,6.69073047,0.15841441,0.00000000,4.12758117,2.25268660,0.03648744,4.00114368
-5.36968484,6.51717776,0.15497558,0.00000000,3.97782841,2.19873386,0.03622112,3.87396430
-5.36368184,6.34897859,0.15134975,0.00000000,3.83508554,2.14906900,0.03595837,3.75361346
-5.35767884,6.18775393,0.14758391,0.00000000,3.70128861,2.10413513,0.03569569,3.64138483
-5.35167584,6.03484358,0.14372339,0.00000000,3.57813692,2.06426463,0.03542772,3.53833364
-5.34567284,5.89129894,0.13981071,0.00000000,3.46706774,2.02968007,0.03514762,3.44527084
-5.33966983,5.75788089,0.13588456,0.00000000,3.36923551,2.00049560,0.03484738,3.36276126
-5.33366683,5.63506236,0.13197885,0.00000000,3.28549595,1.97671881,0.03451829,3.29112572
-5.32766383,5.52303572,0.12812209,0.00000000,3.21639569,1.95825306,0.03415138,3.23044686
-5.32166083,5.42172497,0.12433679,0.00000000,3.16216789,1.94490064,0.03373785,3.18057852
-5.31565783,5.33080262,0.12063925,0.00000000,3.12273413,1.93636703,0.03326954,3.14115873
-5.30965483,5.24971134,0.11703954,0.00000000,3.09771303,1.93226659,0.03273929,3.11162608
-5.30365183,5.17769015,0.11354170,0.00000000,3.08643565,1.93213002,0.03214133,3.09123959
-5.29764882,5.11380494,0.11014422,0.00000000,3.08796756,1.93541392,0.03147153,3.07910179
-5.29164582,5.05698298,0.10684075,0.00000000,3.10113755,1.94151258,0.03072766,3.07418499
-5.28564282,5.00605087,0.10362097,0.00000000,3.12457231,1.94977213,0.02990951,3.07536042
-5.27963982,4.95977526,0.10047163,0.00000000,3.15673647,1.95950698,0.02901898,3.08142986
-5.27363682,4.91690553,0.09737768,0.00000000,3.19597712,1.97001824,0.02806002,3.09115926
-5.26763382,4.87621743,0.09432351,0.00000000,3.24057169,1.98061389,0.02703865,3.10331375
-5.26163082,4.83655665,0.09129409,0.00000000,3.28877789,1.99062996,0.02596274,3.11669325
-5.25562781,4.79688096,0.08827622,0.00000000,3.33888421,1.99945223,0.02484191,3.13016774
-5.24962481,4.75629972,0.08525951,0.00000000,3.38925948,2.00653751,0.02368724,3.14271121
-5.24362181,4.71410943,0.08223732,0.00000000,3.43839991,2.01143369,0.02251112,3.15343318
-5.23761881,4.66982384,0.07920751,0.00000000,3.48497185,2.01379765,0.02132690,3.16160666
