energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-5.89794897,5.95670497,0.01864900,1.49766312,1.91000730,2.78343672,0.02907367,1.32137287,0.77154948,0.18358764
-5.89194597,6.02982963,0.01841641,1.53621151,1.90160069,2.86238200,0.02896387,1.30642342,0.75221514,0.18451516
-5.88594297,6.08170382,0.01809748,1.56940827,1.88825523,2.93045120,0.02874375,1.28675266,0.73043830,0.18465429
-5.87993997,6.11026578,0.01770131,1.59625039,1.86973655,2.98575201,0.02843136,1.26267078,0.70648816,0.18403588
-5.87393697,6.11406852,0.01723905,1.61588337,1.84596713,3.02668606,0.02804887,1.23462840,0.68069625,0.18271791
-5.86793397,6.09235235,0.01672372,1.62763582,1.81704148,3.05201213,0.02762210,1.20320755,0.65344848,0.18078449
-5.86193097,6.04509667,0.01616984,1.63104839,1.78323727,3.06089850,0.02717996,1.16910904,0.62517607,0.17834415
-5.85592796,5.97304822,0.01559309,1.62589584,1.74502133,3.05296183,0.02675370,1.13313625,0.59634545,0.17552718
-5.84992496,5.87772407,0.01500990,1.61220132,1.70305041,3.02829122,0.02637609,1.09617582,0.56744745,0.17248229
-5.84392196,5.76138860,0.01443701,1.59024226,1.65816624,2.98745631,0.02608052,1.05917544,0.53898590,0.16937264
-5.83791896,5.62700505,0.01389101,1.56054770,1.61138510,2.93149917,0.02589996,1.02311964,0.51146606,0.16637115
-5.83191596,5.47816339,0.01338787,1.52388727,1.56388202,2.86191063,0.02586599,0.98900390,0.48538299,0.16365558
-5.82591296,5.31898722,0.01294246,1.48125238,1.51697015,2.78059191,0.02600773,0.95780820,0.46121036,0.16140318
-5.81990995,5.15402327,0.01256817,1.43383039,1.47207600,2.68980361,0.02635086,0.93047059,0.43938979,0.15978538
-5.81390695,4.98811794,0.01227646,1.38297297,1.43071130,2.59210389,0.02691668,0.90786180,0.42032109,0.15896253
-5.80790395,4.82628556,0.01207653,1.33015994,1.39444244,2.49027864,0.02772127,0.89076167,0.40435377,0.15907898
-5.80190095,4.67357317,0.01197498,1.27695990,1.36485836,2.38726609,0.02877478,0.87983825,0.39177984,0.16025861
-5.79589795,4.53492684,0.01197566,1.22498909,1.34353786,2.28607872,0.03008088,0.87563030,0.38282827,0.16260105
-5.78989495,4.41506388,0.01207943,1.17586993,1.33201716,2.18972493,0.03163641,0.87853379,0.37766113,0.16617867
-5.78389195,4.31835492,0.01228416,1.13119028,1.33175838,2.10113286,0.03343124,0.88879295,0.37637161,0.17103455
-5.77788894,4.24871924,0.01258468,1.09246475,1.34411968,2.02307842,0.03544835,0.90649610,0.37898394,0.17718137
-5.77188594,4.20953572,0.01297294,1.06109875,1.37032736,1.95811919,0.03766415,0.93157645,0.38545503,0.18460141
-5.76588294,4.20357112,0.01343816,1.03835605,1.41145034,1.90853543,0.04004908,0.96381783,0.39567800,0.19324755
-5.75987994,4.23292652,0.01396715,1.02533041,1.46837713,1.87627922,0.04256832,1.00286503,0.40948722,0.20304528
-5.75387694,4.29900202,0.01454461,1.02292146,1.54179537,1.86293219,0.04518287,1.04823833,0.42666482,0.21389559
-5.74787394,4.40247893,0.01515361,1.03181522,1.63217401,1.86967226,0.04785069,1.09935155,0.44694823,0.22567865
-5.74187094,4.54331856,0.01577605,1.05246908,1.73974802,1.89724949,0.05052800,1.15553286,0.47003866,0.23825806
-5.73586793,4.72077586,0.01639318,1.08510158,1.86450569,1.94597090,0.05317067,1.21604735,0.49560996,0.25148547
-5.72986493,4.93342633,0.01698618,1.12968664,2.00617864,2.01569430,0.05573568,1.28012051,0.52331769,0.26520545
-5.72386193,5.17920435,0.01753669,1.18595250,2.16423463,2.10583097,0.05818250,1.34696140,0.55280787,0.27926016
-5.71785893,5.45545108,0.01802742,1.25338518,2.33787346,2.21535693,0.06047439,1.41578461,0.58372523,0.29349395
-5.71185593,5.75897047,0.01844262,1.33123658,2.52602653,2.34283287,0.06257954,1.48583012,0.61572052,0.30775725
-5.70585293,6.08609195,0.01876856,1.41853714,2.72736031,2.48643240,0.06447209,1.55638014,0.64845673,0.32191001
-5.69984992,6.43273861,0.01899396,1.51411315,2.94028460,2.64397851,0.06613275,1.62677250,0.68161396,0.33582421
-5.69384692,6.79450009,0.01911029,1.61660850,3.16296606,2.81298794,0.06754933,1.69641002,0.71489291,0.34938560
-5.68784392,7.16670938,0.01911200,1.72451091,3.39334758,2.99072284,0.06871680,1.76476597,0.74801695,0.36249452
-5.68184092,7.54452308,0.01899663,1.83618224,3.62917423,3.17424914,0.06963718,1.83138545,0.78073286,0.37506588
-5.67583792,7.92300442,0.01876486,1.94989249,3.86802580,3.36050064,0.07031911,1.89588338,0.81281049,0.38702836
-5.66983492,8.29720871,0.01842036,2.06385694,4.10735633,3.54634740,0.07077717,1.95793941,0.84404143,0.39832305
-5.66383192,8.66227016,0.01796967,2.17627564,4.34454011,3.72866706,0.07103100,2.01729077,0.87423719,0.40890156
-5.65782891,9.01348940,0.01742188,2.28537422,4.57692373,3.90441712,0.07110430,2.07372373,0.90322708,0.41872405
-5.65182591,9.34642027,0.01678828,2.38944510,4.80188313,4.07070607,0.07102372,2.12706473,0.93085624,0.42775707
-5.64582291,9.65695438,0.01608199,2.48688766,5.01688420,4.22486139,0.07081781,2.17717206,0.95698401,0.43597172
-5.63981991,9.94140156,0.01531748,2.57624622,5.21954510,4.36449187,0.07051593,2.22392884,0.98148305,0.44334216
-5.63381691,10.19656426,0.01451015,2.65624446,5.40769832,4.48754241,0.07014737,2.26723805,1.00423922,0.44984460
-5.62781391,10.41980334,0.01367585,2.72581508,5.57944996,4.59233908,0.06974059,2.30701989,1.02515254,0.45545698
-5.62181091,10.60909331,0.01283044,2.78412364,5.73323389,4.67762302,0.06932267,2.34321182,1.04413887,0.46015924
-5.61580790,10.76306445,0.01198943,2.83058550,5.86785817,4.74257175,0.06891905,2.37577098,1.06113253,0.46393429
-5.60980490,10.88103010,0.01116758,2.86487544,5.98254150,4.78680741,0.06855338,2.40467891,1.07608937,0.46676945
-5.60380190,10.96299729,0.01037865,2.88692942,6.07693753,4.81039152,0.06824776,2.42994777,1.08899009,0.46865840
-5.59779890,11.00965961,0.00963517,2.89693849,6.15114551,4.81380686,0.06802298,2.45162742,1.09984338,0.46960325
