energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.96130501,0.43551328,0.38459959,0.00224950,0.04897135,0.00878310,0.38840878,0.44299937,0.09313757
-5.99399700,0.90975916,0.40901966,0.36908504,0.00218174,0.04596290,0.00827294,0.36395833,0.41371048,0.08784478
-5.98799400,0.85770722,0.38186185,0.35370125,0.00210773,0.04287043,0.00774919,0.33911459,0.38413307,0.08239786
-5.98199100,0.80588889,0.35441009,0.33872831,0.00202908,0.03973543,0.00721927,0.31419516,0.35461689,0.07687184
-5.97598799,0.75502935,0.32702133,0.32444915,0.00194754,0.03659770,0.00669025,0.28950559,0.32549206,0.07133993
-5.96998499,0.70582526,0.30003144,0.31114528,0.00186496,0.03349451,0.00616870,0.26533278,0.29706223,0.06587183
-5.96398199,0.65893233,0.27374857,0.29909266,0.00178327,0.03045983,0.00566059,0.24193933,0.26959901,0.06053234
-5.95797899,0.61495475,0.24844797,0.28855769,0.00170436,0.02752373,0.00517116,0.21955913,0.24333781,0.05538014
-5.95197599,0.57443639,0.22436807,0.27979326,0.00163011,0.02471205,0.00470492,0.19839406,0.21847512,0.05046689
-5.94597299,0.53785399,0.20170820,0.27303488,0.00156229,0.02204605,0.00426557,0.17861195,0.19516722,0.04583658
-5.93996998,0.50561204,0.18062749,0.26849683,0.00150252,0.01954245,0.00385601,0.16034572,0.17353021,0.04152516
-5.93396698,0.47803939,0.16124527,0.26636839,0.00145227,0.01721341,0.00347836,0.14369364,0.15364130,0.03756043
-5.92796398,0.45538743,0.14364242,0.26681012,0.00141277,0.01506681,0.00313400,0.12872050,0.13554104,0.03396216
-5.92196098,0.43782954,0.12786389,0.26995029,0.00138502,0.01310656,0.00282361,0.11545961,0.11923647,0.03074242
-5.91595798,0.42546178,0.11392179,0.27588146,0.00136974,0.01133303,0.00254725,0.10391551,0.10470489,0.02790608
-5.90995498,0.41830470,0.10179923,0.28465751,0.00136736,0.00974352,0.00230442,0.09406704,0.09189801,0.02545144
-5.90395198,0.41630600,0.09145442,0.29629105,0.00137801,0.00833282,0.00209416,0.08587090,0.08074637,0.02337092
-5.89794897,0.41934423,0.08282501,0.31075155,0.00140149,0.00709373,0.00191510,0.07926520,0.07116377,0.02165194
-5.89194597,0.42723316,0.07583243,0.32796423,0.00143731,0.00601762,0.00176557,0.07417316,0.06305160,0.02027765
-5.88594297,0.43972716,0.07038611,0.34780994,0.00148463,0.00509496,0.00164365,0.07050672,0.05630289,0.01922784
-5.87993997,0.45652724,0.06638750,0.37012612,0.00154237,0.00431582,0.00154727,0.06816993,0.05080604,0.01847973
-5.87393697,0.47728791,0.06373375,0.39470895,0.00160911,0.00367029,0.00147423,0.06706216,0.04644814,0.01800877
-5.86793397,0.50162483,0.06232093,0.42131666,0.00168325,0.00314886,0.00142231,0.06708099,0.04311772,0.01778940
-5.86193097,0.52912300,0.06204697,0.44967411,0.00176292,0.00274280,0.00138924,0.06812485,0.04070709,0.01779573
-5.85592796,0.55934558,0.06281401,0.47947834,0.00184614,0.00244437,0.00137284,0.07009518,0.03911421,0.01800216
-5.84992496,0.59184300,0.06453039,0.51040516,0.00193077,0.00224702,0.00137094,0.07289841,0.03824395,0.01838399
-5.84392196,0.62616221,0.06711211,0.54211636,0.00201464,0.00214553,0.00138149,0.07644749,0.03800905,0.01891785
-5.83791896,0.66185579,0.07048387,0.57426743,0.00209555,0.00213608,0.00140252,0.08066307,0.03833056,0.01958211
-5.83191596,0.69849069,0.07457974,0.60651530,0.00217137,0.00221624,0.00143216,0.08547435,0.03913796,0.02035726
-5.82591296,0.73565616,0.07934328,0.63852602,0.00224008,0.00238494,0.00146866,0.09081957,0.04036899,0.02122604
-5.81990995,0.77297071,0.08472739,0.66998185,0.00229982,0.00264231,0.00151037,0.09664611,0.04196918,0.02217365
-5.81390695,0.81008773,0.09069373,0.70058749,0.00234895,0.00298960,0.00155574,0.10291027,0.04389118,0.02318780
-5.80790395,0.84669963,0.09721177,0.73007541,0.00238608,0.00342890,0.00160330,0.10957673,0.04609393,0.02425859
