energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,2.62109725,0.01915981,0.25353910,1.08830332,1.32395325,0.81765809,0.00000000
-5.99399700,2.78074648,0.02085165,0.27473102,1.13697164,1.40467194,0.86523887,0.00000000
-5.98799400,2.94495336,0.02255201,0.29732968,1.18640244,1.48760109,0.91388967,0.00000000
-5.98199100,3.11145159,0.02423729,0.32111784,1.23581854,1.57165738,0.96279848,0.00000000
-5.97598799,3.27783871,0.02588231,0.34585441,1.28442650,1.65568769,1.01111357,0.00000000
-5.96998499,3.44162573,0.02746086,0.37127919,1.33143227,1.73849324,1.05796156,0.00000000
-5.96398199,3.60029371,0.02894636,0.39711863,1.37605786,1.81885787,1.10246708,0.00000000
-5.95797899,3.75135596,0.03031261,0.42309235,1.41755871,1.89557948,1.14377358,0.00000000
-5.95197599,3.89242378,0.03153456,0.44892027,1.45524131,1.96750388,1.18106467,0.00000000
-5.94597299,4.02127393,0.03258906,0.47433017,1.48848061,2.03355966,1.21358539,0.00000000
-5.93996998,4.13591490,0.03345558,0.49906517,1.51673662,2.09279286,1.24066267,0.00000000
-5.93396698,4.23464960,0.03411692,0.52289115,1.53956974,2.14439988,1.26172419,0.00000000
-5.92796398,4.31613149,0.03455980,0.54560336,1.55665392,2.18775710,1.27631489,0.00000000
-5.92196098,4.37941166,0.03477527,0.56703230,1.56778722,2.22244576,1.28411058,0.00000000
-5.91595798,4.42397437,0.03475909,0.58704821,1.57289912,2.24827085,1.28492775,0.00000000
-5.90995498,4.44975916,0.03451188,0.60556421,1.57205421,2.26527274,1.27872942,0.00000000
-5.90395198,4.45716815,0.03403912,0.62253782,1.56545172,2.27373105,1.26562643,0.00000000
-5.89794897,4.44705771,0.03335095,0.63797070,1.55342098,2.27416002,1.24587416,0.00000000
-5.89194597,4.42071462,0.03246189,0.65190679,1.53641258,2.26729567,1.21986475,0.00000000
-5.88594297,4.37981724,0.03139038,0.66442872,1.51498572,2.25407480,1.18811502,0.00000000
-5.87993997,4.32638339,0.03015810,0.67565295,1.48979185,2.23560689,1.15125049,0.00000000
-5.87393697,4.26270663,0.02878939,0.68572356,1.46155545,2.21313969,1.10998629,0.00000000
-5.86793397,4.19128387,0.02731043,0.69480531,1.43105242,2.18802018,1.06510560,0.00000000
-5.86193097,4.11473693,0.02574845,0.70307602,1.39908716,2.16165213,1.01743650,0.00000000
-5.85592796,4.03573132,0.02413097,0.71071884,1.36646889,2.13545227,0.96782819,0.00000000
-5.84992496,3.95689544,0.02248504,0.71791460,1.33398839,2.11080651,0.91712752,0.00000000
-5.84392196,3.88074300,0.02083654,0.72483453,1.30239581,2.08902798,0.86615657,0.00000000
-5.83791896,3.80960169,0.01920955,0.73163371,1.27238032,2.07131833,0.81569233,0.00000000
-5.83191596,3.74555021,0.01762588,0.73844538,1.24455230,2.05873353,0.76644889,0.00000000
-5.82591296,3.69036560,0.01610464,0.74537624,1.21942856,2.05215532,0.71906277,0.00000000
-5.81990995,3.64548225,0.01466200,0.75250289,1.19742092,2.05226893,0.67408177,0.00000000
-5.81390695,3.61196334,0.01331098,0.75986937,1.17882841,2.05954754,0.63195740,0.00000000
-5.80790395,3.59048496,0.01206152,0.76748593,1.16383308,2.07424384,0.59304093,0.00000000
-5.80190095,3.58133284,0.01092044,0.77532886,1.15249951,2.09638837,0.55758299,0.00000000
-5.79589795,3.58441094,0.00989169,0.78334150,1.14477772,2.12579464,0.52573619,0.00000000
-5.78989495,3.59926114,0.00897657,0.79143626,1.14050932,2.16207037,0.49756067,0.00000000
-5.78389195,3.62509282,0.00817405,0.79949765,1.13943661,2.20463433,0.47303179,0.00000000
-5.77788894,3.66082086,0.00748109,0.80738631,1.14121423,2.25273820,0.45204966,0.00000000
-5.77188594,3.70511086,0.00689306,0.81494395,1.14542297,2.30549240,0.43444998,0.00000000
-5.76588294,3.75642976,0.00640412,0.82199904,1.15158546,2.36189540,0.42001547,0.00000000
-5.75987994,3.81310050,0.00600756,0.82837336,1.15918314,2.42086531,0.40848772,0.00000000
-5.75387694,3.87335904,0.00569621,0.83388906,1.16767407,2.48127318,0.39957879,0.00000000
-5.74787394,3.93541203,0.00546273,0.83837626,1.17651129,2.54197680,0.39298235,0.00000000
-5.74187094,3.99749381,0.00529990,0.84168073,1.18516101,2.60185429,0.38838406,0.00000000
-5.73586793,4.05792078,0.00520090,0.84367161,1.19312015,2.65983649,0.38547084,0.00000000
-5.72986493,4.11514195,0.00515945,0.84424870,1.19993279,2.71493713,0.38393916,0.00000000
-5.72386193,4.16778388,0.00516996,0.84334902,1.20520492,2.76628006,0.38350192,0.00000000
-5.71785893,4.21468877,0.00522765,0.84095217,1.20861691,2.81312255,0.38389411,0.00000000
-5.71185593,4.25494441,0.00532855,0.83708427,1.20993327,2.85487393,0.38487715,0.00000000
-5.70585293,4.28790491,0.00546948,0.83182002,1.20900930,2.89110897,0.38624196,0.00000000
-5.69984992,4.31320146,0.00564806,0.82528265,1.20579423,2.92157539,0.38781073,0.00000000
-5.69384692,4.33074266,0.00586253,0.81764151,1.20033065,2.94619527,0.38943761,0.00000000
-5.68784392,4.34070424,0.00611171,0.80910732,1.19275017,2.96506020,0.39100820,0.00000000
-5.68184092,4.34350859,0.00639480,0.79992508,1.18326543,2.97842028,0.39243818,0.00000000
-5.67583792,4.33979483,0.00671123,0.79036481,1.17215864,2.98666731,0.39367090,0.00000000
-5.66983492,4.33038048,0.00706052,0.78071046,1.15976718,2.99031291,0.39467438,0.00000000
-5.66383192,4.31621639,0.00744205,0.77124755,1.14646674,2.98996214,0.39543756,0.00000000
-5.65782891,4.29833673,0.00785498,0.76224991,1.13265282,2.98628396,0.39596618,0.00000000
-5.65182591,4.27780623,0.00829801,0.75396639,1.11872137,2.97997942,0.39627837,0.00000000
-5.64582291,4.25566692,0.00876932,0.74660809,1.10504945,2.97174914,0.39640008,0.00000000
-5.63981991,4.23288673,0.00926645,0.74033681,1.09197682,2.96226115,0.39636067,0.00000000
-5.63381691,4.21031226,0.00978624,0.73525548,1.07978933,2.95212069,0.39618871,0.00000000
-5.62781391,4.18862769,0.01032481,0.73140096,1.06870497,2.94184303,0.39590825,0.00000000
-5.62181091,4.16832192,0.01087757,0.72873989,1.05886314,2.93183052,0.39553570,0.00000000
-5.61580790,4.14966508,0.01143928,0.72716770,1.05031771,2.92235487,0.39507748,0.00000000
-5.60980490,4.13269567,0.01200416,0.72651099,1.04303423,2.91354528,0.39452849,0.00000000
-5.60380190,4.11721879,0.01256601,0.72653324,1.03689136,2.90538309,0.39387159,0.00000000
-5.59779890,4.10281549,0.01311839,0.72694372,1.03168644,2.89770300,0.39307798,0.00000000
-5.59179590,4.08886282,0.01365484,0.72740896,1.02714496,2.89020092,0.39210855,0.00000000
