energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-4.84142071,1.73844334,0.08934871,0.03168225,0.28961166,0.12728200,0.25127295,1.28148129,0.56616714,0.00000000
-4.83541771,1.75499539,0.09290179,0.03276133,0.29911576,0.13215271,0.25838150,1.27500936,0.56851397,0.00000000
-4.82941471,1.77285977,0.09596523,0.03383870,0.30806168,0.13655111,0.26575883,1.27153022,0.57166272,0.00000000
-4.82341171,1.79149434,0.09848384,0.03491250,0.31635843,0.14041547,0.27337516,1.27067065,0.57544233,0.00000000
-4.81740870,1.81048671,0.10041520,0.03598467,0.32394891,0.14370087,0.28122266,1.27212320,0.57970872,0.00000000
-4.81140570,1.82957784,0.10173106,0.03706125,0.33081322,0.14638086,0.28931673,1.27566631,0.58435201,0.00000000
-4.80540270,1.84867596,0.10241843,0.03815240,0.33697023,0.14844835,0.29769582,1.28117767,0.58930091,0.00000000
-4.79939970,1.86785992,0.10247991,0.03927217,0.34247709,0.14991564,0.30641971,1.28863984,0.59452410,0.00000000
-4.79339670,1.88737138,0.10193364,0.04043805,0.34742677,0.15081366,0.31556617,1.29813798,0.60002847,0.00000000
-4.78739370,1.90759638,0.10081248,0.04167013,0.35194347,0.15119039,0.32522618,1.30984968,0.60585442,0.00000000
-4.78139070,1.92903693,0.09916277,0.04299022,0.35617625,0.15110844,0.33549786,1.32402769,0.61206848,0.00000000
-4.77538769,1.95227412,0.09704244,0.04442053,0.36029092,0.15064200,0.34647932,1.34097645,0.61875379,0.00000000
-4.76938469,1.97792484,0.09451882,0.04598239,0.36446079,0.14987326,0.35826092,1.36102371,0.62599891,0.00000000
-4.76338169,2.00659426,0.09166599,0.04769476,0.36885650,0.14888839,0.37091709,1.38448904,0.63388588,0.00000000
-4.75737869,2.03882687,0.08856203,0.04957277,0.37363562,0.14777342,0.38449850,1.41165102,0.64247816,0.00000000
-4.75137569,2.07505874,0.08528615,0.05162629,0.37893249,0.14661012,0.39902462,1.44271491,0.65180927,0.00000000
-4.74537269,2.11557373,0.08191579,0.05385864,0.38484881,0.14547211,0.41447750,1.47778289,0.66187285,0.00000000
-4.73936968,2.16046623,0.07852402,0.05626554,0.39144560,0.14442142,0.43079687,1.51682849,0.67261492,0.00000000
-4.73336668,2.20961269,0.07517717,0.05883433,0.39873698,0.14350561,0.44787706,1.55967683,0.68392868,0.00000000
-4.72736368,2.26265361,0.07193282,0.06154349,0.40668608,0.14275570,0.46556595,1.60599193,0.69565240,0.00000000
-4.72136068,2.31898728,0.06883828,0.06436267,0.41520346,0.14218487,0.48366609,1.65527196,0.70757053,0.00000000
-4.71535768,2.37777589,0.06592960,0.06725302,0.42414810,0.14178814,0.50193806,1.70685284,0.71941814,0.00000000
-4.70935468,2.43796398,0.06323109,0.07016798,0.43333111,0.14154287,0.52010597,1.75992034,0.73088834,0.00000000
-4.70335168,2.49830849,0.06075536,0.07305453,0.44252187,0.14141025,0.53786498,1.81353009,0.74164256,0.00000000
-4.69734867,2.55741911,0.05850388,0.07585474,0.45145646,0.14133742,0.55489039,1.86663485,0.75132306,0.00000000
-4.69134567,2.61380717,0.05646799,0.07850767,0.45984799,0.14126042,0.57084823,1.91811761,0.75956711,0.00000000
-4.68534267,2.66594066,0.05463026,0.08095149,0.46739829,0.14110754,0.58540649,1.96682925,0.76602203,0.00000000
-4.67933967,2.71230288,0.05296615,0.08312572,0.47381047,0.14080304,0.59824687,2.01162879,0.77036048,0.00000000
-4.67333667,2.75145187,0.05144589,0.08497358,0.47880174,0.14027096,0.60907625,2.05142448,0.77229519,0.00000000
-4.66733367,2.78207785,0.05003637,0.08644419,0.48211580,0.13943900,0.61763756,2.08521377,0.77159228,0.00000000
-4.66133067,2.80305589,0.04870314,0.08749463,0.48353430,0.13824199,0.62371943,2.11212026,0.76808273,0.00000000
-4.65532766,2.81349142,0.04741220,0.08809175,0.48288682,0.13662510,0.62716420,2.13142601,0.76167126,0.00000000
-4.64932466,2.81275658,0.04613171,0.08821360,0.48005877,0.13454641,0.62787407,2.14259761,0.75234230,0.00000000
-4.64332166,2.80051554,0.04483338,0.08785044,0.47499704,0.13197889,0.62581491,2.14530503,0.74016280,0.00000000
-4.63731866,2.77673814,0.04349365,0.08700527,0.46771304,0.12891157,0.62101776,2.13943226,0.72528168,0.00000000
-4.63131566,2.74170096,0.04209447,0.08569386,0.45828299,0.12535008,0.61357793,2.12507957,0.70792604,0.00000000
-4.62531266,2.69597636,0.04062379,0.08394429,0.44684561,0.12131629,0.60365167,2.10255722,0.68839424,0.00000000
-4.61930965,2.64040993,0.03907573,0.08179599,0.43359726,0.11684736,0.59145076,2.07237122,0.66704628,0.00000000
-4.61330665,2.57608774,0.03745042,0.07929840,0.41878477,0.11199410,0.57723512,2.03520192,0.64429179,0.00000000
-4.60730365,2.50429512,0.03575355,0.07650917,0.40269649,0.10681888,0.56130399,1.99187651,0.62057633,0.00000000
-4.60130065,2.42646891,0.03399576,0.07349217,0.38565176,0.10139301,0.54398591,1.94333697,0.59636632,0.00000000
-4.59529765,2.34414566,0.03219177,0.07031528,0.36798957,0.09579403,0.52562807,1.89060496,0.57213350,0.00000000
-4.58929465,2.25890812,0.03035942,0.06704802,0.35005667,0.09010274,0.50658553,1.83474553,0.54833934,0.00000000
-4.58329165,2.17233240,0.02851868,0.06375931,0.33219587,0.08440033,0.48721072,1.77683118,0.52542014,0.00000000
-4.57728864,2.08593835,0.02669063,0.06051523,0.31473491,0.07876564,0.46784375,1.71790812,0.50377324,0.00000000
-4.57128564,2.00114496,0.02489645,0.05737701,0.29797633,0.07327266,0.44880385,1.65896611,0.48374501,0.00000000
-4.56528264,1.91923286,0.02315654,0.05439933,0.28218886,0.06798842,0.43038241,1.60091332,0.46562084,0.00000000
-4.55927964,1.84131518,0.02148977,0.05162891,0.26760049,0.06297130,0.41283779,1.54455708,0.44961771,0.00000000
-4.55327664,1.76831777,0.01991284,0.04910346,0.25439348,0.05826980,0.39639213,1.49059132,0.43587927,0.00000000
-4.54727364,1.70096932,0.01843981,0.04685111,0.24270146,0.05392178,0.38123020,1.43959099,0.42447387,0.00000000
-4.54127064,1.63980144,0.01708184,0.04489015,0.23260868,0.04995425,0.36750041,1.39201355,0.41539529,0.00000000
-4.53526763,1.58515820,0.01584708,0.04322931,0.22415123,0.04638356,0.35531770,1.34820698,0.40856632,0.00000000
-4.52926463,1.53721437,0.01474066,0.04186825,0.21732015,0.04321602,0.34476818,1.30842383,0.40384481,0.00000000
-4.52326163,1.49600105,0.01376493,0.04079854,0.21206628,0.04044892,0.33591530,1.27284022,0.40103206,0.00000000
-4.51725863,1.46143714,0.01291973,0.04000482,0.20830637,0.03807177,0.32880706,1.24157851,0.39988313,0.00000000
-4.51125563,1.43336486,0.01220277,0.03946622,0.20593038,0.03606777,0.32348392,1.21473236,0.40011865,0.00000000
-4.50525263,1.41158729,0.01161007,0.03915788,0.20480934,0.03441545,0.31998689,1.19239257,0.40143762,0.00000000
-4.49924962,1.39590583,0.01113648,0.03905263,0.20480353,0.03309025,0.31836532,1.17467204,0.40353074,0.00000000
-4.49324662,1.38615565,0.01077612,0.03912254,0.20577057,0.03206619,0.31868392,1.16172847,0.40609367,0.00000000
-4.48724362,1.38223689,0.01052284,0.03934050,0.20757305,0.03131732,0.32102845,1.15378313,0.40883967,0.00000000
-4.48124062,1.38414014,0.01037061,0.03968153,0.21008524,0.03081905,0.32550973,1.15113457,0.41151117,0.00000000
-4.47523762,1.39196439,0.01031387,0.04012403,0.21319872,0.03054928,0.33226552,1.15416598,0.41388970,0.00000000
-4.46923462,1.40592647,0.01034780,0.04065064,0.21682667,0.03048921,0.34146007,1.16334567,0.41580388,0.00000000
-4.46323162,1.42636110,0.01046839,0.04124882,0.22090646,0.03062388,0.35328104,1.17921992,0.41713509,0.00000000
-4.45722861,1.45371128,0.01067258,0.04191119,0.22540070,0.03094248,0.36793386,1.20239845,0.41782060,0.00000000
-4.45122561,1.48850928,0.01095815,0.04263544,0.23029654,0.03143825,0.38563361,1.23353246,0.41785415,0.00000000
-4.44522261,1.53134876,0.01132361,0.04342401,0.23560334,0.03210820,0.40659458,1.27328627,0.41728387,0.00000000
-4.43921961,1.58284938,0.01176800,0.04428338,0.24134899,0.03295252,0.43101793,1.32230351,0.41620783,0.00000000
-4.43321661,1.64361546,0.01229057,0.04522321,0.24757490,0.03397383,0.45907800,1.38116935,0.41476734,0.00000000
-4.42721361,1.71419077,0.01289048,0.04625522,0.25433019,0.03517623,0.49090792,1.45037067,0.41313849,0.00000000
-4.42121061,1.79501183,0.01356648,0.04739194,0.26166527,0.03656427,0.52658519,1.53025600,0.41152230,0.00000000
-4.41520760,1.88636226,0.01431656,0.04864542,0.26962532,0.03814189,0.56611807,1.62099769,0.41013394,0.00000000
-4.40920460,1.98833083,0.01513764,0.05002596,0.27824408,0.03991136,0.60943368,1.72255826,0.40919166,0.00000000
-4.40320160,2.10077589,0.01602536,0.05154090,0.28753828,0.04187235,0.65636844,1.83466326,0.40890589,0.00000000
-4.39719860,2.22329837,0.01697388,0.05319362,0.29750317,0.04402105,0.70666182,1.95678261,0.40946900,0.00000000
-4.39119560,2.35522553,0.01797580,0.05498271,0.30810937,0.04634959,0.75995376,2.08812195,0.41104628,0.00000000
-4.38519260,2.49560693,0.01902220,0.05690148,0.31930141,0.04884559,0.81578650,2.22762521,0.41376834,0.00000000
-4.37918959,2.64322346,0.02010274,0.05893777,0.33099793,0.05149204,0.87361075,2.37398922,0.41772546,0.00000000
-4.37318659,2.79660979,0.02120590,0.06107404,0.34309370,0.05426734,0.93279649,2.52569016,0.42296382,0.00000000
-4.36718359,2.95408954,0.02231932,0.06328784,0.35546333,0.05714572,0.99264802,2.68102143,0.42948386,0.00000000
-4.36118059,3.11382213,0.02343017,0.06555258,0.36796643,0.06009781,1.05242280,2.83814155,0.43724069,0.00000000
-4.35517759,3.27385916,0.02452563,0.06783859,0.38045403,0.06309143,1.11135334,2.99513026,0.44614636,0.00000000
-4.34917459,3.43220775,0.02559337,0.07011428,0.39277575,0.06609257,1.16867125,3.15005029,0.45607383,0.00000000
-4.34317159,3.58689794,0.02662204,0.07234759,0.40478732,0.06906648,1.22363224,3.30101197,0.46686232,0.00000000
-4.33716858,3.73605059,0.02760172,0.07450738,0.41635804,0.07197875,1.27554097,3.44623752,0.47832367,0.00000000
-4.33116558,3.87794228,0.02852430,0.07656485,0.42737748,0.07479648,1.32377441,3.58412168,0.49024946,0.00000000
-4.32516258,4.01106399,0.02938384,0.07849482,0.43776123,0.07748929,1.36780253,3.71328559,0.50241832,0.00000000
-4.31915958,4.13417011,0.03017666,0.08027685,0.44745509,0.08003023,1.40720523,3.83262103,0.51460329,0.00000000
-4.31315658,4.24631553,0.03090151,0.08189606,0.45643739,0.08239655,1.44168454,3.94132249,0.52657874,0.00000000
-4.30715358,4.34687847,0.03155939,0.08334372,0.46471938,0.08457021,1.47107147,4.03890557,0.53812673,0.00000000
-4.30115058,4.43556825,0.03215344,0.08461741,0.47234347,0.08653816,1.49532712,4.12521036,0.54904243,0.00000000
-4.29514757,4.51241741,0.03268848,0.08572090,0.47937939,0.08829244,1.51453797,4.20038993,0.55913867,0.00000000
-4.28914457,4.57775901,0.03317067,0.08666369,0.48591859,0.08982994,1.52890563,4.26488450,0.56824936,0.00000000
-4.28314157,4.63219052,0.03360688,0.08746020,0.49206695,0.09115207,1.53873172,4.31938279,0.57623186,0.00000000
-4.27713857,4.67652654,0.03400415,0.08812878,0.49793654,0.09226414,1.54439867,4.36477287,0.58296830,0.00000000
-4.27113557,4.71174330,0.03436908,0.08869047,0.50363668,0.09317471,1.54634756,4.40208538,0.58836608,0.00000000
-4.26513257,4.73891825,0.03470727,0.08916772,0.50926492,0.09389476,1.54505436,4.43243237,0.59235738,0.00000000
-4.25912956,4.75916828,0.03502275,0.08958308,0.51489867,0.09443692,1.54100583,4.45694532,0.59489825,0.00000000
-4.25312656,4.77359020,0.03531763,0.08995788,0.52058771,0.09481468,1.53467645,4.47671578,0.59596703,0.00000000
-4.24712356,4.78320676,0.03559175,0.09031122,0.52634847,0.09504171,1.52650766,4.49274192,0.59556255,0.00000000
-4.24112056,4.78892114,0.03584257,0.09065903,0.53216007,0.09513128,1.51689040,4.50588383,0.59370216,0.00000000
-4.23511756,4.79148220,0.03606517,0.09101347,0.53796275,0.09509582,1.50615193,4.51682974,0.59041971,0.00000000
-4.22911456,4.79146199,0.03625244,0.09138264,0.54365861,0.09494671,1.49454736,4.52607479,0.58576360,0.00000000
-4.22311156,4.78924630,0.03639535,0.09177059,0.54911476,0.09469418,1.48225614,4.53391283,0.57979500,0.00000000
-4.21710855,4.78503804,0.03648349,0.09217766,0.55416873,0.09434740,1.46938353,4.54044133,0.57258626,0.00000000
-4.21110555,4.77887261,0.03650554,0.09260105,0.55863585,0.09391470,1.45596656,4.54557820,0.56421954,0.00000000
-4.20510255,4.77064345,0.03644998,0.09303569,0.56231824,0.09340395,1.44198382,4.54908915,0.55478563,0.00000000
-4.19909955,4.76013566,0.03630571,0.09347521,0.56501479,0.09282289,1.42736833,4.55062305,0.54438292,0.00000000
-4.19309655,4.74706487,0.03606271,0.09391304,0.56653182,0.09217961,1.41202227,4.54975281,0.53311650,0.00000000
-4.18709355,4.73111855,0.03571267,0.09434349,0.56669360,0.09148290,1.39583268,4.54601889,0.52109726,0.00000000
-4.18109055,4.71199674,0.03524953,0.09476277,0.56535226,0.09074257,1.37868690,4.53897232,0.50844098,0.00000000
-4.17508754,4.68944949,0.03466989,0.09516983,0.56239660,0.08996968,1.36048674,4.52821466,0.49526729,0.00000000
-4.16908454,4.66330845,0.03397329,0.09556705,0.55775922,0.08917654,1.34116055,4.51343223,0.48169850,0.00000000
-4.16308154,4.63351078,0.03316241,0.09596064,0.55142172,0.08837669,1.32067251,4.49442279,0.46785824,0.00000000
-4.15707854,4.60011394,0.03224301,0.09636071,0.54341764,0.08758460,1.29902848,4.47111300,0.45386979,0.00000000
-4.15107554,4.56330057,0.03122382,0.09678115,0.53383304,0.08681525,1.27627853,4.44356602,0.43985432,0.00000000
-4.14507254,4.52337355,0.03011626,0.09723913,0.52280476,0.08608366,1.25251581,4.41197907,0.42592887,0.00000000
-4.13906953,4.48074179,0.02893406,0.09775441,0.51051635,0.08540424,1.22787232,4.37667136,0.41220420,0.00000000
-4.13306653,4.43589790,0.02769277,0.09834842,0.49719217,0.08479012,1.20251179,4.33806357,0.39878260,0.00000000
-4.12706353,4.38938945,0.02640926,0.09904319,0.48308966,0.08425250,1.17662054,4.29665035,0.38575579,0.00000000
-4.12106053,4.34178598,0.02510114,0.09986027,0.46849048,0.08380002,1.15039677,4.25296795,0.37320287,0.00000000
-4.11505753,4.29364381,0.02378622,0.10081956,0.45369080,0.08343822,1.12403937,4.20755897,0.36118863,0.00000000
-4.10905453,4.24547122,0.02248201,0.10193827,0.43899128,0.08316919,1.09773674,4.16093684,0.34976216,0.00000000
-4.10305153,4.19769613,0.02120519,0.10322996,0.42468717,0.08299130,1.07165666,4.11355199,0.33895598,0.00000000
-4.09704852,4.15063845,0.01997124,0.10470380,0.41105894,0.08289922,1.04593757,4.06576226,0.32878566,0.00000000
-4.09104552,4.10448885,0.01879412,0.10636405,0.39836395,0.08288402,1.02068205,4.01780894,0.31925012,0.00000000
-4.08504252,4.05929528,0.01768600,0.10820973,0.38682930,0.08293357,0.99595265,3.96980046,0.31033252,0.00000000
-4.07903952,4.01495807,0.01665710,0.11023454,0.37664619,0.08303304,0.97177047,3.92170424,0.30200178,0.00000000
-4.07303652,3.97123411,0.01571565,0.11242710,0.36796596,0.08316559,0.94811633,3.87334773,0.29421471,0.00000000
-4.06703352,3.92774980,0.01486783,0.11477127,0.36089779,0.08331314,0.92493465,3.82442834,0.28691867,0.00000000
-4.06103052,3.88402220,0.01411787,0.11724672,0.35550815,0.08345721,0.90213947,3.77453194,0.28005461,0.00000000
-4.05502751,3.83948721,0.01346812,0.11982961,0.35182183,0.08357979,0.87962252,3.72315894,0.27356044,0.00000000
-4.04902451,3.79353338,0.01291922,0.12249337,0.34982441,0.08366417,0.85726262,3.66975660,0.26737454,0.00000000
-4.04302151,3.74553946,0.01247026,0.12520948,0.34946601,0.08369566,0.83493598,3.61375584,0.26143924,0.00000000
-4.03701851,3.69491380,0.01211896,0.12794827,0.35066603,0.08366229,0.81252677,3.55461062,0.25570411,0.00000000
-4.03101551,3.64113348,0.01186187,0.13067971,0.35331867,0.08355526,0.78993741,3.49183777,0.25012897,0.00000000
-4.02501251,3.58378121,0.01169453,0.13337407,0.35729892,0.08336928,0.76709797,3.42505513,0.24468633,0.00000000
-4.01900950,3.52257795,0.01161169,0.13600255,0.36246872,0.08310274,0.74397425,3.35401605,0.23936328,0.00000000
-4.01300650,3.45740970,0.01160748,0.13853781,0.36868316,0.08275771,0.72057401,3.27863817,0.23416265,0.00000000
-4.00700350,3.38834694,0.01167555,0.14095440,0.37579629,0.08233973,0.69695119,3.19902510,0.22910338,0.00000000
