energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,6.30019821,-6.30019900,1.99076443,-1.99076464,2.65728566,-2.65728565,0.02777112,-0.02777113,0.30404849,-0.30404848,1.74803210,-1.74803195,0.60941696,-0.60941756,2.03293642,-2.03293685,0.00000000,-0.00000000
-5.99399700,6.29251130,-6.29251208,1.97598166,-1.97598177,2.66804141,-2.66804149,0.02758835,-0.02758836,0.30097682,-0.30097681,1.72777169,-1.72777145,0.61584319,-0.61584381,2.02363820,-2.02363856,0.00000000,-0.00000000
-5.98799400,6.28156940,-6.28157020,1.95439157,-1.95439159,2.68352093,-2.68352111,0.02754244,-0.02754245,0.29744399,-0.29744397,1.70130079,-1.70130046,0.62242775,-0.62242840,2.00930942,-2.00930973,0.00000000,-0.00000000
-5.98199100,6.26941311,-6.26941398,1.92643030,-1.92643023,2.70493518,-2.70493549,0.02762471,-0.02762473,0.29360229,-0.29360227,1.66920235,-1.66920194,0.62926854,-0.62926921,1.99029455,-1.99029481,0.00000000,-0.00000000
-5.97598799,6.25841391,-6.25841488,1.89266571,-1.89266557,2.73362576,-2.73362623,0.02782535,-0.02782537,0.28962579,-0.28962577,1.63219018,-1.63218972,0.63647959,-0.63648028,1.96704718,-1.96704739,0.00000000,-0.00000000
-5.96998499,6.25117286,-6.25117398,1.85377862,-1.85377840,2.77099914,-2.77099980,0.02813373,-0.02813375,0.28570510,-0.28570509,1.59108568,-1.59108517,0.64418611,-0.64418682,1.94011253,-1.94011270,0.00000000,-0.00000000
-5.96398199,6.25040223,-6.25040355,1.81053953,-1.81053925,2.81845144,-2.81845231,0.02853870,-0.02853872,0.28204129,-0.28204130,1.54678982,-1.54678928,0.65251853,-0.65251928,1.91010593,-1.91010606,0.00000000,-0.00000000
-5.95797899,6.25879494,-6.25879649,1.76378200,-1.76378166,2.87728698,-2.87728809,0.02902893,-0.02902895,0.27883904,-0.27883908,1.50025190,-1.50025134,0.66160582,-0.66160659,1.87768843,-1.87768853,0.00000000,-0.00000000
-5.95197599,6.27888778,-6.27888960,1.71437388,-1.71437350,2.94863405,-2.94863541,0.02959309,-0.02959312,0.27629938,-0.27629944,1.45243619,-1.45243564,0.67156831,-0.67156911,1.84354073,-1.84354079,0.00000000,-0.00000000
-5.94597299,6.31292489,-6.31292703,1.66318781,-1.66318740,3.03336188,-3.03336351,0.03022011,-0.03022013,0.27461232,-0.27461242,1.40428841,-1.40428787,0.68251045,-0.68251128,1.80833653,-1.80833657,0.00000000,-0.00000000
-5.93996998,6.36272813,-6.36273060,1.61107233,-1.61107189,3.13200312,-3.13200502,0.03089927,-0.03089930,0.27394974,-0.27394987,1.35670326,-1.35670275,0.69451373,-0.69451459,1.77271685,-1.77271687,0.00000000,-0.00000000
-5.93396698,6.42958091,-6.42958372,1.55882493,-1.55882447,3.24468585,-3.24468803,0.03162036,-0.03162039,0.27445877,-0.27445894,1.31049473,-1.31049426,0.70763013,-0.70763102,1.73726622,-1.73726622,0.00000000,-0.00000000
-5.92796398,6.51413168,-6.51413484,1.50716810,-1.50716763,3.37107906,-3.37108151,0.03237364,-0.03237367,0.27625610,-0.27625631,1.26637042,-1.26637000,0.72187642,-0.72187734,1.70249196,-1.70249194,0.00000000,-0.00000000
