energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,4.74664230,0.22012216,0.17057363,1.50351224,0.94691659,1.24482617,0.62442441,2.02792799,0.00000000
-5.99399700,4.71707886,0.22268315,0.17042673,1.50409692,0.94593279,1.24320097,0.60849519,2.00803865,0.00000000
-5.98799400,4.68437774,0.22463826,0.17030323,1.50230493,0.94441452,1.23994721,0.59250017,1.98632766,0.00000000
-5.98199100,4.64795208,0.22594330,0.17014678,1.49804130,0.94208227,1.23498729,0.57653612,1.96282259,0.00000000
-5.97598799,4.60723815,0.22656385,0.16990006,1.49124104,0.93867337,1.22826532,0.56068262,1.93755486,0.00000000
-5.96998499,4.56172583,0.22647641,0.16950686,1.48187215,0.93395150,1.21975132,0.54500408,1.91056491,0.00000000
-5.96398199,4.51098762,0.22566939,0.16891409,1.46993811,0.92771524,1.20944503,0.52955236,1.88190765,0.00000000
-5.95797899,4.45470491,0.22414373,0.16807376,1.45547990,0.91980512,1.19737889,0.51436983,1.85165799,0.00000000
-5.95197599,4.39269078,0.22191321,0.16694465,1.43857737,0.91010921,1.18362037,0.49949267,1.81991603,0.00000000
-5.94597299,4.32490825,0.21900444,0.16549382,1.41935019,0.89856685,1.16827332,0.48495429,1.78681192,0.00000000
-5.93996998,4.25148359,0.21545657,0.16369783,1.39795805,0.88517066,1.15147843,0.47078862,1.75250998,0.00000000
-5.93396698,4.17271411,0.21132056,0.16154356,1.37460037,0.86996674,1.13341264,0.45703315,1.71721186,0.00000000
-5.92796398,4.08907006,0.20665828,0.15902879,1.34951524,0.85305314,1.11428758,0.44373153,1.68115851,0.00000000
-5.92196098,4.00119080,0.20154122,0.15616238,1.32297761,0.83457669,1.09434689,0.43093557,1.64463077,0.00000000
-5.91595798,3.90987497,0.19604906,0.15296411,1.29529664,0.81472843,1.07386253,0.41870661,1.60794831,0.00000000
-5.90995498,3.81606517,0.19026793,0.14946419,1.26681204,0.79373776,1.05313003,0.40711604,1.57146676,0.00000000
-5.90395198,3.72082731,0.18428861,0.14570248,1.23788952,0.77186562,1.03246282,0.39624503,1.53557301,0.00000000
-5.89794897,3.62532531,0.17820457,0.14172743,1.20891502,0.74939687,1.01218558,0.38618341,1.50067849,0.00000000
-5.89194597,3.53079172,0.17210991,0.13759476,1.18028801,0.72663211,0.99262687,0.37702776,1.46721075,0.00000000
-5.88594297,3.43849527,0.16609740,0.13336599,1.15241372,0.70387935,0.97411113,0.36887866,1.43560318,0.00000000
-5.87993997,3.34970616,0.16025645,0.12910679,1.12569449,0.68144555,0.95695028,0.36183745,1.40628350,0.00000000
-5.87393697,3.26566026,0.15467125,0.12488522,1.10052049,0.65962845,0.94143514,0.35600241,1.37966111,0.00000000
-5.86793397,3.18752355,0.14941907,0.12076994,1.07725996,0.63870885,0.92782703,0.35146474,1.35611404,0.00000000
-5.86193097,3.11635789,0.14456869,0.11682844,1.05624948,0.61894356,0.91634985,0.34830444,1.33597587,0.00000000
-5.85592796,3.05308952,0.14017918,0.11312524,1.03778451,0.60055921,0.90718293,0.34658635,1.31952346,0.00000000
-5.84992496,2.99848170,0.13629885,0.10972032,1.02211074,0.58374720,0.90045510,0.34635663,1.30696598,0.00000000
-5.84392196,2.95311237,0.13296465,0.10666758,1.00941666,0.56865967,0.89624022,0.34763985,1.29843597,0.00000000
-5.83791896,2.91735820,0.13020180,0.10401352,0.99982776,0.55540697,0.89455454,0.35043683,1.29398297,0.00000000
-5.83191596,2.89138551,0.12802385,0.10179622,0.99340272,0.54405635,0.89535606,0.35472358,1.29357021,0.00000000
-5.82591296,2.87514890,0.12643305,0.10004449,0.99013194,0.53463215,0.89854599,0.36045113,1.29707469,0.00000000
-5.81990995,2.86839743,0.12542106,0.09877730,0.98993852,0.52711733,0.90397244,0.36754656,1.30429075,0.00000000
-5.81390695,2.87068840,0.12496998,0.09800360,0.99268185,0.52145629,0.91143618,0.37591507,1.31493714,0.00000000
-5.80790395,2.88140811,0.12505366,0.09772234,0.99816354,0.51755892,0.92069829,0.38544289,1.32866727,0.00000000
-5.80190095,2.89979849,0.12563911,0.09792281,1.00613572,0.51530558,0.93148936,0.39600113,1.34508221,0.00000000
-5.79589795,2.92498856,0.12668818,0.09858528,1.01631110,0.51455289,0.94351984,0.40745002,1.36374574,0.00000000
-5.78989495,2.95602902,0.12815919,0.09968188,1.02837450,0.51514008,0.95649101,0.41964353,1.38420079,0.00000000
