energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,8.50291514,0.06886370,0.35692152,1.92732704,0.39030750,0.16519345,4.54141741,0.98824075,0.68015259
-5.99399700,8.22069278,0.06732403,0.34704264,1.90410384,0.37757042,0.15895119,4.39209122,0.95509843,0.65617292
-5.98799400,7.92330471,0.06559874,0.33657172,1.87364133,0.36450733,0.15256921,4.23413935,0.91996159,0.63096694
-5.98199100,7.61426249,0.06370906,0.32566213,1.83647206,0.35124306,0.14610781,4.06940491,0.88332704,0.60487998
-5.97598799,7.29717406,0.06167714,0.31446645,1.79327588,0.33790334,0.13962184,3.89980327,0.84569986,0.57825396
-5.96998499,6.97566718,0.05952534,0.30313234,1.74485935,0.32461361,0.13316005,3.72728222,0.80758135,0.55141962
-5.96398199,6.65331423,0.05727562,0.29179869,1.69213108,0.31149776,0.12676462,3.55378192,0.76945756,0.52468948
-5.95797899,6.33356063,0.05494907,0.28059237,1.63607407,0.29867671,0.12047107,3.38119570,0.73178884,0.49835193
-5.95197599,6.01965854,0.05256551,0.26962554,1.57771624,0.28626694,0.11430833,3.21133293,0.69500054,0.47266640
-5.94597299,5.71460783,0.05014325,0.25899362,1.51810013,0.27437900,0.10829909,3.04588489,0.65947521,0.44785979
-5.93996998,5.42110532,0.04769896,0.24877392,1.45825294,0.26311587,0.10246028,2.88639441,0.62554635,0.42412405
-5.93396698,5.14150337,0.04524763,0.23902498,1.39915805,0.25257140,0.09680375,2.73423008,0.59349379,0.40161497
-5.92796398,4.87777846,0.04280261,0.22978649,1.34172894,0.24282874,0.09133703,2.59056543,0.56354077,0.38045200
-5.92196098,4.63150984,0.04037576,0.22107991,1.28678619,0.23395878,0.08606410,2.45636342,0.53585251,0.36071913
-5.91595798,4.40386832,0.03797763,0.21290946,1.23503854,0.22601881,0.08098620,2.33236631,0.51053637,0.34246645
-5.90995498,4.19561485,0.03561758,0.20526368,1.18706811,0.21905125,0.07610262,2.21909107,0.48764328,0.32571250
-5.90395198,4.00710818,0.03330404,0.19811731,1.14332037,0.21308264,0.07141142,2.11682983,0.46717046,0.31044710
-5.89794897,3.83832104,0.03104465,0.19143341,1.10409881,0.20812286,0.06691000,2.02565546,0.44906507,0.29663453
-5.89194597,3.68886373,0.02884642,0.18516576,1.06956416,0.20416467,0.06259563,1.94543151,0.43322886,0.28421700
-5.88594297,3.55801429,0.02671584,0.17926129,1.03973813,0.20118356,0.05846584,1.87582628,0.41952337,0.27311821
-5.87993997,3.44475410,0.02465893,0.17366262,1.01451100,0.19913799,0.05451864,1.81633033,0.40777581,0.26324689
