energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-4.78139070,9.58591549,0.63998281,5.44119305,0.03369234,0.90886044,3.75322392,1.92940104,0.08085706,1.16957048
-4.77538769,9.45101367,0.61629651,5.40622050,0.03516528,0.87891897,3.62040604,1.90508730,0.08026978,1.13920761
-4.76938469,9.33945897,0.59480728,5.38359366,0.03667991,0.85142880,3.49849035,1.88398311,0.07971081,1.11297593
-4.76338169,9.25098015,0.57543048,5.37300166,0.03821856,0.82651870,3.38771647,1.86620186,0.07918047,1.09066078
-4.75737869,9.18492727,0.55802845,5.37402407,0.03976402,0.80424052,3.28798926,1.85174612,0.07868006,1.07198697
-4.75137569,9.14026280,0.54241774,5.38610909,0.04129984,0.78457225,3.19890448,1.84050639,0.07821155,1.05662705
-4.74537269,9.11555763,0.52837746,5.40855083,0.04281062,0.76742311,3.11978292,1.83226332,0.07777713,1.04420965
-4.73936968,9.10899432,0.51565845,5.44046840,0.04428222,0.75264061,3.04971174,1.82669329,0.07737882,1.03432804
-4.73336668,9.11837953,0.50399306,5.48078898,0.04570177,0.74001934,2.98759141,1.82337748,0.07701792,1.02654864
-4.72736368,9.14116774,0.49310521,5.52823762,0.04705768,0.72931101,2.93218646,1.82181429,0.07669457,1.02041976
-4.72136068,9.17449756,0.48272027,5.58133565,0.04833952,0.72023563,2.88217846,1.82143485,0.07640728,1.01548031
-4.71535768,9.21524150,0.47257466,5.63840936,0.04953785,0.71249330,2.83621921,1.82162145,0.07615260,1.01126860
-4.70935468,9.26006939,0.46242463,5.69761006,0.05064394,0.70577624,2.79298250,1.82172825,0.07592478,1.00733122
-4.70335168,9.30552451,0.45205408,5.75694572,0.05164954,0.69978068,2.75121280,1.82110382,0.07571570,1.00323186
-4.69734867,9.34811103,0.44128108,5.81432383,0.05254662,0.69421813,2.70976922,1.81911479,0.07551475,0.99856010
-4.69134567,9.38439001,0.42996295,5.86760415,0.05332706,0.68882579,2.66766353,1.81516984,0.07530901,0.99293987
-4.68534267,9.41108083,0.41799965,5.91465954,0.05398254,0.68337549,2.62409114,1.80874318,0.07508352,0.98603762
