energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,2.90887594,1.22832596,1.15889829,0.00559082,0.76577451,0.00406069,0.68730829
-5.99399700,2.96895026,1.25748360,1.18049149,0.00580405,0.76987560,0.00436587,0.71362455
-5.98799400,3.04119905,1.29243417,1.20680885,0.00604711,0.77669474,0.00473805,0.74338903
-5.98199100,3.12408434,1.33253309,1.23725256,0.00631847,0.78576163,0.00517495,0.77630742
-5.97598799,3.21590397,1.37708674,1.27114992,0.00661605,0.79658293,0.00567350,0.81202061
-5.96998499,3.31482485,1.42536712,1.30776637,0.00693727,0.80865425,0.00622980,0.85010881
-5.96398199,3.41891998,1.47662618,1.34632073,0.00727905,0.82147238,0.00683913,0.89009745
-5.95797899,3.52620854,1.53010958,1.38600246,0.00763780,0.83454729,0.00749597,0.93146508
-5.95197599,3.63469832,1.58506982,1.42599042,0.00800955,0.84741366,0.00819406,0.97365318
-5.94597299,3.74242948,1.64077845,1.46547277,0.00838991,0.85964164,0.00892650,1.01607763
-5.93996998,3.84751867,1.69653749,1.50366728,0.00877422,0.87084654,0.00968587,1.05814175
-5.93396698,3.94820208,1.75168963,1.53984151,0.00915760,0.88069711,0.01046435,1.09925034
-5.92796398,4.04287615,1.80562740,1.57333204,0.00953506,0.88892235,0.01125395,1.13882446
-5.92196098,4.13013458,1.85780088,1.60356204,0.00990162,0.89531646,0.01204671,1.17631622
-5.91595798,4.20880004,1.90772394,1.63005647,0.01025240,0.89974181,0.01283488,1.21122315
-5.90995498,4.27794931,1.95497883,1.65245412,0.01058278,0.90212995,0.01361115,1.24310139
-5.90395198,4.33693069,1.99921882,1.67051598,0.01088847,0.90248043,0.01436889,1.27157724
-5.89794897,4.38537253,2.04016899,1.68412947,0.01116563,0.90085754,0.01510228,1.29635631
-5.89194597,4.42318242,2.07762482,1.69330809,0.01141096,0.89738505,0.01580647,1.31722999
-5.88594297,4.45053666,2.11144885,1.69818654,0.01162177,0.89223915,0.01647772,1.33407884
-5.87993997,4.46786016,2.14156531,1.69901129,0.01179600,0.88563965,0.01711338,1.34687257
-5.87393697,4.47579748,2.16795299,1.69612693,0.01193228,0.87784006,0.01771192,1.35566675
-5.86793397,4.47517614,2.19063671,1.68995891,0.01202990,0.86911654,0.01827288,1.36059628
-5.86193097,4.46696360,2.20967773,1.68099325,0.01208876,0.85975646,0.01879667,1.36186602
-5.85592796,4.45222000,2.22516371,1.66975429,0.01210936,0.85004685,0.01928445,1.35973894
-5.84992496,4.43204879,2.23719862,1.65678140,0.01209268,0.84026325,0.01973789,1.35452259
-5.84392196,4.40754756,2.24589337,1.64260569,0.01204009,0.83065942,0.02015893,1.34655446
-5.83791896,4.37976167,2.25135768,1.62772806,0.01195329,0.82145841,0.02054952,1.33618700
-5.83191596,4.34964281,2.25369360,1.61259937,0.01183418,0.81284527,0.02091135,1.32377326
-5.82591296,4.31801475,2.25299132,1.59760394,0.01168476,0.80496188,0.02124566,1.30965365
-5.81990995,4.28554784,2.24932732,1.58304704,0.01150705,0.79790400,0.02155300,1.29414471
-5.81390695,4.25274371,2.24276522,1.56914700,0.01130305,0.79172081,0.02183312,1.27753021
-5.80790395,4.21993081,2.23335913,1.55603236,0.01107461,0.78641686,0.02208489,1.26005518
-5.80190095,4.18727082,2.22115940,1.54374408,0.01082349,0.78195647,0.02230624,1.24192284
-5.79589795,4.15477571,2.20622028,1.53224266,0.01055129,0.77827026,0.02249428,1.22329460
-5.78989495,4.12233413,2.18860921,1.52141983,0.01025949,0.77526366,0.02264534,1.20429296
-5.78389195,4.08974574,2.16841678,1.51111395,0.00994945,0.77282684,0.02275522,1.18500683
-5.77788894,4.05676142,2.14576699,1.50112847,0.00962249,0.77084570,0.02281934,1.16549899
-5.77188594,4.02312702,2.12082700,1.49125229,0.00927995,0.76921337,0.02283305,1.14581493
-5.76588294,3.98862820,2.09381552,1.48128102,0.00892318,0.76784160,0.02279187,1.12599259
-5.75987994,3.95313370,2.06500947,1.47103780,0.00855368,0.76667141,0.02269174,1.10607218
-5.75387694,3.91663459,2.03474818,1.46039280,0.00817309,0.76568268,0.02252934,1.08610553
-5.74787394,3.87927722,2.00343475,1.44928012,0.00778327,0.76490172,0.02230227,1.06616425
-5.74187094,3.84138775,1.97153433,1.43771124,0.00738628,0.76440683,0.02200923,1.04634635
-5.73586793,3.80348683,1.93956910,1.42578429,0.00698445,0.76433105,0.02165020,1.02678072
-5.72986493,3.76629314,1.90811005,1.41368845,0.00658030,0.76486215,0.02122647,1.00762925
-5.72386193,3.73071526,1.87776563,1.40170327,0.00617657,0.76623941,0.02074067,0.98908650
-5.71785893,3.69783184,1.84916754,1.39019271,0.00577612,0.76874743,0.02019675,0.97137679
-5.71185593,3.66886045,1.82295418,1.37959413,0.00538197,0.77270691,0.01959987,0.95474886
-5.70585293,3.64511622,1.79975212,1.37040254,0.00499711,0.77846262,0.01895624,0.93946839
-5.69984992,3.62796168,1.78015628,1.36315073,0.00462453,0.78636913,0.01827296,0.92580863
-5.69384692,3.61874993,1.76470935,1.35838619,0.00426713,0.79677460,0.01755778,0.91403964
-5.68784392,3.61876319,1.75388138,1.35664563,0.00392759,0.81000336,0.01681890,0.90441655
-5.68184092,3.62914957,1.74804999,1.35842838,0.00360839,0.82633796,0.01606472,0.89716757
-5.67583792,3.65086073,1.74748222,1.36416977,0.00331170,0.84600147,0.01530358,0.89248206
-5.66983492,3.68459334,1.75231862,1.37421574,0.00303939,0.86914081,0.01454358,0.89049947
-5.66383192,3.73073713,1.76256042,1.38879992,0.00279293,0.89581202,0.01379234,0.89129955
-5.65782891,3.78933232,1.77806026,1.40802439,0.00257346,0.92596807,0.01305685,0.89489447
-5.65182591,3.86003857,1.79851739,1.43184501,0.00238173,0.95945013,0.01234332,0.90122315
-5.64582291,3.94211774,1.82347752,1.46006232,0.00221814,0.99598267,0.01165707,0.91014824
-5.63981991,4.03443154,1.85233784,1.49231847,0.00208276,1.03517303,0.01100249,0.92145606
-5.63381691,4.13545525,1.88435728,1.52810078,0.00197537,1.07651556,0.01038297,0.93485944
-5.62781391,4.24330722,1.91867203,1.56675173,0.00189548,1.11940052,0.00980091,0.95000365
-5.62181091,4.35579393,1.95431597,1.60748529,0.00184238,1.16312747,0.00925780,0.96647520
-5.61580790,4.47046883,1.99024561,1.64940901,0.00181520,1.20692290,0.00875423,0.98381315
-5.60980490,4.58470313,2.02536870,1.69155101,0.00181292,1.24996131,0.00828999,1.00152259
-5.60380190,4.69576564,2.05857554,1.73289074,0.00183441,1.29138922,0.00786420,1.01908982
-5.59779890,4.80090844,2.08877201,1.77239221,0.00187847,1.33035086,0.00747542,1.03599835
-5.59179590,4.89745471,2.11491284,1.80903829,0.00194384,1.36601476,0.00712172,1.05174536
-5.58579290,4.98288497,2.13603389,1.84186443,0.00202921,1.39759992,0.00680089,1.06585760
-5.57978989,5.05491786,2.15128207,1.86999044,0.00213320,1.42440051,0.00651051,1.07790627
-5.57378689,5.11158201,2.15994153,1.89264888,0.00225439,1.44580803,0.00624805,1.08752002
-5.56778389,5.15127595,2.16145514,1.90920880,0.00239128,1.46132998,0.00601099,1.09439566
-5.56178089,5.17281346,2.15544016,1.91919403,0.00254224,1.47060423,0.00579692,1.09830618
-5.55577789,5.17545293,2.14169759,1.92229511,0.00270558,1.47340856,0.00560355,1.09910566
-5.54977489,5.15890968,2.12021485,1.91837491,0.00287942,1.46966510,0.00542885,1.09673115
-5.54377189,5.12335153,2.09116173,1.90746767,0.00306175,1.45943941,0.00527097,1.09120146
-5.53776888,5.06937854,2.05488010,1.88977203,0.00325041,1.44293474,0.00512838,1.08261325
-5.53176588,4.99798869,2.01186797,1.86563862,0.00344305,1.42048156,0.00499979,1.07113471
-5.52576288,4.91053184,1.96275890,1.83555331,0.00363721,1.39252326,0.00488418,1.05699736
-5.51975988,4.80865504,1.90829785,1.80011694,0.00383028,1.35959873,0.00478078,1.04048663
-5.51375688,4.69424221,1.84931488,1.76002311,0.00401960,1.32232269,0.00468907,1.02193171
-5.50775388,4.56935141,1.78669791,1.71603481,0.00420249,1.28136492,0.00460877,1.00169535
-5.50175088,4.43615274,1.72136588,1.66896134,0.00437632,1.23742910,0.00453976,0.98016406
-5.49574787,4.29686955,1.65424347,1.61963638,0.00453859,1.19123237,0.00448216,0.95773927
-5.48974487,4.15372504,1.58623837,1.56889795,0.00468702,1.14348625,0.00443621,0.93482949
-5.48374187,4.00889586,1.51822172,1.51757087,0.00481965,1.09487955,0.00440235,0.91184395
-5.47773887,3.86447348,1.45101237,1.46645200,0.00493489,1.04606386,0.00438113,0.88918733
-5.47173587,3.72243358,1.38536489,1.41629830,0.00503164,0.99764174,0.00437323,0.86725582
-5.46573287,3.58461304,1.32196140,1.36781756,0.00510933,0.95015772,0.00437943,0.84643393
-5.45972986,3.45269360,1.26140682,1.32166140,0.00516798,0.90409214,0.00440057,0.82709187
-5.45372686,3.32819100,1.20422707,1.27842017,0.00520820,0.85985762,0.00443756,0.80958315
-5.44772386,3.21244806,1.15086949,1.23861914,0.00523125,0.81779774,0.00449128,0.79424186
-5.44172086,3.10663029,1.10170493,1.20271552,0.00523893,0.77818772,0.00456258,0.78137944
-5.43571786,3.01172273,1.05703067,1.17109582,0.00523362,0.74123662,0.00465220,0.77128060
-5.42971486,2.92852675,1.01707370,1.14407324,0.00521813,0.70709074,0.00476070,0.76419834
-5.42371186,2.85765629,0.98199380,1.12188480,0.00519563,0.67583784,0.00488842,0.76034794
-5.41770885,2.79953311,0.95188608,1.10468835,0.00516954,0.64751191,0.00503538,0.75990014
-5.41170585,2.75438120,0.92678285,1.09255930,0.00514339,0.62209815,0.00520123,0.76297387
-5.40570285,2.72222087,0.90665475,1.08548767,0.00512066,0.59953825,0.00538520,0.76962877
-5.39969985,2.70286351,0.89141143,1.08337556,0.00510469,0.57973556,0.00558604,0.77985808
-5.39369685,2.69590790,0.88090190,1.08603568,0.00509848,0.56256040,0.00580198,0.79358259
-5.38769385,2.70073967,0.87491510,1.09319146,0.00510466,0.54785524,0.00603074,0.81064599
-5.38169085,2.71653483,0.87318094,1.10447911,0.00512530,0.53543999,0.00626953,0.83081242
-5.37568784,2.74226876,0.87537241,1.11945214,0.00516193,0.52511732,0.00651511,0.85376654
-5.36968484,2.77673145,0.88110896,1.13758866,0.00521548,0.51667798,0.00676380,0.87911659
-5.36368184,2.81854943,0.88996157,1.15830155,0.00528625,0.50990623,0.00701167,0.90640067
-5.35767884,2.86621479,0.90145958,1.18095160,0.00537403,0.50458523,0.00725458,0.93509626
-5.35167584,2.91812065,0.91509935,1.20486326,0.00547812,0.50050240,0.00748834,0.96463287
-5.34567284,2.97260251,0.93035471,1.22934273,0.00559750,0.49745458,0.00770890,0.99440754
-5.33966983,3.02798417,0.94668876,1.25369786,0.00573093,0.49525288,0.00791249,1.02380269
-5.33366683,3.08262654,0.96356686,1.27725891,0.00587723,0.49372706,0.00809581,1.05220564
-5.32766383,3.13497758,0.98047014,1.29939963,0.00603539,0.49272937,0.00825622,1.07902906
-5.32166083,3.18362108,0.99690913,1.31955755,0.00620483,0.49213745,0.00839188,1.10373145
-5.31565783,3.22732231,1.01243682,1.33725269,0.00638562,0.49185649,0.00850192,1.12583675
-5.30965483,3.26506829,1.02666060,1.35210367,0.00657865,0.49182030,0.00858653,1.14495225
-5.30365183,3.29610070,1.03925264,1.36384058,0.00678585,0.49199127,0.00864709,1.16078375
-5.29764882,3.31993996,1.04995804,1.37231381,0.00701030,0.49235929,0.00868618,1.17314745
-5.29164582,3.33639900,1.05860065,1.37749840,0.00725634,0.49293957,0.00870761,1.18197781
-5.28564282,3.34558614,1.06508609,1.37949364,0.00752957,0.49376950,0.00871637,1.18733099
-5.27963982,3.34789652,1.06940198,1.37851775,0.00783686,0.49490459,0.00871853,1.18938364
-5.27363682,3.34399263,1.07161548,1.37489801,0.00818623,0.49641378,0.00872109,1.18842702
-5.26763382,3.33477441,1.07186809,1.36905637,0.00858666,0.49837421,0.00873183,1.18485668
-5.26163082,3.32134037,1.07036818,1.36149160,0.00904780,0.50086567,0.00875902,1.17915806
-5.25562781,3.30494129,1.06738158,1.35275826,0.00957971,0.50396506,0.00881119,1.17188864
-5.24962481,3.28692852,1.06322051,1.34344379,0.01019237,0.50774098,0.00889681,1.16365743
-5.24362181,3.26869906,1.05823160,1.33414449,0.01089529,0.51224869,0.00902400,1.15510257
-5.23761881,3.25163989,1.05278329,1.32544155,0.01169698,0.51752570,0.00920017,1.14686811
-5.23161581,3.23707367,1.04725314,1.31787805,0.01260444,0.52358804,0.00943170,1.13958085
-5.22561281,3.22620823,1.04201556,1.31193803,0.01362266,0.53042747,0.00972367,1.13382824
-5.21960980,3.22009178,1.03743029,1.30802838,0.01475411,0.53800966,0.01007953,1.13013812
-5.21360680,3.21957541,1.03383197,1.30646432,0.01599833,0.54627336,0.01050092,1.12896123
-5.20760380,3.22528435,1.03152104,1.30745896,0.01735155,0.55513068,0.01098748,1.13065695
-5.20160080,3.23759869,1.03075609,1.31111721,0.01880643,0.56446829,0.01153670,1.13548276
-5.19559780,3.25664411,1.03174777,1.31743432,0.02035195,0.57414968,0.01214395,1.14358768
