energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,2.67378321,0.01108953,0.22071277,0.56416085,0.36401482,1.81996300,1.17100081,0.00316786,0.87815134
-5.99399700,2.76716349,0.01126231,0.23350748,0.58139947,0.37235534,1.87919028,1.22256491,0.00325211,0.90140750
-5.98799400,2.86478132,0.01144208,0.24676181,0.59867144,0.38185176,1.93790301,1.27697367,0.00337194,0.92493049
-5.98199100,2.96555146,0.01162164,0.26034348,0.61585575,0.39238079,1.99563814,1.33361419,0.00352531,0.94846777
-5.97598799,3.06841722,0.01179448,0.27411902,0.63286715,0.40380035,2.05203732,1.39185359,0.00371045,0.97181068
-5.96998499,3.17237688,0.01195488,0.28795637,0.64965915,0.41595312,2.10685187,1.45105486,0.00392580,0.99480055
-5.96398199,3.27650668,0.01209811,0.30172763,0.66622499,0.42867056,2.15994320,1.51059230,0.00417003,1.01733219
-5.95797899,3.37997955,0.01222049,0.31531168,0.68259662,0.44177727,2.21127851,1.56986618,0.00444199,1.03935475
-5.95197599,3.48207822,0.01231947,0.32859657,0.69884149,0.45509545,2.26092159,1.62831565,0.00474064,1.06086952
-5.94597299,3.58220217,0.01239357,0.34148167,0.71505718,0.46844925,2.30901891,1.68542950,0.00506507,1.08192486
-5.93996998,3.67986784,0.01244243,0.35387923,0.73136405,0.48166883,2.35578132,1.74075424,0.00541436,1.10260821
-5.93396698,3.77470196,0.01246665,0.36571551,0.74789608,0.49459390,2.40146201,1.79389908,0.00578760,1.12303573
-5.92796398,3.86642846,0.01246766,0.37693112,0.76479038,0.50707653,2.44633145,1.84453769,0.00618374,1.14333977
-5.92196098,3.95484945,0.01244761,0.38748082,0.78217575,0.51898327,2.49065050,1.89240669,0.00660162,1.16365491
-5.91595798,4.03982153,0.01240915,0.39733250,0.80016094,0.53019637,2.53464279,1.93730113,0.00703981,1.18410331
-5.90995498,4.12122881,0.01235525,0.40646564,0.81882313,0.54061425,2.57846779,1.97906722,0.00749664,1.20478003
-5.90395198,4.19895439,0.01228899,0.41486916,0.83819732,0.55015112,2.62219606,2.01759303,0.00797007,1.22573935
-5.89794897,4.27285228,0.01221339,0.42253888,0.85826738,0.55873606,2.66578813,2.05279773,0.00845770,1.24698271
-5.89194597,4.34272158,0.01213122,0.42947477,0.87895908,0.56631151,2.70907832,2.08462023,0.00895674,1.26844919
-5.88594297,4.40828507,0.01204487,0.43567814,0.90013597,0.57283159,2.75176492,2.11300806,0.00946400,1.29000921
-5.87993997,4.46917377,0.01195624,0.44114900,0.92159819,0.57826021,2.79340743,2.13790728,0.00997590,1.31146185
-5.87393697,4.52491897,0.01186668,0.44588383,0.94308463,0.58256941,2.83343173,2.15925433,0.01048851,1.33253621
-5.86793397,4.57495265,0.01177695,0.44987383,0.96427844,0.58573792,2.87114328,2.17697024,0.01099761,1.35289691
-5.86193097,4.61861679,0.01168724,0.45310396,0.98481588,0.58775010,2.90574811,2.19095786,0.01149877,1.37215362
-5.85592796,4.65518137,0.01159722,0.45555270,1.00429799,0.58859549,2.93638094,2.20110232,0.01198743,1.38987416
-5.84992496,4.68387042,0.01150612,0.45719271,1.02230489,0.58826881,2.96213934,2.20727465,0.01245902,1.40560073
-5.84392196,4.70389473,0.01141287,0.45799229,1.03841179,0.58677049,2.98212215,2.20933844,0.01290905,1.41886833
-5.83791896,4.71448944,0.01131616,0.45791755,1.05220615,0.58410765,2.99547046,2.20715906,0.01333323,1.42922455
-5.83191596,4.71495433,0.01121465,0.45693524,1.06330495,0.58029534,3.00140883,2.20061478,0.01372754,1.43624958
-5.82591296,4.70469438,0.01110701,0.45501588,1.07137139,0.57535784,2.99928461,2.18960897,0.01408840,1.43957547
-5.81990995,4.68325796,0.01099213,0.45213716,1.07612986,0.56933001,2.98860304,2.17408252,0.01441266,1.43890348
-5.81390695,4.65037025,0.01086912,0.44828717,1.07737866,0.56225825,2.96905602,2.15402546,0.01469768,1.43401859
-5.80790395,4.60595962,0.01073745,0.44346730,1.07499946,0.55420110,2.94054290,2.12948703,0.01494138,1.42480035
-5.80190095,4.55017520,0.01059698,0.43769463,1.06896327,0.54522923,2.90318195,2.10058320,0.01514223,1.41122955
-5.79589795,4.48339430,0.01044791,0.43100345,1.05933228,0.53542481,2.85731154,2.06750116,0.01529922,1.39339015
-5.78989495,4.40621902,0.01029084,0.42344592,1.04625766,0.52488010,2.80348104,2.03050034,0.01541185,1.37146656
-5.78389195,4.31946208,0.01012664,0.41509166,1.02997331,0.51369545,2.74243169,1.98990963,0.01548005,1.34573640
-5.77788894,4.22412262,0.00995646,0.40602638,1.01078594,0.50197665,2.67506842,1.94612107,0.01550413,1.31655908
-5.77188594,4.12135318,0.00978155,0.39634952,0.98906193,0.48983190,2.60242422,1.89958018,0.01548468,1.28436098
-5.76588294,4.01241983,0.00960323,0.38617101,0.96521179,0.47736850,2.52561896,1.85077355,0.01542257,1.24961801
-5.75987994,3.89865772,0.00942276,0.37560746,0.93967296,0.46468946,2.44581486,1.80021444,0.01531881,1.21283661
-5.75387694,3.78142464,0.00924126,0.36477787,0.91289193,0.45189032,2.36417119,1.74842719,0.01517455,1.17453412
-5.74787394,3.66205511,0.00905959,0.35379927,0.88530652,0.43905644,2.28180058,1.69593146,0.01499102,1.13521973
-5.74187094,3.54181783,0.00887835,0.34278241,0.85732940,0.42626074,2.19972919,1.64322731,0.01476953,1.09537685
-5.73586793,3.42187851,0.00869778,0.33182793,0.82933353,0.41356232,2.11886292,1.59078188,0.01451148,1.05544788
-5.72986493,3.30327032,0.00851780,0.32102309,0.80164026,0.40100590,2.03996116,1.53901854,0.01421837,1.01582209
-5.72386193,3.18687313,0.00833797,0.31043945,0.77451064,0.38862211,1.96361941,1.48830917,0.01389184,0.97682700
-5.71785893,3.07340255,0.00815757,0.30013143,0.74814027,0.37642876,1.89026112,1.43896990,0.01353372,0.93872364
-5.71185593,2.96340891,0.00797563,0.29013595,0.72265779,0.36443280,1.82013904,1.39126038,0.01314611,0.90170569
-5.70585293,2.85728584,0.00779103,0.28047314,0.69812692,0.35263311,1.75334542,1.34538680,0.01273139,0.86590231
-5.69984992,2.75528732,0.00760258,0.27114803,0.67455182,0.34102362,1.68983007,1.30150796,0.01229232,0.83138429
-5.69384692,2.65755197,0.00740912,0.26215307,0.65188526,0.32959688,1.62942489,1.25974418,0.01183203,0.79817290
-5.68784392,2.56413248,0.00720960,0.25347137,0.63003903,0.31834761,1.57187314,1.22018817,0.01135411,0.76625082
-5.68184092,2.47502824,0.00700324,0.24508035,0.60889589,0.30727611,1.51686147,1.18291717,0.01086256,0.73557441
-5.67583792,2.39021893,0.00678953,0.23695564,0.58832228,0.29639133,1.46405281,1.14800545,0.01036181,0.70608642
-5.66983492,2.30969692,0.00656838,0.22907495,0.56818122,0.28571336,1.41311817,1.11553618,0.00985667,0.67772848
-5.66383192,2.23349647,0.00634010,0.22142161,0.54834435,0.27527524,1.36376560,1.08561216,0.00935228,0.65045264
-5.65782891,2.16171816,0.00610550,0.21398778,0.52870291,0.26512397,1.31576493,1.05836439,0.00885405,0.62423135
-5.65182591,2.09454713,0.00586586,0.20677690,0.50917674,0.25532068,1.26896708,1.03395815,0.00836756,0.59906545
-5.64582291,2.03226441,0.00562294,0.19980542,0.48972119,0.24593993,1.22331731,1.01259618,0.00789844,0.57498985
-5.63981991,1.97525102,0.00537891,0.19310378,0.47033163,0.23706823,1.17886207,0.99451887,0.00745233,0.55207670
-5.63381691,1.92398489,0.00513634,0.18671652,0.45104542,0.22880192,1.13574954,0.98000137,0.00703472,0.53043621
-5.62781391,1.87903120,0.00489810,0.18070159,0.43194148,0.22124440,1.09422436,0.96934820,0.00665086,0.51021503
-5.62181091,1.84102722,0.00466725,0.17512902,0.41313765,0.21450304,1.05461726,0.96288545,0.00630570,0.49159263
-5.61580790,1.81066270,0.00444702,0.17007904,0.39478610,0.20868583,1.01733060,0.96095142,0.00600378,0.47477605
-5.60980490,1.78865737,0.00424060,0.16563967,0.37706723,0.20389796,0.98282097,0.96388617,0.00574918,0.45999325
-5.60380190,1.77573698,0.00405111,0.16190418,0.36018242,0.20023860,0.95157999,0.97202086,0.00554546,0.44748568
-5.59779890,1.77260928,0.00388146,0.15896831,0.34434621,0.19779786,0.92411453,0.98566730,0.00539566,0.43750043
