energy_ev,total_up,Ag_p_up,Ag_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,3.36730897,1.16869389,2.75154660,0.13250517,0.00481017,0.05461731,0.25748722
-5.99399700,3.24872611,1.14766185,2.64853301,0.13386378,0.00466701,0.05503730,0.24845828
-5.98799400,3.12214068,1.12402635,2.53850541,0.13477582,0.00450804,0.05518064,0.23932466
-5.98199100,2.98928596,1.09804004,2.42305275,0.13521615,0.00433468,0.05503849,0.23015348
-5.97598799,2.85196160,1.06998035,2.30381372,0.13516495,0.00414870,0.05460831,0.22101904
-5.96998499,2.71197862,1.04013816,2.18242854,0.13460819,0.00395209,0.05389389,0.21199919
-5.96398199,2.57110753,1.00880747,2.06049362,0.13353789,0.00374707,0.05290509,0.20317163
-5.95797899,2.43103134,0.97627637,1.93952064,0.13195254,0.00353596,0.05165749,0.19461050
-5.95197599,2.29330504,0.94281977,1.82090128,0.12985723,0.00332115,0.05017180,0.18638335
-5.94597299,2.15932242,0.90869400,1.70587835,0.12726386,0.00310501,0.04847312,0.17854869
-5.93996998,2.03029095,0.87413331,1.59552406,0.12419113,0.00288986,0.04659014,0.17115403
-5.93396698,1.90721478,0.83934800,1.49072525,0.12066444,0.00267788,0.04455416,0.16423467
-5.92796398,1.79088583,0.80452423,1.39217573,0.11671563,0.00247109,0.04239816,0.15781303
-5.92196098,1.68188223,0.76982495,1.30037521,0.11238249,0.00227130,0.04015581,0.15189867
-5.91595798,1.58057357,0.73539175,1.21563411,0.10770822,0.00208008,0.03786050,0.14648869
-5.90995498,1.48713196,0.70134731,1.13808357,0.10274064,0.00189876,0.03554450,0.14156878
-5.90395198,1.40154777,0.66779801,1.06768986,0.09753125,0.00172839,0.03323811,0.13711439
-5.89794897,1.32364914,0.63483654,1.00427204,0.09213421,0.00156979,0.03096901,0.13309231
-5.89194597,1.25312407,0.60254425,0.94752210,0.08660525,0.00142347,0.02876175,0.12946239
-5.88594297,1.18954408,0.57099310,0.89702671,0.08100044,0.00128974,0.02663729,0.12617920
-5.87993997,1.13238856,0.54024710,0.85228952,0.07537504,0.00116865,0.02461281,0.12319385
-5.87393697,1.08106891,0.51036328,0.81275352,0.06978234,0.00106003,0.02270159,0.12045560
-5.86793397,1.03495182,0.48139218,0.77782252,0.06427263,0.00096356,0.02091304,0.11791342
-5.86193097,0.99338102,0.45337798,0.74688140,0.05889220,0.00087872,0.01925291,0.11551734
-5.85592796,0.95569710,0.42635832,0.71931453,0.05368260,0.00080488,0.01772348,0.11321963
-5.84992496,0.92125504,0.40036402,0.69452206,0.04867999,0.00074126,0.01632398,0.11097578
-5.84392196,0.88943922,0.37541875,0.67193388,0.04391472,0.00068704,0.01505098,0.10874528
-5.83791896,0.85967578,0.35153871,0.65102101,0.03941110,0.00064130,0.01389882,0.10649223
-5.83191596,0.83144232,0.32873254,0.63130448,0.03518734,0.00060312,0.01286009,0.10418569
-5.82591296,0.80427507,0.30700145,0.61236171,0.03125574,0.00057154,0.01192612,0.10180000
-5.81990995,0.77777352,0.28633951,0.59383052,0.02762295,0.00054560,0.01108736,0.09931482
-5.81390695,0.75160292,0.26673431,0.57541097,0.02429043,0.00052439,0.01033385,0.09671518
-5.80790395,0.72549478,0.24816780,0.55686527,0.02125503,0.00050701,0.00965554,0.09399136
-5.80190095,0.69924564,0.23061743,0.53801612,0.01850957,0.00049263,0.00904263,0.09113874
-5.79589795,0.67271460,0.21405734,0.51874361,0.01604357,0.00048048,0.00848583,0.08815761
-5.78989495,0.64581971,0.19845984,0.49898123,0.01384395,0.00046986,0.00797654,0.08505290
-5.78389195,0.61853367,0.18379691,0.47871109,0.01189570,0.00046016,0.00750703,0.08183402
-5.77788894,0.59087909,0.17004172,0.45795883,0.01018261,0.00045087,0.00707054,0.07851459
-5.77188594,0.56292361,0.15717018,0.43678827,0.00868784,0.00044155,0.00666131,0.07511228
-5.76588294,0.53477493,0.14516251,0.41529616,0.00739458,0.00043187,0.00627467,0.07164859
-5.75987994,0.50657621,0.13400462,0.39360723,0.00628651,0.00042161,0.00590694,0.06814877
-5.75387694,0.47850162,0.12368956,0.37186949,0.00534827,0.00041062,0.00555551,0.06464167
-5.74787394,0.45075245,0.11421870,0.35025002,0.00456585,0.00039888,0.00521869,0.06115966
-5.74187094,0.42355350,0.10560290,0.32893129,0.00392693,0.00038643,0.00489572,0.05773860
-5.73586793,0.39715000,0.09786345,0.30810779,0.00342111,0.00037344,0.00458664,0.05441777
-5.72986493,0.37180483,0.09103290,0.28798331,0.00304015,0.00036012,0.00429227,0.05123987
-5.72386193,0.34779600,0.08515557,0.26876838,0.00277809,0.00034681,0.00401412,0.04825091
-5.71785893,0.32541441,0.08028793,0.25067815,0.00263137,0.00033387,0.00375430,0.04550020
-5.71185593,0.30496154,0.07649862,0.23393035,0.00259890,0.00032177,0.00351544,0.04304019
-5.70585293,0.28674712,0.07386812,0.21874342,0.00268204,0.00031101,0.00330069,0.04092630
-5.69984992,0.27108656,0.07248805,0.20533453,0.00288456,0.00030216,0.00311355,0.03921664
-5.69384692,0.25829795,0.07245999,0.19391753,0.00321256,0.00029582,0.00295790,0.03797163
-5.68784392,0.24869858,0.07389377,0.18470061,0.00367432,0.00029262,0.00283786,0.03725345
-5.68184092,0.24260075,0.07690525,0.17788364,0.00428003,0.00029324,0.00275779,0.03712534
-5.67583792,0.24030682,0.08161342,0.17365517,0.00504157,0.00029834,0.00272216,0.03765071
-5.66983492,0.24210341,0.08813696,0.17218889,0.00597212,0.00030859,0.00273549,0.03889201
-5.66383192,0.24825477,0.09659015,0.17363970,0.00708569,0.00032465,0.00280227,0.04090942
-5.65782891,0.25899517,0.10707823,0.17813937,0.00839666,0.00034716,0.00292684,0.04375925
