energy_ev,total_up,In_p_up,In_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,2.87879222,0.12660181,0.01353167,3.76216356,0.91707241,0.00647005,0.60260049
-5.99399700,2.85670028,0.12843548,0.01343072,3.75091678,0.90589199,0.00643575,0.60193185
-5.98799400,2.82190719,0.12966494,0.01326567,3.72102651,0.89120973,0.00637550,0.59906928
-5.98199100,2.77414789,0.13025169,0.01303565,3.67225512,0.87291274,0.00628825,0.59382522
-5.97598799,2.71350021,0.13016976,0.01274152,3.60481474,0.85099578,0.00617372,0.58608019
-5.96998499,2.64037718,0.12940630,0.01238578,3.51935501,0.82555967,0.00603247,0.57578472
-5.96398199,2.55550733,0.12796188,0.01197244,3.41693621,0.79680569,0.00586582,0.56295874
-5.95797899,2.45990462,0.12585040,0.01150692,3.29898963,0.76502646,0.00567580,0.54768878
-5.95197599,2.35482989,0.12309858,0.01099577,3.16726751,0.73059405,0.00546510,0.53012311
-5.94597299,2.24174593,0.11974511,0.01044650,3.02378540,0.69394588,0.00523695,0.51046517
-5.93996998,2.12226857,0.11583960,0.00986729,2.87075941,0.65556932,0.00499505,0.48896581
-5.93396698,1.99811603,0.11144109,0.00926676,2.71054148,0.61598561,0.00474347,0.46591447
-5.92796398,1.87105865,0.10661656,0.00865367,2.54555509,0.57573394,0.00448654,0.44162987
-5.92196098,1.74287096,0.10143912,0.00803677,2.37823386,0.53535617,0.00422878,0.41645058
-5.91595798,1.61528775,0.09598621,0.00742447,2.21096489,0.49538292,0.00397475,0.39072561
-5.90995498,1.48996519,0.09033772,0.00682477,2.04603853,0.45632117,0.00372904,0.36480552
-5.90395198,1.36844813,0.08457414,0.00624500,1.88560532,0.41864392,0.00349615,0.33903421
-5.89794897,1.25214369,0.07877483,0.00569178,1.73164098,0.38278182,0.00328042,0.31374141
-5.89194597,1.14230148,0.07301632,0.00517088,1.58591925,0.34911692,0.00308597,0.28923636
-5.88594297,1.04000001,0.06737084,0.00468720,1.44999237,0.31797836,0.00291666,0.26580230
-5.87993997,0.94613883,0.06190498,0.00424471,1.32517858,0.28963990,0.00277604,0.24369217
-5.87393697,0.86143565,0.05667866,0.00384649,1.21255570,0.26431898,0.00266726,0.22312524
-5.86793397,0.78642753,0.05174419,0.00349474,1.11295982,0.24217700,0.00259307,0.20428481
-5.86193097,0.72147537,0.04714564,0.00319078,1.02698796,0.22332064,0.00255575,0.18731670
-5.85592796,0.66677060,0.04291846,0.00293517,0.95500366,0.20780381,0.00255707,0.17232861
-5.84992496,0.62234351,0.03908924,0.00272769,0.89714469,0.19563001,0.00259821,0.15939011
-5.84392196,0.58807238,0.03567572,0.00256743,0.85333197,0.18675497,0.00267976,0.14853330
-5.83791896,0.56369304,0.03268701,0.00245287,0.82327930,0.18108931,0.00280164,0.13975389
-5.83191596,0.54880847,0.03012390,0.00238188,0.80650355,0.17850126,0.00296308,0.13301273
-5.82591296,0.54289838,0.02797939,0.00235184,0.80233526,0.17881932,0.00316253,0.12823771
-5.81990995,0.54532880,0.02623931,0.00235963,0.80992988,0.18183498,0.00339772,0.12532599
-5.81390695,0.55536198,0.02488302,0.00240171,0.82827987,0.18730556,0.00366555,0.12414650
-5.80790395,0.57216666,0.02388424,0.00247416,0.85622828,0.19495736,0.00396219,0.12454279
-5.80190095,0.59482943,0.02321186,0.00257273,0.89248420,0.20448910,0.00428300,0.12633612
-5.79589795,0.62236727,0.02283096,0.00269290,0.93564063,0.21557603,0.00462269,0.12932891
-5.78989495,0.65374162,0.02270364,0.00282993,0.98419521,0.22787462,0.00497531,0.13330848
-5.78389195,0.68787440,0.02279011,0.00297896,1.03657402,0.24102799,0.00533439,0.13805106
-5.77788894,0.72366580,0.02304960,0.00313500,1.09115848,0.25467219,0.00569305,0.14332616
-5.77188594,0.76001394,0.02344137,0.00329312,1.14631520,0.26844311,0.00604418,0.14890111
-5.76588294,0.79583598,0.02392572,0.00344844,1.20042826,0.28198403,0.00638058,0.15454578
-5.75987994,0.83009039,0.02446487,0.00359630,1.25193320,0.29495370,0.00669513,0.16003737
-5.75387694,0.86179959,0.02502388,0.00373228,1.29935167,0.30703451,0.00698107,0.16516520
-5.74787394,0.89007231,0.02557150,0.00385236,1.34132563,0.31794065,0.00723206,0.16973519
-5.74187094,0.91412476,0.02608085,0.00395296,1.37664979,0.32742584,0.00744250,0.17357418
-5.73586793,0.93329970,0.02653011,0.00403103,1.40430088,0.33529030,0.00760761,0.17653358
-5.72986493,0.94708259,0.02690296,0.00408415,1.42346241,0.34138669,0.00772361,0.17849256
-5.72386193,0.95511393,0.02718898,0.00411054,1.43354389,0.34562456,0.00778784,0.17936030
-5.71785893,0.95719719,0.02738384,0.00410910,1.43419328,0.34797324,0.00779882,0.17907754
-5.71185593,0.95330187,0.02748925,0.00407946,1.42530220,0.34846287,0.00775633,0.17761707
-5.70585293,0.94356126,0.02751289,0.00402191,1.40700341,0.34718346,0.00766135,0.17498325
-5.69984992,0.92826516,0.02746800,0.00393745,1.37966062,0.34428202,0.00751606,0.17121066
-5.69384692,0.90784754,0.02737286,0.00382767,1.34385099,0.33995784,0.00732372,0.16636175
-5.68784392,0.88286979,0.02725014,0.00369471,1.30034108,0.33445601,0.00708858,0.16052372
-5.68184092,0.85400019,0.02712602,0.00354119,1.25005734,0.32805959,0.00681569,0.15380473
-5.67583792,0.82199045,0.02702927,0.00337009,1.19405240,0.32108062,0.00651075,0.14632957
-5.66983492,0.78765048,0.02699023,0.00318466,1.13346866,0.31385045,0.00617990,0.13823507
-5.66383192,0.75182222,0.02703964,0.00298834,1.06950078,0.30670973,0.00582952,0.12966529
-5.65782891,0.71535383,0.02720759,0.00278459,1.00335870,0.29999862,0.00546605,0.12076687
-5.65182591,0.67907523,0.02752243,0.00257687,0.93623250,0.29404741,0.00509580,0.11168456
-5.64582291,0.64377579,0.02800970,0.00236850,0.86926060,0.28916824,0.00472475,0.10255715
-5.63981991,0.61018516,0.02869120,0.00216257,0.80350232,0.28564787,0.00435844,0.09351401
-5.63381691,0.57895771,0.02958426,0.00196196,0.73991552,0.28374210,0.00400186,0.08467215
-5.62781391,0.55066095,0.03070105,0.00176919,0.67933992,0.28367175,0.00365932,0.07613406
-5.62181091,0.52576827,0.03204820,0.00158644,0.62248625,0.28562047,0.00333444,0.06798626
-5.61580790,0.50465581,0.03362657,0.00141557,0.56993106,0.28973425,0.00303010,0.06029850
-5.60980490,0.48760331,0.03543127,0.00125803,0.52211692,0.29612255,0.00274846,0.05312371
-5.60380190,0.47479856,0.03745197,0.00111495,0.47935725,0.30486097,0.00249100,0.04649843
-5.59779890,0.46634490,0.03967335,0.00098715,0.44184514,0.31599513,0.00225852,0.04044387
-5.59179590,0.46227121,0.04207581,0.00087514,0.40966518,0.32954556,0.00205128,0.03496726
-5.58579290,0.46254357,0.04463644,0.00077918,0.38280750,0.34551319,0.00186902,0.03006357
-5.57978989,0.46707809,0.04733005,0.00069935,0.36118285,0.36388520,0.00171109,0.02571741
-5.57378689,0.47575411,0.05013041,0.00063554,0.34463813,0.38464095,0.00157647,0.02190495
-5.56778389,0.48842716,0.05301153,0.00058754,0.33297149,0.40775754,0.00146394,0.01859593
-5.56178089,0.50494123,0.05594896,0.00055506,0.32594625,0.43321497,0.00137207,0.01575552
-5.55577789,0.52513981,0.05892115,0.00053779,0.32330349,0.46100053,0.00129935,0.01334608
-5.54977489,0.54887551,0.06191058,0.00053541,0.32477260,0.49111242,0.00124418,0.01132868
-5.54377189,0.57601793,0.06490494,0.00054762,0.33008001,0.52356250,0.00120499,0.00966445
-5.53776888,0.60645980,0.06789796,0.00057422,0.33895589,0.55837813,0.00118021,0.00831569
-5.53176588,0.64012145,0.07089015,0.00061504,0.35113896,0.59560330,0.00116833,0.00724669
-5.52576288,0.67695353,0.07388918,0.00067006,0.36637978,0.63529899,0.00116788,0.00642442
-5.51975988,0.71693846,0.07691007,0.00073933,0.38444263,0.67754315,0.00117747,0.00581891
