energy_ev,total_up,total_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.09240120,-1.09240120,0.00644462,-0.00644462,0.00000000,-0.00000000,0.23200722,-0.23200722,0.31134057,-0.31134057,0.01182359,-0.01182359,0.05001439,-0.05001439,0.66184882,-0.66184882,0.00000000,-0.00000000
-5.99399700,1.12927958,-1.12927957,0.00681219,-0.00681219,0.00000000,-0.00000000,0.24251910,-0.24251910,0.31216502,-0.31216502,0.01277344,-0.01277344,0.05335339,-0.05335338,0.68717375,-0.68717374,0.00000000,-0.00000000
-5.98799400,1.17051548,-1.17051545,0.00721458,-0.00721458,0.00000000,-0.00000000,0.25372091,-0.25372090,0.31502393,-0.31502392,0.01371501,-0.01371501,0.05725313,-0.05725312,0.71450884,-0.71450882,0.00000000,-0.00000000
-5.98199100,1.21601052,-1.21601048,0.00765183,-0.00765183,0.00000000,-0.00000000,0.26554186,-0.26554185,0.32006332,-0.32006331,0.01463620,-0.01463620,0.06169814,-0.06169813,0.74373860,-0.74373858,0.00000000,-0.00000000
-5.97598799,1.26557421,-1.26557415,0.00812323,-0.00812323,0.00000000,-0.00000000,0.27790499,-0.27790497,0.32738978,-0.32738976,0.01552450,-0.01552449,0.06666741,-0.06666740,0.77469777,-0.77469774,0.00000000,-0.00000000
-5.96998499,1.31892366,-1.31892358,0.00862728,-0.00862728,0.00000000,-0.00000000,0.29072827,-0.29072825,0.33706569,-0.33706566,0.01636727,-0.01636727,0.07213342,-0.07213341,0.80717385,-0.80717381,0.00000000,-0.00000000
-5.96398199,1.37568642,-1.37568633,0.00916171,-0.00916171,0.00000000,-0.00000000,0.30392627,-0.30392626,0.34910559,-0.34910556,0.01715205,-0.01715205,0.07806142,-0.07806141,0.84091137,-0.84091132,0.00000000,-0.00000000
-5.95797899,1.43540633,-1.43540622,0.00972347,-0.00972347,0.00000000,-0.00000000,0.31741216,-0.31741214,0.36347405,-0.36347401,0.01786684,-0.01786684,0.08440903,-0.08440902,0.87561763,-0.87561758,0.00000000,-0.00000000
-5.95197599,1.49755222,-1.49755210,0.01030881,-0.01030881,0.00000000,-0.00000000,0.33110001,-0.33109999,0.38008492,-0.38008487,0.01850040,-0.01850040,0.09112606,-0.09112604,0.91096978,-0.91096972,0.00000000,-0.00000000
-5.94597299,1.56152941,-1.56152928,0.01091332,-0.01091332,0.00000000,-0.00000000,0.34490725,-0.34490723,0.39880224,-0.39880219,0.01904254,-0.01904254,0.09815474,-0.09815472,0.94662304,-0.94662298,0.00000000,-0.00000000
