energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,3.16924236,0.92091985,0.49725473,0.00363951,0.34473800,0.80904450,0.67766283,0.02507494,1.66577094
-5.99399700,3.18039183,0.92113896,0.49673475,0.00367089,0.34590452,0.80706962,0.67966487,0.02523798,1.67812092
-5.98799400,3.18152656,0.91865406,0.49483904,0.00370419,0.34567449,0.80224460,0.67950448,0.02535458,1.68518365
-5.98199100,3.17246032,0.91335625,0.49158628,0.00374154,0.34396261,0.79447252,0.67720430,0.02542845,1.68679270
-5.97598799,3.15320501,0.90519771,0.48701930,0.00378521,0.34071443,0.78371557,0.67282970,0.02546261,1.68288635
-5.96998499,3.12397085,0.89419403,0.48120332,0.00383747,0.33590812,0.76999773,0.66648689,0.02545909,1.67351000
-5.96398199,3.08516131,0.88042462,0.47422388,0.00390053,0.32955523,0.75340548,0.65832022,0.02541885,1.65881543
-5.95797899,3.03736296,0.86403100,0.46618434,0.00397650,0.32170044,0.73408651,0.64850849,0.02534169,1.63905710
-5.95197599,2.98133003,0.84521294,0.45720321,0.00406727,0.31242029,0.71224629,0.63726049,0.02522627,1.61458525
-5.94597299,2.91796409,0.82422270,0.44741110,0.00417444,0.30182084,0.68814275,0.62480965,0.02507024,1.58583598
-5.93996998,2.84828926,0.80135727,0.43694758,0.00429929,0.29003449,0.66207913,0.61140805,0.02487041,1.55331853
-5.93396698,2.77342365,0.77694918,0.42595777,0.00444267,0.27721589,0.63439530,0.59731986,0.02462301,1.51760022
-5.92796398,2.69454802,0.75135599,0.41458903,0.00460496,0.26353731,0.60545792,0.58281444,0.02432402,1.47928948
-5.92196098,2.61287265,0.72494905,0.40298747,0.00478603,0.24918347,0.57564986,0.56815925,0.02396945,1.43901764
-5.91595798,2.52960372,0.69810185,0.39129471,0.00498519,0.23434617,0.54535917,0.55361293,0.02355574,1.39742014
-5.90995498,2.44591046,0.67117859,0.37964474,0.00520116,0.21921891,0.51496836,0.53941870,0.02308002,1.35511809
-5.90395198,2.36289444,0.64452338,0.36816116,0.00543205,0.20399160,0.48484406,0.52579842,0.02254045,1.31270070
-5.89794897,2.28156225,0.61845050,0.35695479,0.00567537,0.18884577,0.45532784,0.51294751,0.02193642,1.27070951
-5.89194597,2.20280261,0.59323620,0.34612175,0.00592804,0.17395022,0.42672829,0.50103098,0.02126876,1.22962512
-5.88594297,2.12736898,0.56911239,0.33574215,0.00618642,0.15945746,0.39931474,0.49018077,0.02053978,1.18985674
-5.87993997,2.05586820,0.54626235,0.32587942,0.00644638,0.14550086,0.37331290,0.48049443,0.01975336,1.15173531
-5.87393697,1.98875554,0.52481863,0.31658021,0.00670334,0.13219271,0.34890229,0.47203525,0.01891481,1.11551009
-5.86793397,1.92633624,0.50486327,0.30787508,0.00695243,0.11962309,0.32621571,0.46483381,0.01803085,1.08134902
-5.86193097,1.86877317,0.48643005,0.29977967,0.00718852,0.10785964,0.30534049,0.45889079,0.01710930,1.04934259
-5.85592796,1.81609991,0.46950871,0.29229648,0.00740642,0.09694805,0.28632134,0.45418090,0.01615895,1.01951094
-5.84992496,1.76823854,0.45405074,0.28541710,0.00760100,0.08691324,0.26916460,0.45065765,0.01518920,0.99181361
-5.84392196,1.72502069,0.43997646,0.27912473,0.00776732,0.07776117,0.25384353,0.44825868,0.01420986,0.96616145
-5.83791896,1.68621091,0.42718293,0.27339692,0.00790081,0.06948097,0.24030428,0.44691135,0.01323077,0.94242990
-5.83191596,1.65153062,0.41555216,0.26820824,0.00799740,0.06204749,0.22847228,0.44653815,0.01226159,0.92047285
-5.82591296,1.62068165,0.40495938,0.26353297,0.00805367,0.05542391,0.21825845,0.44706179,0.01131152,0.90013633
-5.81990995,1.59336780,0.39528071,0.25934740,0.00806696,0.04956448,0.20956530,0.44840948,0.01038911,0.88127138
-5.81390695,1.56931358,0.38640006,0.25563177,0.00803548,0.04441708,0.20229219,0.45051635,0.00950205,0.86374526
-5.80790395,1.54827915,0.37821485,0.25237175,0.00795840,0.03992571,0.19633998,0.45332767,0.00865710,0.84745074
-5.80190095,1.53007095,0.37064047,0.24955937,0.00783582,0.03603265,0.19161452,0.45680006,0.00785997,0.83231287
-5.79589795,1.51454776,0.36361312,0.24719337,0.00766886,0.03268039,0.18802924,0.46090133,0.00711534,0.81829318
-5.78989495,1.50162231,0.35709136,0.24527898,0.00745958,0.02981317,0.18550661,0.46560948,0.00642687,0.80539119
