energy_ev,total_up,Cu_p_up,Cu_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,0.02428777,0.00360380,0.00451023,0.00052695,0.00770599,0.00033016,0.00385748
-5.99399700,0.02641489,0.00378437,0.00502551,0.00067021,0.00816838,0.00035692,0.00441257
-5.98799400,0.02986533,0.00415349,0.00578841,0.00084630,0.00903424,0.00040162,0.00519425
-5.98199100,0.03473870,0.00472139,0.00682259,0.00106099,0.01032892,0.00046552,0.00622483
-5.97598799,0.04115931,0.00550180,0.00815609,0.00132059,0.01208501,0.00055022,0.00753110
-5.96998499,0.04927368,0.00651161,0.00982090,0.00163191,0.01434168,0.00065763,0.00914382
-5.96398199,0.05924702,0.00777043,0.01185230,0.00200214,0.01714375,0.00078991,0.01109703
-5.95797899,0.07125852,0.00929995,0.01428801,0.00243874,0.02054033,0.00094942,0.01342710
-5.95197599,0.08549542,0.01112314,0.01716705,0.00294925,0.02458312,0.00113863,0.01617163
-5.94597299,0.10214599,0.01326338,0.02052838,0.00354103,0.02932442,0.00136001,0.01936811
-5.93996998,0.12139134,0.01574335,0.02440929,0.00422106,0.03481478,0.00161596,0.02305236
-5.93396698,0.14339625,0.01858383,0.02884364,0.00499562,0.04110031,0.00190866,0.02725681
-5.92796398,0.16829926,0.02180244,0.03385984,0.00586994,0.04821991,0.00223992,0.03200863
-5.92196098,0.19620224,0.02541227,0.03947884,0.00684787,0.05620223,0.00261108,0.03732772
-5.91595798,0.22715987,0.02942056,0.04571204,0.00793154,0.06506264,0.00302286,0.04322475
-5.90995498,0.26116947,0.03382738,0.05255922,0.00912098,0.07480038,0.00347518,0.04969919
-5.90395198,0.29816165,0.03862446,0.06000673,0.01041383,0.08539585,0.00396709,0.05673750
-5.89794897,0.33799238,0.04379424,0.06802590,0.01180504,0.09680836,0.00449664,0.06431164
-5.89194597,0.38043707,0.04930913,0.07657188,0.01328669,0.10897453,0.00506079,0.07237786
-5.88594297,0.42518715,0.05513116,0.08558295,0.01484784,0.12180728,0.00565538,0.08087602
-5.87993997,0.47184970,0.06121204,0.09498048,0.01647453,0.13519583,0.00627510,0.08972945
-5.87393697,0.51995051,0.06749365,0.10466957,0.01814989,0.14900663,0.00691356,0.09884545
-5.86793397,0.56894088,0.07390905,0.11454044,0.01985433,0.16308541,0.00756337,0.10811650
-5.86193097,0.61820826,0.08038400,0.12447059,0.02156592,0.17726027,0.00821624,0.11742219
-5.85592796,0.66709066,0.08683897,0.13432772,0.02326089,0.19134596,0.00886324,0.12663186
-5.84992496,0.71489449,0.09319162,0.14397334,0.02491420,0.20514906,0.00949498,0.13560786
-5.84392196,0.76091550,0.09935965,0.15326701,0.02650029,0.21847404,0.01010192,0.14420947
-5.83791896,0.80446183,0.10526394,0.16207100,0.02799386,0.23113004,0.01067468,0.15229715
-5.83191596,0.84487863,0.11083188,0.17025525,0.02937069,0.24293790,0.01120435,0.15973718
-5.82591296,0.88157288,0.11600069,0.17770236,0.03060853,0.25373737,0.01168284,0.16640630
-5.81990995,0.91403755,0.12072059,0.18431246,0.03168787,0.26339401,0.01210322,0.17219630
-5.81390695,0.94187362,0.12495768,0.19000762,0.03259278,0.27180548,0.01246001,0.17701828
-5.80790395,0.96480917,0.12869633,0.19473568,0.03331153,0.27890692,0.01274944,0.18080637
-5.80190095,0.98271405,0.13194093,0.19847311,0.03383712,0.28467492,0.01296971,0.18352070
-5.79589795,0.99560957,0.13471687,0.20122693,0.03416762,0.28913010,0.01312106,0.18514954
-5.78989495,1.00367222,0.13707069,0.20303536,0.03430638,0.29233781,0.01320592,0.18571038
-5.78389195,1.00723119,0.13906918,0.20396720,0.03426193,0.29440695,0.01322884,0.18525000
-5.77788894,1.00675934,0.14079764,0.20411989,0.03404776,0.29548682,0.01319642,0.18384332
-5.77188594,1.00285796,0.14235712,0.20361625,0.03368184,0.29576212,0.01311713,0.18159124
-5.76588294,0.99623566,0.14386079,0.20260011,0.03318599,0.29544615,0.01300104,0.17861752
-5.75987994,0.98768225,0.14542958,0.20123083,0.03258504,0.29477247,0.01285948,0.17506465
-5.75387694,0.97803863,0.14718719,0.19967703,0.03190592,0.29398540,0.01270465,0.17108918
-5.74787394,0.96816390,0.14925474,0.19810981,0.03117658,0.29332972,0.01254920,0.16685647
-5.74187094,0.95890126,0.15174524,0.19669565,0.03042501,0.29303997,0.01240574,0.16253518
-5.73586793,0.95104403,0.15475813,0.19558944,0.02967807,0.29332993,0.01228638,0.15829178
-5.72986493,0.94530336,0.15837414,0.19492782,0.02896057,0.29438263,0.01220223,0.15428516
-5.72386193,0.94227915,0.16265075,0.19482326,0.02829430,0.29634154,0.01216303,0.15066180
-5.71785893,0.94243541,0.16761848,0.19535906,0.02769729,0.29930313,0.01217669,0.14755136
-5.71185593,0.94608117,0.17327812,0.19658554,0.02718320,0.30331141,0.01224902,0.14506319
