energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
1.41370685,0.00260272,0.00052821,0.00000000,0.00000000,0.00049183,0.00110380,0.00200716
1.41970985,0.00326054,0.00068399,0.00000000,0.00000000,0.00058778,0.00142511,0.00249583
1.42571286,0.00415366,0.00088891,0.00000000,0.00000000,0.00072610,0.00184358,0.00316939
1.43171586,0.00532712,0.00115393,0.00000000,0.00000000,0.00091279,0.00237992,0.00406283
1.43771886,0.00683704,0.00149235,0.00000000,0.00000001,0.00115570,0.00305883,0.00522035
1.44372186,0.00875124,0.00192009,0.00000000,0.00000001,0.00146455,0.00390923,0.00669605
1.44972486,0.01114992,0.00245583,0.00000000,0.00000002,0.00185092,0.00496442,0.00855462
1.45572786,0.01412624,0.00312128,0.00000000,0.00000003,0.00232816,0.00626218,0.01087201
1.46173087,0.01778664,0.00394127,0.00000000,0.00000005,0.00291139,0.00784465,0.01373598
1.46773387,0.02225097,0.00494390,0.00000000,0.00000008,0.00361728,0.00975811,0.01724652
1.47373687,0.02765212,0.00616049,0.00000000,0.00000012,0.00446393,0.01205248,0.02151599
1.47973987,0.03413535,0.00762554,0.00000000,0.00000018,0.00547050,0.01478063,0.02666898
1.48574287,0.04185690,0.00937651,0.00000000,0.00000027,0.00665688,0.01799740,0.03284176
1.49174587,0.05098210,0.01145344,0.00000000,0.00000041,0.00804316,0.02175828,0.04018124
1.49774887,0.06168273,0.01389847,0.00000000,0.00000061,0.00964903,0.02611781,0.04884345
1.50375188,0.07413372,0.01675515,0.00000000,0.00000091,0.01149310,0.03112778,0.05899141
1.50975488,0.08850907,0.02006756,0.00000000,0.00000134,0.01359211,0.03683500,0.07079243
1.51575788,0.10497724,0.02387936,0.00000000,0.00000197,0.01596001,0.04327902,0.08441476
1.52176088,0.12369580,0.02823254,0.00000000,0.00000286,0.01860708,0.05048962,0.10002371
1.52776388,0.14480572,0.03316614,0.00000000,0.00000413,0.02153902,0.05848428,0.11777715
1.53376688,0.16842531,0.03871481,0.00000000,0.00000592,0.02475602,0.06726575,0.13782069
1.53976988,0.19464414,0.04490734,0.00000000,0.00000843,0.02825194,0.07681977,0.16028241
1.54577289,0.22351703,0.05176511,0.00000000,0.00001191,0.03201362,0.08711314,0.18526745
1.55177589,0.25505850,0.05930066,0.00000000,0.00001671,0.03602040,0.09809236,0.21285268
