energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.65134896,0.42823155,0.20477412,0.00052943,0.17879702,0.01032026,0.86345792,0.35240800,0.32887100
-5.99399700,1.73406507,0.45062874,0.21684259,0.00055055,0.18869402,0.01052265,0.90565145,0.36867875,0.34651040
-5.98799400,1.81386286,0.47212057,0.22860027,0.00057235,0.19854173,0.01067263,0.94599153,0.38554080,0.36338005
-5.98199100,1.88919438,0.49225403,0.23981885,0.00059409,0.20823068,0.01076418,0.98360419,0.40256137,0.37925299
-5.97598799,1.95862359,0.51059697,0.25027587,0.00061503,0.21767340,0.01079292,1.01766279,0.41932485,0.39393363
-5.96998499,2.02087029,0.52675004,0.25976067,0.00063451,0.22680951,0.01075621,1.04741062,0.43544524,0.40726558
-5.96398199,2.07485033,0.54035787,0.26808024,0.00065191,0.23561010,0.01065318,1.07218192,0.45057804,0.41913854
-5.95797899,2.11971030,0.55111935,0.27506466,0.00066671,0.24408091,0.01048473,1.09142068,0.46443115,0.42949357
-5.95197599,2.15485547,0.55879641,0.28057207,0.00067848,0.25226441,0.01025343,1.10469638,0.47677426,0.43832660
-5.94597299,2.17996943,0.56322111,0.28449288,0.00068689,0.26024021,0.00996347,1.11171618,0.48744651,0.44568994
-5.93996998,2.19502474,0.56430063,0.28675304,0.00069176,0.26812405,0.00962042,1.11233306,0.49636203,0.45169142
-5.93396698,2.20028378,0.56202004,0.28731632,0.00069302,0.27606494,0.00923111,1.10654958,0.50351306,0.45649137
-5.92796398,2.19628988,0.55644276,0.28618546,0.00069074,0.28424080,0.00880336,1.09451721,0.50897055,0.46029734
-5.92196098,2.18384877,0.54770859,0.28340214,0.00068511,0.29285243,0.00834577,1.07653118,0.51288210,0.46335658
-5.91595798,2.16400121,0.53602954,0.27904583,0.00067649,0.30211611,0.00786748,1.05302124,0.51546730,0.46594690
-5.90995498,2.13798769,0.52168354,0.27323151,0.00066535,0.31225516,0.00737791,1.02453858,0.51701050,0.46836582
-5.90395198,2.10720692,0.50500634,0.26610644,0.00065228,0.32349057,0.00688657,0.99173956,0.51785139,0.47091884
-5.89794897,2.07316946,0.48638187,0.25784604,0.00063800,0.33603129,0.00640282,0.95536687,0.51837357,0.47390715
-5.89194597,2.03744862,0.46623150,0.24864916,0.00062332,0.35006454,0.00593571,0.91622882,0.51899156,0.47761527
-5.88594297,2.00163052,0.44500256,0.23873280,0.00060914,0.36574653,0.00549383,0.87517757,0.52013670,0.48229938
-5.87993997,1.96726520,0.42315647,0.22832654,0.00059644,0.38319406,0.00508514,0.83308703,0.52224249,0.48817667
-5.87393697,1.93582068,0.40115701,0.21766690,0.00058626,0.40247744,0.00471693,0.79083116,0.52572973,0.49541636
-5.86793397,1.90864150,0.37945891,0.20699178,0.00057966,0.42361504,0.00439572,0.74926327,0.53099220,0.50413270
-5.86193097,1.88691328,0.35849716,0.19653512,0.00057775,0.44656976,0.00412721,0.70919690,0.53838315,0.51438031
-5.85592796,1.87163402,0.33867742,0.18652192,0.00058162,0.47124768,0.00391624,0.67138880,0.54820318,0.52615211
-5.84992496,1.86359311,0.32036742,0.17716379,0.00059236,0.49749888,0.00376679,0.63652405,0.56068988,0.53937982
-5.84392196,1.86335806,0.30388982,0.16865497,0.00061101,0.52512055,0.00368194,0.60520391,0.57600950,0.55393708
-5.83791896,1.87126908,0.28951644,0.16116897,0.00063855,0.55386217,0.00366388,0.57793608,0.59425099,0.56964492
-5.83191596,1.88744098,0.27746392,0.15485579,0.00067590,0.58343265,0.00371390,0.55512772,0.61542249,0.58627940
-5.82591296,1.91177176,0.26789082,0.14983973,0.00072386,0.61350906,0.00383237,0.53708082,0.63945045,0.60358094
