energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
0.32116058,2.17813531,0.00916096,0.04683072,0.18310109,0.78883611,0.07725254,0.33710721,0.31150431,0.68416086
0.32716358,2.36162412,0.01005053,0.05088446,0.19778815,0.85204973,0.08376159,0.36494219,0.33730911,0.74518187
0.33316658,2.54447720,0.01095166,0.05495536,0.21226402,0.91430599,0.09022627,0.39255162,0.36296230,0.80680488
0.33916958,2.72406475,0.01185270,0.05899034,0.22630097,0.97465841,0.09655661,0.41955250,0.38810301,0.86818291
0.34517259,2.89770270,0.01274124,0.06293506,0.23966750,1.03215977,0.10266183,0.44556223,0.41236790,0.92842741
0.35117559,3.06271974,0.01360438,0.06673530,0.25213408,1.08588836,0.10845310,0.47020998,0.43540105,0.98662642
0.35717859,3.21652958,0.01442914,0.07033828,0.26347924,1.13497536,0.11384628,0.49314844,0.45686442,1.04186539
0.36318159,3.35670512,0.01520280,0.07369426,0.27349574,1.17863199,0.11876483,0.51406549,0.47644832,1.09324963
0.36918459,3.48105147,0.01591330,0.07675796,0.28199666,1.21617532,0.12314249,0.53269516,0.49388140,1.13992780
0.37518759,3.58767430,0.01654966,0.07948997,0.28882097,1.24705137,0.12692572,0.54882739,0.50893977,1.18111539
0.38119060,3.67504050,0.01710229,0.08185803,0.29383850,1.27085434,0.13007578,0.56231599,0.52145459,1.21611707
0.38719360,3.74202782,0.01756338,0.08383808,0.29695400,1.28734095,0.13257027,0.57308435,0.53131798,1.24434721
0.39319660,3.78796140,0.01792708,0.08541503,0.29811015,1.29643913,0.13440413,0.58112859,0.53848665,1.26534737
0.39919960,3.81263492,0.01818976,0.08658328,0.29728933,1.29825060,0.13558994,0.58651795,0.54298324,1.27880009
0.40520260,3.81631550,0.01835007,0.08734684,0.29451413,1.29304697,0.13615755,0.58939223,0.54489516,1.28453832
0.41120560,3.79973179,0.01840900,0.08771920,0.28984653,1.28125978,0.13615311,0.58995652,0.54437098,1.28254996
0.41720860,3.76404594,0.01836976,0.08772273,0.28338585,1.26346467,0.13563734,0.58847323,0.54161448,1.27297741
0.42321161,3.71081063,0.01823763,0.08738792,0.27526549,1.24036058,0.13468339,0.58525210,0.53687678,1.25611200
0.42921461,3.64191323,0.01801976,0.08675222,0.26564869,1.21274501,0.13337413,0.58063829,0.53044674,1.23238363
0.43521761,3.55950981,0.01772482,0.08585872,0.25472347,1.18148637,0.13179924,0.57499953,0.52264017,1.20234611
0.44122061,3.46595209,0.01736265,0.08475464,0.24269692,1.14749499,0.13005199,0.56871257,0.51378847,1.16665879
0.44722361,3.36371069,0.01694392,0.08348978,0.22978925,1.11169386,0.12822611,0.56214993,0.50422706,1.12606535
0.45322661,3.25529816,0.01647967,0.08211486,0.21622762,1.07499066,0.12641270,0.55566727,0.49428427,1.08137081
0.45922961,3.14319519,0.01598096,0.08067998,0.20224018,1.03825214,0.12469739,0.54959222,0.48427110,1.03341751
0.46523262,3.02978285,0.01545850,0.07923316,0.18805049,1.00228191,0.12315793,0.54421488,0.47447237,0.98306131
0.47123562,2.91728368,0.01492230,0.07781908,0.17387239,0.96780239,0.12186212,0.53978060,0.46513949,0.93114878
0.47723862,2.80771329,0.01438147,0.07647797,0.15990567,0.93544158,0.12086635,0.53648500,0.45648514,0.87849640
0.48324162,2.70284394,0.01384397,0.07524484,0.14633254,0.90572463,0.12021464,0.53447153,0.44868001,0.82587233
0.48924462,2.60418065,0.01331648,0.07414883,0.13331490,0.87907042,0.11993819,0.53383144,0.44185147,0.77398132
0.49524762,2.51294970,0.01280441,0.07321299,0.12099257,0.85579269,0.12005549,0.53460583,0.43608423,0.72345320
0.50125063,2.43009868,0.01231180,0.07245416,0.10948239,0.83610526,0.12057286,0.53678971,0.43142265,0.67483497
0.50725363,2.35630690,0.01184152,0.07188315,0.09887805,0.82013050,0.12148537,0.54033755,0.42787444,0.62858656
0.51325663,2.29200437,0.01139528,0.07150512,0.08925075,0.80791042,0.12277802,0.54516983,0.42541549,0.58507989
0.51925963,2.23739729,0.01097385,0.07132007,0.08065031,0.79941928,0.12442723,0.55118031,0.42399536,0.54460104
0.52526263,2.19249790,0.01057725,0.07132349,0.07310690,0.79457689,0.12640228,0.55824342,0.42354313,0.50735494
0.53126563,2.15715656,0.01020490,0.07150706,0.06663300,0.79326177,0.12866692,0.56622135,0.42397318,0.47347204
0.53726863,2.13109394,0.00985584,0.07185940,0.06122557,0.79532337,0.13118087,0.57497061,0.42519070,0.44301636
0.54327164,2.11393162,0.00952890,0.07236678,0.05686835,0.80059271,0.13390118,0.58434771,0.42709656,0.41599438
0.54927464,2.10521956,0.00922284,0.07301387,0.05353405,0.80889101,0.13678349,0.59421367,0.42959141,0.39236416
0.55527764,2.10445949,0.00893650,0.07378438,0.05118646,0.82003610,0.13978310,0.60443752,0.43257891,0.37204422
0.56128064,2.11112352,0.00866884,0.07466167,0.04978234,0.83384637,0.14285581,0.61489852,0.43596796,0.35492183
0.56728364,2.12466769,0.00841901,0.07562928,0.04927304,0.85014245,0.14595863,0.62548732,0.43967406,0.34086032
0.57328664,2.14454080,0.00818638,0.07667141,0.04960590,0.86874688,0.14905030,0.63610625,0.44361979,0.32970537
0.57928964,2.17018899,0.00797046,0.07777330,0.05072536,0.88948200,0.15209163,0.64666874,0.44773463,0.32129000
0.58529265,2.20105676,0.00777092,0.07892161,0.05257378,0.91216678,0.15504577,0.65709838,0.45195418,0.31543859
0.59129565,2.23658569,0.00758749,0.08010466,0.05509210,0.93661288,0.15787840,0.66732764,0.45621912,0.31196967
0.59729865,2.27621169,0.00741986,0.08131278,0.05822032,0.96262067,0.16055782,0.67729658,0.46047390,0.31069801
0.60330165,2.31936224,0.00726763,0.08253848,0.06189784,0.98997576,0.16305508,0.68695183,0.46466553,0.31143601
0.60930465,2.36545446,0.00713022,0.08377670,0.06606380,1.01844649,0.16534407,0.69624596,0.46874256,0.31399470
0.61530765,2.41389506,0.00700680,0.08502498,0.07065737,1.04778287,0.16740169,0.70513740,0.47265438,0.31818464
0.62131066,2.46408295,0.00689623,0.08628366,0.07561813,1.07771730,0.16920794,0.71359102,0.47635090,0.32381685
0.62731366,2.51541484,0.00679702,0.08755601,0.08088650,1.10796725,0.17074619,0.72157934,0.47978282,0.33070398
0.63331666,2.56729419,0.00670736,0.08884829,0.08640428,1.13823987,0.17200336,0.72908449,0.48290231,0.33866194
0.63931966,2.61914311,0.00662508,0.09016983,0.09211531,1.16823860,0.17297018,0.73610055,0.48566418,0.34751179
0.64532266,2.67041689,0.00654774,0.09153293,0.09796616,1.19767131,0.17364146,0.74263638,0.48802747,0.35708218
0.65132566,2.72062035,0.00647267,0.09295270,0.10390693,1.22625961,0.17401631,0.74871853,0.48995729,0.36721200
0.65732866,2.76932487,0.00639702,0.09444679,0.10989198,1.25374886,0.17409827,0.75439409,0.49142681,0.37775318
0.66333167,2.81618498,0.00631794,0.09603491,0.11588064,1.27991814,0.17389548,0.75973316,0.49241923,0.38857354
0.66933467,2.86095307,0.00623258,0.09773823,0.12183771,1.30458957,0.17342066,0.76483058,0.49292954,0.39955924
0.67533767,2.90349102,0.00613828,0.09957861,0.12773383,1.32763620,0.17269091,0.76980687,0.49296598,0.41061681
0.68134067,2.94377736,0.00603264,0.10157763,0.13354551,1.34898792,0.17172748,0.77480780,0.49255091,0.42167440
0.68734367,2.98190908,0.00591362,0.10375549,0.13925488,1.36863473,0.17055532,0.78000277,0.49172109,0.43268209
0.69334667,3.01809729,0.00577964,0.10612976,0.14484908,1.38662713,0.16920238,0.78558165,0.49052730,0.44361114
0.69934967,3.05265659,0.00562965,0.10871411,0.15031927,1.40307323,0.16769889,0.79175015,0.48903320,0.45445206
0.70535268,3.08598810,0.00546317,0.11151689,0.15565937,1.41813277,0.16607644,0.79872390,0.48731343,0.46521168
0.71135568,3.11855702,0.00528033,0.11453991,0.16086451,1.43200812,0.16436694,0.80672134,0.48545120,0.47590900
0.71735868,3.15086571,0.00508190,0.11777720,0.16592924,1.44493298,0.16260159,0.81595580,0.48353541,0.48657049
0.72336168,3.18342402,0.00486922,0.12121410,0.17084579,1.45715920,0.16080984,0.82662726,0.48165741,0.49722461
0.72936468,3.21671861,0.00464426,0.12482652,0.17560224,1.46894283,0.15901845,0.83891414,0.47990788,0.50789634
0.73536768,3.25118357,0.00440948,0.12858070,0.18018102,1.48053021,0.15725070,0.85296587,0.47837386,0.51860181
0.74137069,3.28717443,0.00416783,0.13243330,0.18455760,1.49214523,0.15552586,0.86889662,0.47713629,0.52934354
0.74737369,3.32494780,0.00392267,0.13633205,0.18869972,1.50397867,0.15385893,0.88678079,0.47626828,0.54010673
0.75337669,3.36464821,0.00367765,0.14021690,0.19256714,1.51618059,0.15226069,0.90665077,0.47583435,0.55085677
0.75937969,3.40630389,0.00343670,0.14402167,0.19611199,1.52885636,0.15073821,0.92849710,0.47589069,0.56153842
0.76538269,3.44983193,0.00320389,0.14767621,0.19927979,1.54206680,0.14929556,0.95227147,0.47648654,0.57207664
0.77138569,3.49505322,0.00298339,0.15110893,0.20201108,1.55583255,0.14793502,0.97789233,0.47766666,0.58237926
0.77738869,3.54171631,0.00277937,0.15424967,0.20424369,1.57014241,0.14665844,1.00525293,0.47947472,0.59234126
0.78339170,3.58952900,0.00259598,0.15703282,0.20591540,1.58496518,0.14546885,1.03423151,0.48195742,0.60185054
0.78939470,3.63819547,0.00243726,0.15940037,0.20696696,1.60026398,0.14437208,1.06470283,0.48516892,0.61079472
0.79539770,3.68745643,0.00230708,0.16130494,0.20734537,1.61601220,0.14337842,1.09655049,0.48917535,0.61906876
0.80140070,3.73712922,0.00220916,0.16271251,0.20700695,1.63220939,0.14250398,1.12967898,0.49405884,0.62658254
0.80740370,3.78714474,0.00214693,0.16360471,0.20592041,1.64889614,0.14177182,1.16402468,0.49992070,0.63326819
0.81340670,3.83757792,0.00212357,0.16398058,0.20406929,1.66616616,0.14121254,1.19956484,0.50688328,0.63908644
0.81940970,3.88866904,0.00214193,0.16385754,0.20145402,1.68417455,0.14086435,1.23632366,0.51509022,0.64403155
0.82541271,3.94083327,0.00220445,0.16327173,0.19809315,1.70314116,0.14077246,1.27437488,0.52470473,0.64813436
0.83141571,3.99465711,0.00231317,0.16227744,0.19402377,1.72334824,0.14098783,1.31384028,0.53590578,0.65146325
0.83741871,4.05088054,0.00246960,0.16094578,0.18930116,1.74513207,0.14156523,1.35488393,0.54888217,0.65412275
0.84342171,4.11036529,0.00267468,0.15936256,0.18399750,1.76886864,0.14256060,1.39770222,0.56382454,0.65624975
0.84942471,4.17405022,0.00292869,0.15762553,0.17819980,1.79495388,0.14402798,1.44250989,0.58091565,0.65800763
0.85542771,4.24289591,0.00323118,0.15584104,0.17200720,1.82377930,0.14601598,1.48952292,0.60031929,0.65957842
0.86143072,4.31782132,0.00358085,0.15412030,0.16552761,1.85570440,0.14856406,1.53893891,0.62216834,0.66115341
0.86743372,4.39963607,0.00397554,0.15257545,0.15887406,1.89102740,0.15169881,1.59091616,0.64655265,0.66292292
0.87343672,4.48897238,0.00441209,0.15131552,0.15216081,1.92995602,0.15543048,1.64555269,0.67350731,0.66506562
0.87943972,4.58622077,0.00488638,0.15044259,0.14549943,1.97258023,0.15974985,1.70286644,0.70300220,0.66773810
