energy_ev,total_up,Nb_p_up,Nb_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,0.65686668,0.54136788,0.20294925,0.02323816,0.00004444,0.45697180,0.00000000
-5.99399700,0.71161992,0.58255845,0.22164657,0.02462027,0.00004590,0.49398693,0.00000000
-5.98799400,0.77730349,0.63262829,0.24360870,0.02639258,0.00004815,0.53853169,0.00000000
-5.98199100,0.85388065,0.69145769,0.26881495,0.02856310,0.00005118,0.59055144,0.00000000
-5.97598799,0.94115475,0.75879581,0.29719654,0.03113405,0.00005503,0.64987922,0.00000000
-5.96998499,1.03875622,0.83425057,0.32863334,0.03410140,0.00005968,0.71622713,0.00000000
-5.96398199,1.14613246,0.91728121,0.36295157,0.03745446,0.00006514,0.78918000,0.00000000
-5.95797899,1.26254154,1.00719416,0.39992257,0.04117547,0.00007138,0.86819157,0.00000000
-5.95197599,1.38705014,1.10314274,0.43926303,0.04523946,0.00007836,0.95258392,0.00000000
-5.94597299,1.51853679,1.20413132,0.48063667,0.04961407,0.00008606,1.04155049,0.00000000
-5.93996998,1.65570064,1.30902425,0.52365759,0.05425966,0.00009441,1.13416308,0.00000000
-5.93396698,1.79707624,1.41655982,0.56789532,0.05912956,0.00010336,1.22938301,0.00000000
-5.92796398,1.94105462,1.52536934,0.61288161,0.06417049,0.00011283,1.32607661,0.00000000
-5.92196098,2.08591033,1.63400108,0.65811881,0.06932332,0.00012275,1.42303478,0.00000000
-5.91595798,2.22983426,1.74094869,0.70308979,0.07452391,0.00013302,1.51899648,0.00000000
-5.90995498,2.37097139,1.84468340,0.74726910,0.07970436,0.00014355,1.61267544,0.00000000
-5.90395198,2.50746262,1.94368906,0.79013502,0.08479432,0.00015425,1.70278948,0.00000000
-5.89794897,2.63748926,2.03649903,0.83118230,0.08972263,0.00016500,1.78809150,0.00000000
-5.89194597,2.75931883,2.12173338,0.86993488,0.09441901,0.00017571,1.86740099,0.00000000
-5.88594297,2.87135044,2.19813524,0.90595838,0.09881597,0.00018629,1.93963508,0.00000000
-5.87993997,2.97215786,2.26460473,0.93887166,0.10285063,0.00019662,2.00383772,0.00000000
-5.87393697,3.06052869,2.32022902,0.96835708,0.10646665,0.00020663,2.05920577,0.00000000
-5.86793397,3.13549771,2.36430734,0.99416893,0.10961599,0.00021624,2.10511106,0.00000000
-5.86193097,3.19637293,2.39636960,1.01613965,0.11226050,0.00022537,2.14111710,0.00000000
-5.85592796,3.24275299,2.41618783,1.03418343,0.11437325,0.00023397,2.16698981,0.00000000
