energy_ev,total_up,Ga_p_up,Ga_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,1.79164028,0.38047336,0.00000000,0.69808021,0.72544075,0.70896937,0.00000000
-5.99399700,1.78172254,0.37213017,0.00000000,0.68463732,0.73009442,0.70746793,0.00000000
-5.98799400,1.76454384,0.36198070,0.00000000,0.66803916,0.73209664,0.70337562,0.00000000
-5.98199100,1.74041118,0.35021350,0.00000000,0.64854065,0.73145480,0.69676440,0.00000000
-5.97598799,1.70977259,0.33704644,0.00000000,0.62645774,0.72822517,0.68775353,0.00000000
-5.96998499,1.67319350,0.32271855,0.00000000,0.60215423,0.72250699,0.67650121,0.00000000
-5.96398199,1.63133189,0.30748151,0.00000000,0.57602793,0.71443625,0.66319599,0.00000000
-5.95797899,1.58491312,0.29159146,0.00000000,0.54849690,0.70417935,0.64804851,0.00000000
-5.95197599,1.53470587,0.27530134,0.00000000,0.51998629,0.69192709,0.63128379,0.00000000
-5.94597299,1.48149968,0.25885400,0.00000000,0.49091617,0.67788899,0.61313449,0.00000000
-5.93996998,1.42608494,0.24247639,0.00000000,0.46169085,0.66228834,0.59383516,0.00000000
-5.93396698,1.36923571,0.22637495,0.00000000,0.43268980,0.64535779,0.57361772,0.00000000
-5.92796398,1.31169538,0.21073213,0.00000000,0.40426045,0.62733560,0.55270798,0.00000000
-5.92196098,1.25416532,0.19570428,0.00000000,0.37671276,0.60846239,0.53132318,0.00000000
-5.91595798,1.19729615,0.18142061,0.00000000,0.35031568,0.58897829,0.50967044,0.00000000
-5.90995498,1.14168137,0.16798318,0.00000000,0.32529524,0.56912035,0.48794574,0.00000000
-5.90395198,1.08785294,0.15546782,0.00000000,0.30183413,0.54912001,0.46633350,0.00000000
-5.89794897,1.03627837,0.14392574,0.00000000,0.28007263,0.52920058,0.44500624,0.00000000
-5.89194597,0.98735899,0.13338565,0.00000000,0.26011047,0.50957454,0.42412440,0.00000000
-5.88594297,0.94142908,0.12385621,0.00000000,0.24200963,0.49044078,0.40383606,0.00000000
-5.87993997,0.89875560,0.11532874,0.00000000,0.22579774,0.47198166,0.38427659,0.00000000
-5.87393697,0.85953862,0.10777992,0.00000000,0.21147188,0.45436007,0.36556806,0.00000000
-5.86793397,0.82391236,0.10117448,0.00000000,0.19900281,0.43771668,0.34781873,0.00000000
-5.86193097,0.79194696,0.09546778,0.00000000,0.18833931,0.42216749,0.33112242,0.00000000
-5.85592796,0.76365141,0.09060830,0.00000000,0.17941278,0.40780198,0.31555821,0.00000000
-5.84992496,0.73897764,0.08653987,0.00000000,0.17214188,0.39468207,0.30119031,0.00000000
-5.84392196,0.71782621,0.08320389,0.00000000,0.16643734,0.38284206,0.28806851,0.00000000
-5.83791896,0.70005370,0.08054132,0.00000000,0.16220677,0.37228978,0.27622927,0.00000000
-5.83191596,0.68548197,0.07849464,0.00000000,0.15935960,0.36300902,0.26569742,0.00000000
-5.82591296,0.67390916,0.07700965,0.00000000,0.15781192,0.35496323,0.25648869,0.00000000
-5.81990995,0.66512240,0.07603732,0.00000000,0.15749130,0.34810050,0.24861292,0.00000000
-5.81390695,0.65891168,0.07553539,0.00000000,0.15834137,0.34235955,0.24207791,0.00000000
-5.80790395,0.65508455,0.07547000,0.00000000,0.16032607,0.33767656,0.23689368,0.00000000
-5.80190095,0.65348096,0.07581709,0.00000000,0.16343332,0.33399248,0.23307696,0.00000000
-5.79589795,0.65398733,0.07656356,0.00000000,0.16767799,0.33126033,0.23065555,0.00000000
-5.78989495,0.65654917,0.07770820,0.00000000,0.17310390,0.32945221,0.22967236,0.00000000
-5.78389195,0.66118135,0.07926216,0.00000000,0.17978451,0.32856543,0.23018858,0.00000000
-5.77788894,0.66797511,0.08124903,0.00000000,0.18782235,0.32862738,0.23228589,0.00000000
-5.77188594,0.67710119,0.08370433,0.00000000,0.19734673,0.32969873,0.23606718,0.00000000
-5.76588294,0.68880846,0.08667441,0.00000000,0.20850978,0.33187464,0.24165573,0.00000000
-5.75987994,0.70341764,0.09021475,0.00000000,0.22148075,0.33528375,0.24919259,0.00000000
-5.75387694,0.72131010,0.09438760,0.00000000,0.23643847,0.34008492,0.25883207,0.00000000
-5.74787394,0.74291172,0.09925900,0.00000000,0.25356234,0.34646158,0.27073549,0.00000000
-5.74187094,0.76867245,0.10489529,0.00000000,0.27302178,0.35461401,0.28506323,0.00000000
-5.73586793,0.79904204,0.11135920,0.00000000,0.29496481,0.36474976,0.30196543,0.00000000
-5.72986493,0.83444321,0.11870557,0.00000000,0.31950588,0.37707263,0.32157163,0.00000000
-5.72386193,0.87524316,0.12697707,0.00000000,0.34671377,0.39177070,0.34397999,0.00000000
