energy_ev,total_up,Ag_p_up,Ag_d_up,As_p_up,As_d_up,Te_p_up,Te_d_up
-6.00000000,2.65082586,1.05178907,2.10937159,0.14639724,0.00000000,0.22367368,0.00000000
-5.99399700,2.57574082,1.03239315,2.04292075,0.14059860,0.00000000,0.22411511,0.00000000
-5.98799400,2.49627853,1.01054656,1.97252874,0.13443299,0.00000000,0.22463260,0.00000000
-5.98199100,2.41407080,0.98690314,1.89945268,0.12797537,0.00000000,0.22540598,0.00000000
-5.97598799,2.33081577,0.96215553,1.82501199,0.12130339,0.00000000,0.22661561,0.00000000
-5.96998499,2.24821866,0.93701207,1.75054207,0.11449557,0.00000000,0.22843554,0.00000000
-5.96398199,2.16793313,0.91217306,1.67734836,0.10762946,0.00000000,0.23102647,0.00000000
-5.95797899,2.09150539,0.88830729,1.60666279,0.10077995,0.00000000,0.23452900,0.00000000
-5.95197599,2.02032338,0.86602985,1.53960433,0.09401761,0.00000000,0.23905729,0.00000000
-5.94597299,1.95557276,0.84588172,1.47714495,0.08740734,0.00000000,0.24469349,0.00000000
-5.93996998,1.89820138,0.82831227,1.42008232,0.08100709,0.00000000,0.25148312,0.00000000
-5.93396698,1.84889325,0.81366497,1.36901985,0.07486701,0.00000000,0.25943160,0.00000000
-5.92796398,1.80805284,0.80216701,1.32435472,0.06902871,0.00000000,0.26850213,0.00000000
-5.92196098,1.77579982,0.79392308,1.28627389,0.06352492,0.00000000,0.27861503,0.00000000
-5.91595798,1.75197426,0.78891353,1.25475785,0.05837939,0.00000000,0.28964857,0.00000000
-5.90995498,1.73615157,0.78699691,1.22959169,0.05360702,0.00000000,0.30144135,0.00000000
-5.90395198,1.72766639,0.78791687,1.21038259,0.04921432,0.00000000,0.31379615,0.00000000
-5.89794897,1.72564416,0.79131292,1.19658275,0.04520005,0.00000000,0.32648513,0.00000000
-5.89194597,1.72903882,0.79673476,1.18751667,0.04155600,0.00000000,0.33925629,0.00000000
-5.88594297,1.73667518,0.80365962,1.18241141,0.03826797,0.00000000,0.35184082,0.00000000
-5.87993997,1.74729399,0.81151182,1.18042857,0.03531682,0.00000000,0.36396123,0.00000000
-5.87393697,1.75959800,0.81968385,1.18069671,0.03267955,0.00000000,0.37533990,0.00000000
-5.86793397,1.77229731,0.82755816,1.18234281,0.03033042,0.00000000,0.38570767,0.00000000
-5.86193097,1.78415210,0.83452874,1.18452184,0.02824204,0.00000000,0.39481224,0.00000000
-5.85592796,1.79401148,0.84002179,1.18644320,0.02638631,0.00000000,0.40242600,0.00000000
-5.84992496,1.80084698,0.84351461,1.18739331,0.02473536,0.00000000,0.40835296,0.00000000
-5.84392196,1.80377972,0.84455194,1.18675368,0.02326230,0.00000000,0.41243456,0.00000000
-5.83791896,1.80210049,0.84275942,1.18401408,0.02194186,0.00000000,0.41455412,0.00000000
-5.83191596,1.79528234,0.83785344,1.17878050,0.02075084,0.00000000,0.41463973,0.00000000
-5.82591296,1.78298561,0.82964729,1.17077811,0.01966847,0.00000000,0.41266563,0.00000000
-5.81990995,1.76505568,0.81805351,1.15984937,0.01867656,0.00000000,0.40865179,0.00000000
-5.81390695,1.74151393,0.80308234,1.14594774,0.01775959,0.00000000,0.40266211,0.00000000
-5.80790395,1.71254295,0.78483676,1.12912772,0.01690460,0.00000000,0.39480103,0.00000000
-5.80190095,1.67846675,0.76350430,1.10953193,0.01610104,0.00000000,0.38520895,0.00000000
-5.79589795,1.63972757,0.73934627,1.08737598,0.01534056,0.00000000,0.37405665,0.00000000
-5.78989495,1.59686023,0.71268498,1.06293227,0.01461671,0.00000000,0.36153890,0.00000000
-5.78389195,1.55046570,0.68388962,1.03651334,0.01392462,0.00000000,0.34786775,0.00000000
-5.77788894,1.50118489,0.65336159,1.00845572,0.01326070,0.00000000,0.33326557,0.00000000
-5.77188594,1.44967400,0.62151976,0.97910511,0.01262233,0.00000000,0.31795835,0.00000000
-5.76588294,1.39658228,0.58878657,0.94880317,0.01200761,0.00000000,0.30216934,0.00000000
-5.75987994,1.34253302,0.55557525,0.91787674,0.01141509,0.00000000,0.28611337,0.00000000
-5.75387694,1.28810831,0.52227881,0.88662943,0.01084360,0.00000000,0.26999206,0.00000000
-5.74787394,1.23383764,0.48926092,0.85533588,0.01029211,0.00000000,0.25398981,0.00000000
-5.74187094,1.18019064,0.45684907,0.82423843,0.00975967,0.00000000,0.23827099,0.00000000
-5.73586793,1.12757336,0.42532985,0.79354614,0.00924532,0.00000000,0.22297795,0.00000000
-5.72986493,1.07632807,0.39494652,0.76343573,0.00874810,0.00000000,0.20823015,0.00000000
-5.72386193,1.02673567,0.36589846,0.73405404,0.00826709,0.00000000,0.19412411,0.00000000
-5.71785893,0.97902034,0.33834240,0.70552154,0.00780146,0.00000000,0.18073406,0.00000000
-5.71185593,0.93335564,0.31239509,0.67793648,0.00735050,0.00000000,0.16811336,0.00000000
-5.70585293,0.88987140,0.28813707,0.65137919,0.00691370,0.00000000,0.15629626,0.00000000
-5.69984992,0.84866089,0.26561710,0.62591622,0.00649081,0.00000000,0.14530008,0.00000000
-5.69384692,0.80978764,0.24485702,0.60160393,0.00608190,0.00000000,0.13512747,0.00000000
-5.68784392,0.77329172,0.22585669,0.57849145,0.00568735,0.00000000,0.12576887,0.00000000
-5.68184092,0.73919502,0.20859866,0.55662285,0.00530791,0.00000000,0.11720475,0.00000000
-5.67583792,0.70750554,0.19305252,0.53603841,0.00494465,0.00000000,0.10940790,0.00000000
-5.66983492,0.67822061,0.17917861,0.51677523,0.00459899,0.00000000,0.10234534,0.00000000
-5.66383192,0.65132908,0.16693107,0.49886710,0.00427262,0.00000000,0.09598017,0.00000000
-5.65782891,0.62681268,0.15626015,0.48234391,0.00396749,0.00000000,0.09027309,0.00000000
-5.65182591,0.60464667,0.14711389,0.46723067,0.00368570,0.00000000,0.08518368,0.00000000
-5.64582291,0.58480002,0.13943902,0.45354646,0.00342955,0.00000000,0.08067147,0.00000000
-5.63981991,0.56723525,0.13318140,0.44130324,0.00320137,0.00000000,0.07669683,0.00000000
-5.63381691,0.55190820,0.12828587,0.43050488,0.00300361,0.00000000,0.07322161,0.00000000
-5.62781391,0.53876781,0.12469587,0.42114633,0.00283873,0.00000000,0.07020970,0.00000000
-5.62181091,0.52775607,0.12235276,0.41321318,0.00270928,0.00000000,0.06762748,0.00000000
-5.61580790,0.51880830,0.12119511,0.40668147,0.00261790,0.00000000,0.06544410,0.00000000
-5.60980490,0.51185375,0.12115811,0.40151801,0.00256744,0.00000000,0.06363178,0.00000000
-5.60380190,0.50681670,0.12217312,0.39768103,0.00256101,0.00000000,0.06216608,0.00000000
-5.59779890,0.50361805,0.12416765,0.39512133,0.00260220,0.00000000,0.06102612,0.00000000
-5.59179590,0.50217756,0.12706572,0.39378385,0.00269527,0.00000000,0.06019489,0.00000000
-5.58579290,0.50241674,0.13078884,0.39360985,0.00284537,0.00000000,0.05965954,0.00000000
-5.57978989,0.50426254,0.13525760,0.39453952,0.00305882,0.00000000,0.05941176,0.00000000
-5.57378689,0.50765176,0.14039386,0.39651521,0.00334349,0.00000000,0.05944828,0.00000000
-5.56778389,0.51253636,0.14612375,0.39948522,0.00370912,0.00000000,0.05977138,0.00000000
-5.56178089,0.51888953,0.15238116,0.40340818,0.00416773,0.00000000,0.06038958,0.00000000
-5.55577789,0.52671252,0.15911189,0.40825785,0.00473402,0.00000000,0.06131836,0.00000000
-5.54977489,0.53604192,0.16627823,0.41402842,0.00542579,0.00000000,0.06258094,0.00000000
-5.54377189,0.54695738,0.17386378,0.42073997,0.00626432,0.00000000,0.06420915,0.00000000
-5.53776888,0.55958921,0.18187838,0.42844392,0.00727476,0.00000000,0.06624420,0.00000000
-5.53176588,0.57412553,0.19036284,0.43722826,0.00848643,0.00000000,0.06873746,0.00000000
-5.52576288,0.59081846,0.19939323,0.44722210,0.00993300,0.00000000,0.07175101,0.00000000
-5.51975988,0.60998875,0.20908442,0.45859916,0.01165265,0.00000000,0.07535805,0.00000000
-5.51375688,0.63202830,0.21959256,0.47157997,0.01368800,0.00000000,0.07964286,0.00000000
