energy_ev,total_up,total_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Sb_p_up,Sb_p_down,Sb_d_up,Sb_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.06110550,-1.06110550,0.51116201,-0.51116201,0.40547228,-0.40547228,0.21716318,-0.21716318,0.00602595,-0.00602595,0.43936567,-0.43936567,0.00000000,-0.00000000
-5.99399700,1.04903495,-1.04903495,0.49666778,-0.49666778,0.40954935,-0.40954935,0.20459600,-0.20459600,0.00566512,-0.00566512,0.44166055,-0.44166055,0.00000000,-0.00000000
-5.98799400,1.04180290,-1.04180290,0.48448770,-0.48448770,0.41550423,-0.41550423,0.19254372,-0.19254372,0.00533631,-0.00533631,0.44634642,-0.44634642,0.00000000,-0.00000000
-5.98199100,1.03960041,-1.03960041,0.47465632,-0.47465632,0.42340652,-0.42340652,0.18112922,-0.18112922,0.00504243,-0.00504243,0.45341037,-0.45341037,0.00000000,-0.00000000
-5.97598799,1.04252772,-1.04252772,0.46717103,-0.46717103,0.43329192,-0.43329192,0.17045069,-0.17045069,0.00478570,-0.00478570,0.46280926,-0.46280926,0.00000000,-0.00000000
-5.96998499,1.05059761,-1.05059761,0.46199737,-0.46199737,0.44516184,-0.44516185,0.16058049,-0.16058049,0.00456774,-0.00456774,0.47447377,-0.47447377,0.00000000,-0.00000000
-5.96398199,1.06373922,-1.06373922,0.45907406,-0.45907406,0.45898325,-0.45898325,0.15156494,-0.15156494,0.00438961,-0.00438961,0.48831184,-0.48831184,0.00000000,-0.00000000
-5.95797899,1.08180179,-1.08180179,0.45831755,-0.45831755,0.47468835,-0.47468835,0.14342491,-0.14342491,0.00425179,-0.00425179,0.50421110,-0.50421110,0.00000000,-0.00000000
-5.95197599,1.10455791,-1.10455791,0.45962569,-0.45962569,0.49217439,-0.49217439,0.13615722,-0.13615722,0.00415431,-0.00415431,0.52204027,-0.52204027,0.00000000,-0.00000000
-5.94597299,1.13170610,-1.13170610,0.46288029,-0.46288030,0.51130332,-0.51130332,0.12973662,-0.12973662,0.00409672,-0.00409672,0.54164928,-0.54164928,0.00000000,-0.00000000
-5.93996998,1.16287268,-1.16287268,0.46794859,-0.46794859,0.53190153,-0.53190153,0.12411832,-0.12411832,0.00407815,-0.00407815,0.56286830,-0.56286830,0.00000000,-0.00000000
-5.93396698,1.19761318,-1.19761318,0.47468348,-0.47468348,0.55375968,-0.55375968,0.11924088,-0.11924088,0.00409729,-0.00409729,0.58550591,-0.58550591,0.00000000,-0.00000000
-5.92796398,1.23541344,-1.23541344,0.48292288,-0.48292288,0.57663300,-0.57663300,0.11502941,-0.11502941,0.00415245,-0.00415245,0.60934659,-0.60934659,0.00000000,-0.00000000
-5.92196098,1.27569106,-1.27569106,0.49248830,-0.49248830,0.60024204,-0.60024204,0.11139881,-0.11139881,0.00424153,-0.00424153,0.63414808,-0.63414808,0.00000000,-0.00000000
-5.91595798,1.31779767,-1.31779768,0.50318312,-0.50318312,0.62427423,-0.62427423,0.10825719,-0.10825719,0.00436202,-0.00436202,0.65963889,-0.65963889,0.00000000,-0.00000000
-5.90995498,1.36102262,-1.36102262,0.51479073,-0.51479073,0.64838649,-0.64838649,0.10550909,-0.10550909,0.00451098,-0.00451098,0.68551662,-0.68551662,0.00000000,-0.00000000
