energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,2.51365396,0.85798148,0.61721147,0.00277103,0.14993106,0.91803797,0.17957951,1.48352582,0.00000000
-5.99399700,2.52079091,0.85770569,0.62957725,0.00296170,0.14727300,0.91868864,0.17912936,1.49011222,0.00000000
-5.98799400,2.52501566,0.85662046,0.64119237,0.00314648,0.14447925,0.91800226,0.17846641,1.49490082,0.00000000
-5.98199100,2.52616581,0.85472249,0.65184883,0.00332230,0.14158659,0.91592583,0.17761147,1.49777023,0.00000000
-5.97598799,2.52402943,0.85199093,0.66132329,0.00348610,0.13862777,0.91239303,0.17658484,1.49857467,0.00000000
-5.96998499,2.51836855,0.84839453,0.66938665,0.00363497,0.13563178,0.90733214,0.17540719,1.49715829,0.00000000
-5.96398199,2.50894463,0.84389930,0.67581431,0.00376621,0.13262433,0.90067458,0.17410018,1.49337064,0.00000000
-5.95797899,2.49554430,0.83847627,0.68039666,0.00387741,0.12962824,0.89236335,0.17268720,1.48708188,0.00000000
-5.95197599,2.47800330,0.83210860,0.68294917,0.00396657,0.12666402,0.88236092,0.17119367,1.47819692,0.00000000
-5.94597299,2.45622705,0.82479748,0.68332148,0.00403214,0.12375021,0.87065593,0.16964717,1.46666715,0.00000000
-5.93996998,2.43020633,0.81656642,0.68140505,0.00407307,0.12090366,0.85726825,0.16807720,1.45249924,0.00000000
-5.93396698,2.40002713,0.80746353,0.67713894,0.00408886,0.11813968,0.84225213,0.16651457,1.43576021,0.00000000
-5.92796398,2.36587414,0.79756173,0.67051341,0.00407960,0.11547200,0.82569730,0.16499043,1.41657862,0.00000000
-5.92196098,2.32802774,0.78695684,0.66157131,0.00404589,0.11291249,0.80772793,0.16353512,1.39514185,0.00000000
-5.91595798,2.28685500,0.77576387,0.65040714,0.00398893,0.11047092,0.78849973,0.16217668,1.37168972,0.00000000
-5.90995498,2.24279550,0.76411169,0.63716402,0.00391036,0.10815447,0.76819534,0.16093938,1.34650513,0.00000000
-5.90395198,2.19634332,0.75213672,0.62202879,0.00381228,0.10596722,0.74701846,0.15984221,1.31990239,0.00000000
-5.89794897,2.14802649,0.73997613,0.60522559,0.00369718,0.10390979,0.72518724,0.15889755,1.29221430,0.00000000
-5.89194597,2.09838582,0.72776110,0.58700845,0.00356781,0.10197886,0.70292730,0.15811014,1.26377891,0.00000000
-5.88594297,2.04795451,0.71561087,0.56765327,0.00342713,0.10016701,0.68046503,0.15747635,1.23492700,0.00000000
-5.87993997,1.99724025,0.70362787,0.54744972,0.00327821,0.09846265,0.65802153,0.15698405,1.20597124,0.00000000
-5.87393697,1.94671100,0.69189461,0.52669355,0.00312417,0.09685017,0.63580759,0.15661296,1.17719780,0.00000000
-5.86793397,1.89678549,0.68047249,0.50567958,0.00296806,0.09531042,0.61402005,0.15633552,1.14886101,0.00000000
-5.86193097,1.84782902,0.66940258,0.48469582,0.00281285,0.09382131,0.59283968,0.15611837,1.12118126,0.00000000
-5.85592796,1.80015458,0.65870856,0.46401884,0.00266133,0.09235876,0.57243051,0.15592427,1.09434641,0.00000000
-5.84992496,1.75402910,0.64840135,0.44391045,0.00251605,0.09089775,0.55294077,0.15571448,1.06851623,0.00000000
-5.84392196,1.70968397,0.63848525,0.42461576,0.00237937,0.08941357,0.53450488,0.15545129,1.04382954,0.00000000
-5.83791896,1.66732884,0.62896500,0.40636236,0.00225334,0.08788312,0.51724654,0.15510080,1.02041319,0.00000000
-5.83191596,1.62716721,0.61985321,0.38936049,0.00213975,0.08628620,0.50128217,0.15463549,0.99839210,0.00000000
-5.82591296,1.58941230,0.61117748,0.37380390,0.00204013,0.08460677,0.48672453,0.15403675,0.97789935,0.00000000
-5.81990995,1.55430168,0.60298662,0.35987093,0.00195573,0.08283404,0.47368596,0.15329682,0.95908518,0.00000000
-5.81390695,1.52210899,0.59535526,0.34772573,0.00188754,0.08096331,0.46228077,0.15242036,0.94212416,0.00000000
-5.80790395,1.49315154,0.58838657,0.33751893,0.00183628,0.07899662,0.45262654,0.15142522,0.92721951,0.00000000
-5.80190095,1.46779265,0.58221239,0.32938782,0.00180247,0.07694302,0.44484388,0.15034260,0.91460397,0.00000000
-5.79589795,1.44643803,0.57699083,0.32345554,0.00178634,0.07481850,0.43905463,0.14921627,0.90453687,0.00000000
-5.78989495,1.42952610,0.57290121,0.31982935,0.00178794,0.07264562,0.43537836,0.14810119,0.89729723,0.00000000
-5.78389195,1.41751220,0.57013635,0.31859779,0.00180704,0.07045278,0.43392731,0.14706124,0.89317301,0.00000000
-5.77788894,1.41084758,0.56889283,0.31982693,0.00184318,0.06827318,0.43479987,0.14616641,0.89244704,0.00000000
-5.77188594,1.40995398,0.56935939,0.32355580,0.00189567,0.06614354,0.43807308,0.14548951,0.89538027,0.00000000
-5.76588294,1.41519547,0.57170440,0.32979131,0.00196354,0.06410261,0.44379451,0.14510246,0.90219334,0.00000000
-5.75987994,1.42684895,0.57606288,0.33850297,0.00204556,0.06218960,0.45197398,0.14507260,0.91304747,0.00000000
-5.75387694,1.44507532,0.58252404,0.34961788,0.00214022,0.06044252,0.46257574,0.14545891,0.92802595,0.00000000
-5.74787394,1.46989321,0.59112001,0.36301636,0.00224576,0.05889656,0.47551163,0.14630858,0.94711745,0.00000000
-5.74187094,1.50115688,0.60181662,0.37852862,0.00236014,0.05758263,0.49063579,0.14765409,0.97020220,0.00000000
-5.73586793,1.53854010,0.61450668,0.39593295,0.00248107,0.05652596,0.50774130,0.14951081,0.99704227,0.00000000
-5.72986493,1.58152729,0.62900662,0.41495574,0.00260606,0.05574506,0.52655926,0.15187541,1.02727656,0.00000000
-5.72386193,1.62941280,0.64505645,0.43527348,0.00273243,0.05525087,0.54676038,0.15472515,1.06042130,0.00000000
-5.71785893,1.68130893,0.66232355,0.45651701,0.00285739,0.05504626,0.56795949,0.15801805,1.09587626,0.00000000
-5.71185593,1.73616265,0.68041005,0.47827802,0.00297805,0.05512586,0.58972258,0.16169390,1.13293660,0.00000000
-5.70585293,1.79278065,0.69886363,0.50011753,0.00309157,0.05547614,0.61157652,0.16567626,1.17081014,0.00000000
-5.69984992,1.84986169,0.71719128,0.52157640,0.00319516,0.05607593,0.63302095,0.16987507,1.20863938,0.00000000
-5.69384692,1.90603506,0.73487553,0.54218716,0.00328619,0.05689708,0.65354197,0.17418999,1.24552732,0.00000000
-5.68784392,1.95990331,0.75139220,0.56148704,0.00336229,0.05790549,0.67262705,0.17851416,1.28056588,0.00000000
-5.68184092,2.01008743,0.76622910,0.57903139,0.00342140,0.05906222,0.68978053,0.18273820,1.31286586,0.00000000
-5.67583792,2.05527232,0.77890451,0.59440707,0.00346181,0.06032485,0.70453908,0.18675435,1.34158676,0.00000000
-5.66983492,2.09425045,0.78898492,0.60724508,0.00348230,0.06164882,0.71648642,0.19046042,1.36596524,0.00000000
-5.66383192,2.12596174,0.79610080,0.61723201,0.00348210,0.06298887,0.72526663,0.19376343,1.38534091,0.00000000
-5.65782891,2.14952771,0.79995997,0.62411956,0.00346097,0.06430043,0.73059550,0.19658277,1.39917806,0.00000000
-5.65182591,2.16427850,0.80035789,0.62773185,0.00341919,0.06554086,0.73226949,0.19885270,1.40708259,0.00000000
-5.64582291,2.16977147,0.79718426,0.62797016,0.00335756,0.06667065,0.73017177,0.20052412,1.40881325,0.00000000
-5.63981991,2.16580075,0.79042598,0.62481476,0.00327737,0.06765436,0.72427530,0.20156552,1.40428675,0.00000000
-5.63381691,2.15239750,0.78016615,0.61832401,0.00318039,0.06846143,0.71464273,0.20196314,1.39357676,0.00000000
-5.62781391,2.12982101,0.76657934,0.60863049,0.00306876,0.06906670,0.70142324,0.20172025,1.37690679,0.00000000
-5.62181091,2.09854143,0.74992351,0.59593472,0.00294498,0.06945076,0.68484646,0.20085585,1.35463760,0.00000000
-5.61580790,2.05921502,0.73052890,0.58049649,0.00281179,0.06960001,0.66521389,0.19940256,1.32724978,0.00000000
-5.60980490,2.01265362,0.70878461,0.56262450,0.00267211,0.06950660,0.64288809,0.19740422,1.29532253,0.00000000
-5.60380190,1.95978956,0.68512349,0.54266470,0.00252893,0.06916806,0.61828025,0.19491298,1.25950973,0.00000000
-5.59779890,1.90163822,0.66000610,0.52098781,0.00238526,0.06858690,0.59183666,0.19198636,1.22051439,0.00000000
-5.59179590,1.83925975,0.63390441,0.49797686,0.00224400,0.06776997,0.56402467,0.18868429,1.17906290,0.00000000
-5.58579290,1.77372179,0.60728605,0.47401494,0.00210792,0.06672782,0.53531856,0.18506626,1.13588004,0.00000000
-5.57978989,1.70606487,0.58059961,0.44947403,0.00197950,0.06547398,0.50618605,0.18118889,1.09166590,0.00000000
