energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,0.77632047,-0.83021719,0.17404293,-0.17173891,0.08659469,-0.08363974,0.00321503,-0.00263576,0.02004281,-0.01931785,0.01343025,-0.01829985,0.44924229,-0.48175096,0.21395364,-0.23072659,0.04536842,-0.04529250
-5.99399700,0.76802268,-0.81032816,0.17672261,-0.17025823,0.08586953,-0.08156248,0.00339934,-0.00279719,0.02055414,-0.01908011,0.01238626,-0.01710580,0.44480639,-0.47096117,0.21094714,-0.22672103,0.04623656,-0.04481235
-5.98799400,0.76478161,-0.79125729,0.18108002,-0.16928798,0.08566418,-0.07953535,0.00360651,-0.00297475,0.02132312,-0.01892181,0.01142245,-0.01591611,0.44319616,-0.46060430,0.20884175,-0.22243391,0.04758833,-0.04457528
-5.98199100,0.76741937,-0.77399671,0.18736695,-0.16907905,0.08605865,-0.07765695,0.00383778,-0.00316999,0.02238929,-0.01887532,0.01055403,-0.01475186,0.44487631,-0.45125155,0.20788459,-0.21811994,0.04947363,-0.04464562
-5.97598799,0.77666153,-0.75953604,0.19581887,-0.16988700,0.08712175,-0.07602557,0.00409391,-0.00338420,0.02379198,-0.01897388,0.00979433,-0.01363309,0.45025445,-0.44347404,0.20830374,-0.21404602,0.05193576,-0.04508572
-5.96998499,0.79312230,-0.74883896,0.20665009,-0.17196671,0.08890973,-0.07473679,0.00437504,-0.00361840,0.02557000,-0.01925110,0.00915475,-0.01257849,0.45967201,-0.43782895,0.21030257,-0.21048428,0.05501056,-0.04595472
-5.96398199,0.81729277,-0.74282076,0.22004934,-0.17556686,0.09146555,-0.07388107,0.00468072,-0.00387319,0.02776124,-0.01974047,0.00864475,-0.01160509,0.47339690,-0.43484609,0.21405494,-0.20770486,0.05872566,-0.04730723
-5.95797899,0.84953230,-0.74232709,0.23617571,-0.18092449,0.09481843,-0.07354160,0.00500988,-0.00414872,0.03040243,-0.02047480,0.00827185,-0.01072819,0.49161812,-0.43501513,0.21970123,-0.20596885,0.06309995,-0.04919235
-5.95197599,0.89006316,-0.74811472,0.25515506,-0.18825967,0.09898399,-0.07379219,0.00536080,-0.00444469,0.03352876,-0.02148577,0.00804171,-0.00996120,0.51444231,-0.43877397,0.22734534,-0.20552148,0.06814311,-0.05165258
-5.94597299,0.93896835,-0.76083443,0.27707689,-0.19777055,0.10396469,-0.07469557,0.00573120,-0.00476025,0.03717355,-0.02280337,0.00795813,-0.00931559,0.54189217,-0.44649838,0.23705258,-0.20658584,0.07385534,-0.05472297
-5.93996998,0.99619229,-0.78101660,0.30199182,-0.20962866,0.10975080,-0.07630187,0.00611824,-0.00509403,0.04136799,-0.02445547,0.00802309,-0.00880089,0.57390681,-0.45849319,0.24884854,-0.20935725,0.08022722,-0.05843043
-5.93396698,1.06154446,-0.80905964,0.32990958,-0.22397483,0.11632164,-0.07864747,0.00651862,-0.00544421,0.04614073,-0.02646734,0.00823683,-0.00842468,0.61034374,-0.47498524,0.26271890,-0.21399846,0.08723974,-0.06279305
-5.92796398,1.13470534,-0.84522150,0.36079758,-0.24091562,0.12364707,-0.08175417,0.00692865,-0.00580845,0.05151756,-0.02886120,0.00859783,-0.00819262,0.65098255,-0.49611809,0.27861005,-0.22063570,0.09486439,-0.06781971
-5.92196098,1.21523471,-0.88961427,0.39458018,-0.26052044,0.13168928,-0.08562881,0.00734437,-0.00618406,0.05752102,-0.03165583,0.00910283,-0.00810852,0.69552998,-0.52194881,0.29643053,-0.22935577,0.10306345,-0.07350975
-5.91595798,1.30258167,-0.94220208,0.43113844,-0.28281942,0.14040461,-0.09026318,0.00776162,-0.00656800,0.06416998,-0.03486619,0.00974682,-0.00817431,0.74362624,-0.55244656,0.31605315,-0.24020411,0.11179039,-0.07985281
-5.90995498,1.39609623,-1.00280210,0.47031063,-0.30780206,0.14974544,-0.09563435,0.00817616,-0.00695699,0.07147919,-0.03850305,0.01052306,-0.00839010,0.79485235,-0.58749329,0.33731776,-0.25318396,0.12099034,-0.08682883
-5.90395198,1.49504198,-1.07108862,0.51189329,-0.33541666,0.15966205,-0.10170534,0.00858379,-0.00734759,0.07945880,-0.04257277,0.01142307,-0.00875419,0.84873835,-0.62688624,0.36003448,-0.26825643,0.13060073,-0.09440821
-5.89794897,1.59860961,-1.14660004,0.55564291,-0.36557069,0.17010433,-0.10842616,0.00898041,-0.00773631,0.08811380,-0.04707697,0.01243663,-0.00926305,0.90477207,-0.67034230,0.38398742,-0.28534165,0.14055200,-0.10255211
-5.89194597,1.70593085,-1.22874860,0.60127818,-0.39813184,0.18102324,-0.11573512,0.00936213,-0.00811967,0.09744349,-0.05201238,0.01355187,-0.00991133,0.96240839,-0.71750405,0.40893874,-0.30432076,0.15076838,-0.11121289
-5.88594297,1.81609258,-1.31683253,0.64848285,-0.43293002,0.19237205,-0.12356044,0.00972535,-0.00849432,0.10744087,-0.05737072,0.01475529,-0.01069188,1.02107871,-0.76794729,0.43463290,-0.32503873,0.16116877,-0.12033469
-5.87993997,1.92815080,-1.41005028,0.69690907,-0.46975996,0.20410725,-0.13182205,0.01006679,-0.00885708,0.11809200,-0.06313858,0.01603193,-0.01159571,1.08020039,-0.82118990,0.46080120,-0.34730793,0.17166773,-0.12985421
-5.87393697,2.04114422,-1.50751654,0.74618113,-0.50838457,0.21618902,-0.14043357,0.01038353,-0.00920503,0.12937537,-0.06929743,0.01736552,-0.01261206,1.13918615,-0.87670180,0.48716626,-0.37091229,0.18217646,-0.13970150
-5.86793397,2.15410727,-1.60827967,0.79589978,-0.54853875,0.22858146,-0.14930440,0.01067307,-0.00953552,0.14126130,-0.07582367,0.01873867,-0.01372843,1.19745310,-0.93391570,0.51344667,-0.39561192,0.19260385,-0.14980094
-5.86193097,2.26608234,-1.71133995,0.84564673,-0.58993376,0.24125230,-0.15834182,0.01093329,-0.00984621,0.15371135,-0.08268874,0.02013318,-0.01493068,1.25443132,-0.99223842,0.53936151,-0.42114820,0.20285761,-0.16007231
-5.85592796,2.37613112,-1.81566837,0.89498955,-0.63226176,0.25417242,-0.16745311,0.01116249,-0.01013509,0.16667785,-0.08985926,0.02153035,-0.01620318,1.30957188,-1.05106244,0.56463475,-0.44724897,0.21284534,-0.17043184
-5.84992496,2.48334499,-1.92022532,0.94348686,-0.67520054,0.26731494,-0.17654755,0.01135931,-0.01040045,0.18010347,-0.09729729,0.02291128,-0.01752899,1.36235415,-1.10977744,0.58899948,-0.47363393,0.22247569,-0.18079343
-5.84392196,2.58685444,-2.02397894,0.99069363,-0.71841828,0.28065421,-0.18553832,0.01152276,-0.01064088,0.19392108,-0.10496056,0.02425730,-0.01889011,1.41229236,-1.16778147,0.61220188,-0.50001996,0.23165946,-0.19106977
-5.83791896,2.68583745,-2.12592236,1.03616675,-0.76157809,0.29416459,-0.19434417,0.01165218,-0.01085524,0.20805379,-0.11280281,0.02555033,-0.02026777,1.45894125,-1.22449144,0.63400492,-0.52612630,0.24031072,-0.20117352
-5.83191596,2.77952701,-2.22508970,1.07947066,-0.80434236,0.30781927,-0.20289085,0.01174714,-0.01104263,0.22241521,-0.12077414,0.02677324,-0.02164279,1.50190088,-1.27935282,0.65419166,-0.55167944,0.24834789,-0.21101841
-5.82591296,2.86721790,-2.32057031,1.12018318,-0.84637661,0.32158913,-0.21111234,0.01180749,-0.01120232,0.23691021,-0.12882139,0.02791026,-0.02299591,1.54082053,-1.33184811,0.67256817,-0.57641760,0.25569481,-0.22052036
-5.81990995,2.94827268,-2.41152098,1.15790141,-0.88735304,0.33544184,-0.21895170,0.01183326,-0.01133374,0.25143594,-0.13688858,0.02894724,-0.02430824,1.57540170,-1.38150405,0.68896603,-0.60009486,0.26228178,-0.22959838
-5.81390695,3.02212732,-2.49717599,1.19224761,-0.92695338,0.34934126,-0.22636170,0.01182464,-0.01143645,0.26588343,-0.14491739,0.02987196,-0.02556164,1.60540029,-1.42789738,0.70324442,-0.62248454,0.26804653,-0.23817550
-5.80790395,3.08829643,-2.57685469,1.22287530,-0.96487143,0.36324726,-0.23330510,0.01178198,-0.01151009,0.28013952,-0.15284763,0.03067432,-0.02673911,1.63062790,-1.47065904,0.71529165,-0.64338217,0.27293518,-0.24617959
-5.80190095,3.14637826,-2.64996687,1.24947514,-1.00081502,0.37711599,-0.23975473,0.01170574,-0.01155434,0.29408943,-0.16061790,0.03134647,-0.02782521,1.65095251,-1.50947689,0.72502630,-0.66260771,0.27690311,-0.25354395
-5.79589795,3.19605975,-2.71601582,1.27178089,-1.03450761,0.39090080,-0.24569325,0.01159649,-0.01156897,0.30761967,-0.16816614,0.03188290,-0.02880632,1.66629846,-1.54409695,0.73239792,-0.68000718,0.27991581,-0.26020798
-5.78989495,3.23712135,-2.77459928,1.28957511,-1.06568964,0.40455359,-0.25111279,0.01145492,-0.01155375,0.32062145,-0.17543044,0.03228038,-0.02967096,1.67664584,-1.57432322,0.73738717,-0.69545369,0.28194966,-0.26611765
-5.78389195,3.26944193,-2.82540869,1.30269457,-1.09411972,0.41802681,-0.25601434,0.01128182,-0.01150852,0.33299434,-0.18234979,0.03253793,-0.03040999,1.68202944,-1.60001638,0.74000563,-0.70884788,0.28299251,-0.27122591
-5.77788894,3.29300341,-2.86822694,1.31103519,-1.11957582,0.43127581,-0.26040715,0.01107808,-0.01143319,0.34465017,-0.18886504,0.03265659,-0.03101673,1.68253725,-1.62109149,0.74029515,-0.72011790,0.28304432,-0.27549307
-5.77188594,3.30789501,-2.90292510,1.31455633,-1.14185659,0.44426164,-0.26430791,0.01084477,-0.01132772,0.35551702,-0.19491995,0.03263930,-0.03148699,1.67830855,-1.63751492,0.73832680,-0.72921887,0.28211751,-0.27888721
-5.76588294,3.31431674,-2.92945841,1.31328426,-1.16078300,0.45695402,-0.26774009,0.01058307,-0.01119219,0.36554304,-0.20046227,0.03249061,-0.03181904,1.66953165,-1.64930082,0.73419940,-0.73613211,0.28023722,-0.28138441
-5.75987994,3.31258181,-2.94786202,1.30731450,-1.17620030,0.46933427,-0.27073317,0.01029435,-0.01102682,0.37469992,-0.20544505,0.03221645,-0.03201350,1.65644120,-1.65650735,0.72803768,-0.74086403,0.27744130,-0.28296921
-5.75387694,3.30311743,-2.95824668,1.29681290,-1.18798036,0.48139817,-0.27332197,0.00998018,-0.01083199,0.38298589,-0.20982790,0.03182381,-0.03207313,1.63931514,-1.65923286,0.71999011,-0.74344489,0.27378017,-0.28363487
-5.74787394,3.28646352,-2.96079474,1.28201520,-1.19602447,0.49315823,-0.27554600,0.00964232,-0.01060826,0.39042792,-0.21357835,0.03132051,-0.03200259,1.61847108,-1.65761224,0.71022629,-0.74392738,0.26931627,-0.28338374
-5.74187094,3.26326890,-2.95575634,1.26322490,-1.20026643,0.50464545,-0.27744896,0.00928276,-0.01035644,0.39708299,-0.21667320,0.03071496,-0.03180818,1.59426220,-1.65181353,0.69893404,-0.74238519,0.26412330,-0.28222761
-5.73586793,3.23428445,-2.94344618,1.24080941,-1.20067584,0.51591019,-0.27907818,0.00890372,-0.01007757,0.40303829,-0.21909976,0.03001587,-0.03149746,1.56707250,-1.64203486,0.68631607,-0.73891151,0.25828515,-0.28018797
-5.72986493,3.20035308,-2.92424037,1.21519425,-1.19726139,0.52702195,-0.28048416,0.00850761,-0.00977297,0.40841016,-0.22085699,0.02923217,-0.03107895,1.53731145,-1.62850171,0.67258643,-0.73361747,0.25189449,-0.27729622
-5.72386193,3.16239605,-2.89857345,1.18685547,-1.19007388,0.53806816,-0.28172008,0.00809710,-0.00944424,0.41334174,-0.22195644,0.02837276,-0.03056182,1.50540784,-1.61146445,0.65796655,-0.72663055,0.24505103,-0.27359376
-5.71785893,3.12139604,-2.86693517,1.15631036,-1.17920882,0.54915165,-0.28284126,0.00767502,-0.00909327,0.41799943,-0.22242286,0.02744647,-0.02995557,1.47180311,-1.59119598,0.64268117,-0.71809282,0.23785956,-0.26913187
-5.71185593,3.07837685,-2.82986665,1.12410656,-1.16480809,0.56038703,-0.28390458,0.00724436,-0.00872223,0.42256803,-0.22229451,0.02646195,-0.02926973,1.43694398,-1.56798935,0.62695400,-0.70815907,0.23042776,-0.26397139
-5.70585293,3.03438043,-2.78795571,1.09081001,-1.14706064,0.57189605,-0.28496776,0.00680825,-0.00833356,0.42724490,-0.22162302,0.02542766,-0.02851368,1.40127463,-1.54215518,0.61100336,-0.69699471,0.22286377,-0.25818214
-5.69984992,2.99044184,-2.74183087,1.05699192,-1.12620183,0.58380197,-0.28608849,0.00636987,-0.00792997,0.43223331,-0.22047289,0.02435183,-0.02769640,1.36522860,-1.51401865,0.59503791,-0.68477338,0.21527380,-0.25184199
-5.69384692,2.94756299,-2.69215397,1.02321537,-1.10251129,0.59622348,-0.28732351,0.00593245,-0.00751436,0.43773514,-0.21892045,0.02324252,-0.02682641,1.32922065,-1.48391601,0.57925246,-0.67167426,0.20775969,-0.24503566
-5.68784392,2.90668636,-2.63961105,0.99002181,-1.07630909,0.60926818,-0.28872749,0.00549915,-0.00708980,0.44394342,-0.21705244,0.02210756,-0.02591163,1.29363880,-1.45219036,0.56382417,-0.65787907,0.20041656,-0.23785317
-5.68184092,2.86866969,-2.58490180,0.95791813,-1.04795042,0.62302627,-0.29035186,0.00507306,-0.00665952,0.45103499,-0.21496419,0.02095463,-0.02495937,1.25883697,-1.41918676,0.54890923,-0.64356871,0.19333075,-0.23038803
-5.67583792,2.83426301,-2.52872736,0.92736472,-1.01781859,0.63756456,-0.29224364,0.00465711,-0.00622680,0.45916358,-0.21275743,0.01979127,-0.02397634,1.22512841,-1.38524667,0.53464011,-0.62891967,0.18657805,-0.22273514
-5.66983492,2.80408904,-2.47177726,0.89876486,-0.98631679,0.65292139,-0.29444426,0.00425399,-0.00579493,0.46845376,-0.21053797,0.01862485,-0.02296868,1.19278042,-1.35070182,0.52112355,-0.61410025,0.18022229,-0.21498856
-5.66383192,2.77862812,-2.41471561,0.87245609,-0.95385872,0.66910265,-0.29698862,0.00386615,-0.00536715,0.47899600,-0.20841316,0.01746259,-0.02194203,1.16201043,-1.31586774,0.50843947,-0.59926676,0.17431449,-0.20723914
