energy_ev,total_up,Sb_p_up,Sb_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,4.80243262,1.55970053,0.04247158,2.44856082,1.93906271,1.71765228,0.00000000
-5.99399700,4.65177598,1.52169661,0.04228713,2.39454277,1.88242858,1.64397531,0.00000000
-5.98799400,4.50502345,1.48382484,0.04206272,2.34072343,1.82749753,1.57355831,0.00000000
-5.98199100,4.36345690,1.44646794,0.04179508,2.28765824,1.77469888,1.50698016,0.00000000
-5.97598799,4.22804738,1.40992927,0.04147981,2.23576835,1.72434334,1.44467536,0.00000000
-5.96998499,4.09945466,1.37443017,0.04111173,2.18533845,1.67662656,1.38693361,0.00000000
-5.96398199,3.97804030,1.34011130,0.04068542,2.13652158,1.63163756,1.33390495,0.00000000
-5.95797899,3.86389330,1.30703774,0.04019577,2.08935050,1.58937148,1.28560996,0.00000000
-5.95197599,3.75686625,1.27520737,0.03963846,2.04375476,1.54974574,1.24195444,0.00000000
-5.94597299,3.65661963,1.24456203,0.03901059,1.99958223,1.51261860,1.20274746,0.00000000
-5.93996998,3.56267153,1.21500053,0.03831106,1.95662401,1.47780884,1.16772193,0.00000000
-5.93396698,3.47444990,1.18639293,0.03754105,1.91464097,1.44511553,1.13655645,0.00000000
-5.92796398,3.39134435,1.15859500,0.03670424,1.87339049,1.41433680,1.10889729,0.00000000
-5.92196098,3.31275468,1.13146216,0.03580707,1.83265190,1.38528636,1.08437952,0.00000000
-5.91595798,3.23813386,1.10486222,0.03485865,1.79224924,1.35780727,1.06264612,0.00000000
-5.90995498,3.16702331,1.07868608,0.03387077,1.75207008,1.33178210,1.04336452,0.00000000
-5.90395198,3.09907914,1.05285612,0.03285758,1.71207953,1.30713926,1.02623968,0.00000000
-5.89794897,3.03408852,1.02733187,0.03183523,1.67232893,1.28385533,1.01102353,0.00000000
-5.89194597,2.97197584,1.00211284,0.03082140,1.63295867,1.26195356,0.99752046,0.00000000
-5.88594297,2.91279930,0.97723860,0.02983469,1.59419554,1.24149892,0.98558901,0.00000000
-5.87993997,2.85673853,0.95278630,0.02889404,1.55634461,1.22259024,0.97513998,0.00000000
-5.87393697,2.80407492,0.92886603,0.02801797,1.51977664,1.20535014,0.96613140,0.00000000
-5.86793397,2.75516617,0.90561443,0.02722399,1.48491160,1.18991358,0.95856099,0.00000000
-5.86193097,2.71041703,0.88318719,0.02652789,1.45219961,1.17641579,0.95245666,0.00000000
-5.85592796,2.67024835,0.86175090,0.02594319,1.42210021,1.16498056,0.94786597,0.00000000
