energy_ev,total_up,Sb_p_up,Sb_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.18571624,0.23702724,0.00279491,0.35696957,0.15887484,0.59021910,0.00000000
-5.99399700,1.19500656,0.23920818,0.00281924,0.35998597,0.16015410,0.59461495,0.00000000
-5.98799400,1.19681197,0.23995208,0.00282671,0.36081911,0.16043056,0.59525239,0.00000000
-5.98199100,1.19137657,0.23931461,0.00281805,0.35955466,0.15973620,0.59225048,0.00000000
-5.97598799,1.17914104,0.23739135,0.00279442,0.35633836,0.15812935,0.58582595,0.00000000
-5.96998499,1.16073196,0.23431551,0.00275747,0.35137278,0.15569327,0.57628797,0.00000000
-5.96398199,1.13694435,0.23025433,0.00270922,0.34491180,0.15253379,0.56402953,0.00000000
-5.95797899,1.10871779,0.22540401,0.00265203,0.33725326,0.14877616,0.54951581,0.00000000
-5.95197599,1.07710719,0.21998355,0.00258856,0.32872984,0.14456107,0.53326981,0.00000000
-5.94597299,1.04324933,0.21422766,0.00252163,0.31969857,0.14004023,0.51585600,0.00000000
-5.93996998,1.00832627,0.20837893,0.00245415,0.31052944,0.13537141,0.49786248,0.00000000
-5.93396698,0.97352735,0.20267968,0.00238905,0.30159345,0.13071333,0.47988246,0.00000000
-5.92796398,0.94001095,0.19736367,0.00232914,0.29325049,0.12622052,0.46249558,0.00000000
-5.92196098,0.90886748,0.19264809,0.00227704,0.28583766,0.12203836,0.44625000,0.00000000
-5.91595798,0.88108508,0.18872604,0.00223510,0.27965829,0.11829842,0.43164569,0.00000000
-5.90995498,0.85751899,0.18575977,0.00220530,0.27497214,0.11511438,0.41911961,0.00000000
-5.90395198,0.83886579,0.18387502,0.00218918,0.27198700,0.11257852,0.40903310,0.00000000
-5.89794897,0.82564322,0.18315659,0.00218783,0.27085210,0.11075903,0.40166213,0.00000000
-5.89194597,0.81817623,0.18364523,0.00220179,0.27165349,0.10969814,0.39719031,0.00000000
-5.88594297,0.81658954,0.18533617,0.00223107,0.27441144,0.10941113,0.39570517,0.00000000
-5.87993997,0.82080691,0.18817911,0.00227516,0.27908006,0.10988626,0.39719741,0.00000000
-5.87393697,0.83055690,0.19207982,0.00233300,0.28554907,0.11108560,0.40156333,0.00000000
-5.86793397,0.84538492,0.19690330,0.00240306,0.29364756,0.11294666,0.40861006,0.00000000
-5.86193097,0.86467091,0.20247827,0.00248336,0.30314978,0.11538486,0.41806344,0.00000000
-5.85592796,0.88765200,0.20860300,0.00257154,0.31378254,0.11829665,0.42957817,0.00000000
-5.84992496,0.91344926,0.21505212,0.00266495,0.32523411,0.12156315,0.44274988,0.00000000
-5.84392196,0.94109766,0.22158430,0.00276071,0.33716420,0.12505428,0.45712857,0.00000000
-5.83791896,0.96957788,0.22795042,0.00285585,0.34921471,0.12863312,0.47223304,0.00000000
-5.83191596,0.99784928,0.23390198,0.00294734,0.36102090,0.13216040,0.48756580,0.00000000
-5.82591296,1.02488241,0.23919945,0.00303223,0.37222254,0.13549898,0.50262791,0.00000000
-5.81990995,1.04969034,0.24362018,0.00310773,0.38247464,0.13851805,0.51693330,0.00000000
-5.81390695,1.07135755,0.24696565,0.00317131,0.39145746,0.14109710,0.53002216,0.00000000
-5.80790395,1.08906546,0.24906773,0.00322073,0.39888546,0.14312936,0.54147292,0.00000000
-5.80190095,1.10211391,0.24979378,0.00325416,0.40451478,0.14452465,0.55091266,0.00000000
-5.79589795,1.10993790,0.24905033,0.00327016,0.40814921,0.14521160,0.55802541,0.00000000
-5.78989495,1.11211923,0.24678524,0.00326780,0.40964433,0.14513915,0.56255844,0.00000000
-5.78389195,1.10839279,0.24298844,0.00324658,0.40890987,0.14427727,0.56432629,0.00000000
-5.77788894,1.09864756,0.23769096,0.00320648,0.40591016,0.14261702,0.56321264,0.00000000
-5.77188594,1.08292265,0.23096264,0.00314797,0.40066285,0.14016981,0.55916991,0.00000000
-5.76588294,1.06139865,0.22290851,0.00307189,0.39323600,0.13696612,0.55221703,0.00000000
-5.75987994,1.03438506,0.21366405,0.00297948,0.38374373,0.13305360,0.54243538,0.00000000
