energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,6.62106218,0.25184311,0.14220770,1.38618211,1.09833702,1.82413637,1.60664249,0.13939871,2.32714023
-5.99399700,6.56720975,0.25418352,0.14405671,1.37416297,1.10634852,1.83336625,1.57702651,0.13457146,2.31278530
-5.98799400,6.49286426,0.25538588,0.14549184,1.35762776,1.11082549,1.83491251,1.54314244,0.12937531,2.29058773
-5.98199100,6.39829920,0.25541056,0.14650126,1.33654868,1.11158852,1.82864220,1.50524597,0.12387007,2.26056318
-5.97598799,6.28411279,0.25423657,0.14708082,1.31097019,1.10850481,1.81455389,1.46368026,0.11811656,2.22284374
-5.96998499,6.15121514,0.25186194,0.14723474,1.28100728,1.10149539,1.79277729,1.41886354,0.11217554,2.17767609
-5.96398199,6.00081083,0.24830373,0.14697599,1.24684282,1.09054136,1.76357015,1.37127560,0.10610674,2.12541808
-5.95797899,5.83437688,0.24359766,0.14632646,1.20872404,1.07568912,1.72731233,1.32144344,0.09996809,2.06653360
-5.95197599,5.65363614,0.23779748,0.14531671,1.16695821,1.05705389,1.68449738,1.26992658,0.09381505,2.00158577
-5.94597299,5.46052652,0.23097385,0.14398537,1.12190754,1.03482145,1.63572164,1.21730238,0.08770010,1.93122838
-5.93996998,5.25716591,0.22321310,0.14237831,1.07398341,1.00924774,1.58167122,1.16415167,0.08167240,1.85619567
-5.93396698,5.04581362,0.21461554,0.14054732,1.02363982,0.98065620,1.52310715,1.11104507,0.07577748,1.77729042
-5.92796398,4.82882878,0.20529362,0.13854867,0.97136623,0.94943294,1.46084908,1.05853027,0.07005715,1.69537064
-5.92196098,4.60862680,0.19536980,0.13644138,0.91767989,0.91601980,1.39575800,1.00712049,0.06454939,1.61133501
-5.91595798,4.38763494,0.18497426,0.13428544,0.86311762,0.88090566,1.32871852,0.95728451,0.05928835,1.52610750
-5.90995498,4.16824845,0.17424257,0.13214000,0.80822744,0.84461626,1.26062121,0.90943838,0.05430444,1.44062156
-5.90395198,3.95278874,0.16331318,0.13006166,0.75355998,0.80770312,1.19234558,0.86393901,0.04962442,1.35580429
-5.89794897,3.74346502,0.15232503,0.12810299,0.69966013,0.77073190,1.12474430,0.82107997,0.04527157,1.27256131
-5.89194597,3.54234094,0.14141516,0.12631126,0.64705892,0.73427090,1.05862907,0.78108935,0.04126582,1.19176259
-5.88594297,3.35130735,0.13071652,0.12472766,0.59626603,0.69888004,0.99475867,0.74412995,0.03762401,1.11422988
-5.87993997,3.17206212,0.12035595,0.12338677,0.54776309,0.66510080,0.93382944,0.71030163,0.03436007,1.04072600
-5.87393697,3.00609748,0.11045242,0.12231658,0.50199778,0.63344750,0.87646831,0.67964566,0.03148524,0.97194641
-5.86793397,2.85469487,0.10111558,0.12153880,0.45937906,0.60439997,0.82322865,0.65215101,0.02900829,0.90851300
-5.86193097,2.71892688,0.09244455,0.12106961,0.42027344,0.57839797,0.77458847,0.62776205,0.02693570,0.85097023
-5.85592796,2.59966532,0.08452714,0.12092061,0.38500222,0.55583708,0.73095104,0.60638737,0.02527186,0.79978343
-5.84992496,2.49759390,0.07743925,0.12109997,0.35383974,0.53706598,0.69264726,0.58790921,0.02401916,0.75533888
-5.84392196,2.41322404,0.07124463,0.12161358,0.32701241,0.52238498,0.65993946,0.57219302,0.02317811,0.71794534
-5.83791896,2.34691169,0.06599482,0.12246618,0.30469831,0.51204530,0.63302590,0.55909653,0.02274735,0.68783651
-5.83191596,2.29887335,0.06172932,0.12366222,0.28702719,0.50624892,0.61204548,0.54847783,0.02272360,0.66517393
