energy_ev,total_up,Ga_p_up,Ga_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,3.88105637,0.23032712,0.00000000,3.18599014,2.32715745,0.00408957,1.34537384
-5.99399700,3.84302026,0.23334967,0.00000000,3.04738754,2.33326880,0.00411758,1.32682637
-5.98799400,3.80823087,0.23608281,0.00000000,2.91582786,2.33991519,0.00414574,1.30990806
-5.98199100,3.77653500,0.23849418,0.00000000,2.79168431,2.34686502,0.00417055,1.29460372
-5.97598799,3.74760438,0.24055766,0.00000000,2.67501503,2.35383013,0.00418876,1.28082531
-5.96998499,3.72096764,0.24225412,0.00000000,2.56560376,2.36048189,0.00419745,1.26842295
-5.96398199,3.69604525,0.24357186,0.00000000,2.46300793,2.36646755,0.00419405,1.25719722
-5.95797899,3.67218540,0.24450662,0.00000000,2.36661142,2.37142617,0.00417642,1.24691205
-5.95197599,3.64869959,0.24506127,0.00000000,2.27567921,2.37500350,0.00414287,1.23730777
-5.94597299,3.62489626,0.24524517,0.00000000,2.18941133,2.37686542,0.00409224,1.22811365
-5.93996998,3.60011169,0.24507329,0.00000000,2.10699383,2.37670969,0.00402383,1.21905972
-5.93396698,3.57373737,0.24456516,0.00000000,2.02764467,2.37427596,0.00393751,1.20988747
-5.92796398,3.54524346,0.24374380,0.00000000,1.95065332,2.36935402,0.00383362,1.20035932
-5.92196098,3.51419814,0.24263461,0.00000000,1.87541275,2.36179055,0.00371298,1.19026675
-5.91595798,3.48028300,0.24126442,0.00000000,1.80144347,2.35149454,0.00357686,1.17943702
-5.90995498,3.44330470,0.23966077,0.00000000,1.72840943,2.33844168,0.00342694,1.16773859
-5.90395198,3.40320310,0.23785137,0.00000000,1.65612600,2.32267785,0.00326521,1.15508529
-5.89794897,3.36005626,0.23586392,0.00000000,1.58456064,2.30432190,0.00309395,1.14143921
-5.89194597,3.31408259,0.23372616,0.00000000,1.51382720,2.28356781,0.00291563,1.12681256
-5.88594297,3.26564020,0.23146630,0.00000000,1.44417469,2.26068603,0.00273285,1.11126826
-5.87993997,3.21522363,0.22911353,0.00000000,1.37597166,2.23602398,0.00254828,1.09491961
-5.87393697,3.16345787,0.22669883,0.00000000,1.30968732,2.21000518,0.00236455,1.07792869
-5.86793397,3.11108932,0.22425573,0.00000000,1.24587045,2.18312681,0.00218426,1.06050362
-5.86193097,3.05897370,0.22182108,0.00000000,1.18512690,2.15595515,0.00200982,1.04289461
-5.85592796,3.00806028,0.21943566,0.00000000,1.12809669,2.12911842,0.00184349,1.02538860
-5.84992496,2.95937240,0.21714448,0.00000000,1.07543123,2.10329664,0.00168731,1.00830256
-5.84392196,2.91398392,0.21499682,0.00000000,1.02777122,2.07920826,0.00154305,0.99197536
-5.83791896,2.87299166,0.21304574,0.00000000,0.98572556,2.05759324,0.00141220,0.97675825
-5.83191596,2.83748387,0.21134724,0.00000000,0.94985163,2.03919286,0.00129596,0.96300403
-5.82591296,2.80850530,0.20995886,0.00000000,0.92063693,2.02472622,0.00119523,0.95105518
-5.81990995,2.78701958,0.20893782,0.00000000,0.89848236,2.01486432,0.00111061,0.94123107
-5.81390695,2.77386981,0.20833891,0.00000000,0.88368721,2.01020227,0.00104239,0.93381479
-5.80790395,2.76973901,0.20821188,0.00000000,0.87643587,2.01123068,0.00099059,0.92903992
-5.80190095,2.77511160,0.20859887,0.00000000,0.87678665,2.01830766,0.00095492,0.92707783
-5.79589795,2.79023817,0.20953169,0.00000000,0.88466268,2.03163255,0.00093486,0.92802613
-5.78989495,2.81510505,0.21102933,0.00000000,0.89984546,2.05122310,0.00092963,0.93189873
-5.78389195,2.84941076,0.21309571,0.00000000,0.92197111,2.07689737,0.00093821,0.93861828
-5.77788894,2.89255115,0.21571798,0.00000000,0.95052995,2.10826188,0.00095938,0.94801136
-5.77188594,2.94361458,0.21886537,0.00000000,0.98486962,2.14470702,0.00099174,0.95980704
-5.76588294,3.00138853,0.22248881,0.00000000,1.02420215,2.18541080,0.00103373,0.97363906
-5.75987994,3.06437815,0.22652129,0.00000000,1.06761520,2.22935127,0.00108363,0.98905181
-5.75387694,3.13083701,0.23087908,0.00000000,1.11408763,2.27532794,0.00113965,1.00551026
-5.74787394,3.19880959,0.23546376,0.00000000,1.16250922,2.32199169,0.00119989,1.02241344
-5.74187094,3.26618441,0.24016491,0.00000000,1.21170456,2.36788251,0.00126243,1.03911144
-5.73586793,3.33075609,0.24486351,0.00000000,1.26046035,2.41147365,0.00132535,1.05492504
-5.72986493,3.39029414,0.24943580,0.00000000,1.30755560,2.45122074,0.00138676,1.06916753
-5.72386193,3.44261582,0.25375735,0.00000000,1.35179392,2.48561374,0.00144485,1.08116770
-5.71785893,3.48565994,0.25770734,0.00000000,1.39203655,2.51322952,0.00149793,1.09029314
-5.71185593,3.51755858,0.26117264,0.00000000,1.42723528,2.53278287,0.00154445,1.09597280
-5.70585293,3.53670343,0.26405169,0.00000000,1.45646374,2.54317351,0.00158310,1.09771788
-5.69984992,3.54180380,0.26625782,0.00000000,1.47894597,2.54352698,0.00161274,1.09513996
-5.69384692,3.53193369,0.26772200,0.00000000,1.49408092,2.53322760,0.00163254,1.08796578
-5.68784392,3.50656568,0.26839486,0.00000000,1.50146199,2.51194184,0.00164192,1.07604767
-5.68184092,3.46559029,0.26824798,0.00000000,1.50089062,2.47963114,0.00164060,1.05936948
-5.67583792,3.40931986,0.26727433,0.00000000,1.49238342,2.43655370,0.00162859,1.03804741
-5.66983492,3.33847698,0.26548803,0.00000000,1.47617253,2.38325515,0.00160621,1.01232606
