energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,5.91119396,0.96277619,0.34346716,0.00322577,1.53911459,0.10104270,1.84755592,1.83619672,1.12033046
-5.99399700,5.45548961,0.91363293,0.32584226,0.00296719,1.39445997,0.09122518,1.73507678,1.66717846,1.01778560
-5.98799400,5.02015296,0.86682780,0.30910654,0.00272413,1.25546082,0.08200751,1.62850336,1.50483826,0.91889449
-5.98199100,4.60852376,0.82274758,0.29338053,0.00249850,1.12329087,0.07343257,1.52855454,1.35049748,0.82455690
-5.97598799,4.22322702,0.78169046,0.27875311,0.00229172,0.99890841,0.06552764,1.43575755,1.20523167,0.73551109
-5.96998499,3.86617773,0.74386440,0.26528102,0.00210478,0.88305701,0.05830547,1.35045000,1.06987266,0.65233190
-5.96398199,3.53860879,0.70938846,0.25298938,0.00193820,0.77627380,0.05176561,1.27278755,0.94501897,0.57543476
-5.95797899,3.24111930,0.67829718,0.24187316,0.00179211,0.67890423,0.04589603,1.20275673,0.83105327,0.50508479
-5.95197599,2.97374024,0.65054766,0.23189956,0.00166632,0.59112205,0.04067493,1.14019250,0.72816560,0.44141021
-5.94597299,2.73601375,0.62602917,0.22301128,0.00156035,0.51295328,0.03607264,1.08479976,0.63638072,0.38441899
-5.93996998,2.52708221,0.60457492,0.21513051,0.00147355,0.44430252,0.03205353,1.03617792,0.55558824,0.33401777
-5.93396698,2.34578299,0.58597542,0.20816348,0.00140512,0.38498055,0.02857791,0.99384784,0.48557376,0.29003195
-5.92796398,2.19074485,0.56999299,0.20200546,0.00135425,0.33473150,0.02560380,0.95727991,0.42604977,0.25222601
-5.92196098,2.06048211,0.55637677,0.19654600,0.00132013,0.29325872,0.02308863,0.92592246,0.37668484,0.22032315
-5.91595798,1.95348281,0.54487745,0.19167419,0.00130205,0.26024808,0.02099066,0.89922917,0.33713005,0.19402344
-5.90995498,1.86828761,0.53526130,0.18728370,0.00129949,0.23538792,0.01927030,0.87668459,0.30704162,0.17301992
-5.90395198,1.80355650,0.52732257,0.18327745,0.00131208,0.21838500,0.01789113,0.85782677,0.28609901,0.15701200
-5.89794897,1.75812106,0.52089383,0.17957169,0.00133971,0.20897591,0.01682073,0.84226587,0.27401793,0.14571602
-5.89194597,1.73102029,0.51585369,0.17609925,0.00138251,0.20693373,0.01603126,0.82969826,0.27055798,0.13887261
-5.88594297,1.72151917,0.51213135,0.17281194,0.00144083,0.21206976,0.01549983,0.81991523,0.27552470,0.13625085
