energy_ev,total_up,Bi_p_up,Bi_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,2.69210943,0.27300924,0.00537498,0.86087793,1.37742861,0.01527382,1.51025728
-5.99399700,2.62790217,0.25922347,0.00521845,0.83392991,1.35634961,0.01435246,1.48435590
-5.98799400,2.55726373,0.24465870,0.00505656,0.80448560,1.33238164,0.01340559,1.45484367
-5.98199100,2.48119987,0.22956165,0.00489175,0.77301399,1.30580232,0.01244450,1.42212024
-5.97598799,2.40076434,0.21417721,0.00472640,0.74000504,1.27691693,0.01148061,1.38662292
-5.96998499,2.31704309,0.19874290,0.00456282,0.70595870,1.24605868,0.01052512,1.34882237
-5.96398199,2.23114083,0.18348410,0.00440322,0.67137473,1.21358949,0.00958871,1.30921886
-5.95797899,2.14417021,0.16861032,0.00424970,0.63674392,1.17990104,0.00868123,1.26833904
-5.95197599,2.05724331,0.15431227,0.00410428,0.60254073,1.14541582,0.00781156,1.22673323
-5.94597299,1.97146531,0.14076012,0.00396891,0.56921750,1.11058779,0.00698739,1.18497270
-5.93996998,1.88792966,0.12810262,0.00384552,0.53720019,1.07590226,0.00621518,1.14364697
-5.93396698,1.80771430,0.11646708,0.00373603,0.50688548,1.04187466,0.00550009,1.10336068
-5.92796398,1.73187795,0.10596013,0.00364243,0.47863912,1.00904785,0.00484604,1.06472963
-5.92196098,1.66145598,0.09666908,0.00356677,0.45279504,0.97798765,0.00425580,1.02837586
-5.91595798,1.59745501,0.08866357,0.00351123,0.42965526,0.94927646,0.00373106,0.99492139
-5.90995498,1.54084562,0.08199757,0.00347811,0.40948986,0.92350486,0.00327262,0.96498049
-5.90395198,1.49255291,0.07671131,0.00346981,0.39253711,0.90126112,0.00288056,0.93915040
-5.89794897,1.45344444,0.07283313,0.00348887,0.37900321,0.88311898,0.00255439,0.91800053
-5.89194597,1.42431567,0.07038104,0.00353786,0.36906150,0.86962364,0.00229330,0.90206027
-5.88594297,1.40587300,0.06936394,0.00361934,0.36285110,0.86127673,0.00209627,0.89180571
-5.87993997,1.39871490,0.06978223,0.00373581,0.36047480,0.85852036,0.00196231,0.88764562
-5.87393697,1.40331169,0.07162814,0.00388956,0.36199624,0.86172110,0.00189054,0.88990716
-5.86793397,1.41998484,0.07488531,0.00408259,0.36743651,0.87115435,0.00188039,0.89882188
-5.86193097,1.44888667,0.07952812,0.00431648,0.37677036,0.88698985,0.00193166,0.91451264
-5.85592796,1.48998168,0.08552048,0.00459229,0.38992223,0.90927893,0.00204462,0.93698202
-5.84992496,1.54303043,0.09281443,0.00491038,0.40676245,0.93794428,0.00222007,0.96610299
-5.84392196,1.60757723,0.10134859,0.00527038,0.42710388,0.97277265,0.00245934,1.00161229
-5.83791896,1.68294270,0.11104664,0.00567103,0.45069950,1.01341129,0.00276436,1.04310713
-5.83191596,1.76822204,0.12181603,0.00611016,0.47724107,1.05936824,0.00313757,1.09004572
