energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,0.94281186,0.29215753,0.12358086,0.00048345,0.09783776,0.22667942,0.48523294,0.01645330,0.18016197
-5.99399700,0.98479927,0.31054254,0.12813409,0.00053236,0.09973903,0.23440969,0.51054379,0.01675537,0.18647602
-5.98799400,1.02803166,0.32939749,0.13332761,0.00058268,0.10158924,0.24194527,0.53663152,0.01694981,0.19283891
-5.98199100,1.07168135,0.34845990,0.13903983,0.00063383,0.10329845,0.24909489,0.56306719,0.01703261,0.19908406
-5.97598799,1.11495857,0.36745978,0.14515782,0.00068517,0.10478897,0.25568520,0.58942812,0.01700223,0.20505676
-5.96998499,1.15712199,0.38612307,0.15157971,0.00073601,0.10599613,0.26156321,0.61530277,0.01685960,0.21061709
-5.96398199,1.19748884,0.40417569,0.15821679,0.00078565,0.10686864,0.26659839,0.64029581,0.01660802,0.21564245
-5.95797899,1.23544462,0.42134795,0.16499562,0.00083336,0.10736886,0.27068440,0.66403337,0.01625311,0.22002995
-5.95197599,1.27045233,0.43737938,0.17185985,0.00087845,0.10747272,0.27374052,0.68616853,0.01580249,0.22369827
-5.94597299,1.30206116,0.45202384,0.17877189,0.00092023,0.10716940,0.27571257,0.70638693,0.01526557,0.22658929
-5.93996998,1.32991446,0.46505479,0.18571421,0.00095808,0.10646084,0.27657359,0.72441240,0.01465318,0.22866922
-5.93396698,1.35375663,0.47627062,0.19269032,0.00099144,0.10536108,0.27632394,0.74001257,0.01397718,0.22992923
-5.92796398,1.37343872,0.48549973,0.19972521,0.00101985,0.10389532,0.27499102,0.75300403,0.01325014,0.23038563
-5.92196098,1.38892231,0.49260523,0.20686525,0.00104295,0.10209893,0.27262851,0.76325703,0.01248489,0.23007938
-5.91595798,1.40028118,0.49748906,0.21417741,0.00106050,0.10001621,0.26931506,0.77069926,0.01169416,0.22907510
-5.90995498,1.40770057,0.50009519,0.22174766,0.00107239,0.09769914,0.26515251,0.77531857,0.01089028,0.22745928
-5.90395198,1.41147337,0.50041184,0.22967857,0.00107864,0.09520590,0.26026359,0.77716419,0.01008483,0.22533807
-5.89794897,1.41199322,0.49847245,0.23808614,0.00107939,0.09259936,0.25478901,0.77634632,0.00928843,0.22283419
-5.89194597,1.40974412,0.49435531,0.24709562,0.00107494,0.08994550,0.24888423,0.77303386,0.00851051,0.22008344
-5.88594297,1.40528671,0.48818171,0.25683671,0.00106567,0.08731171,0.24271557,0.76745018,0.00775924,0.21723061
-5.87993997,1.39924119,0.48011276,0.26743798,0.00105210,0.08476516,0.23645610,0.75986675,0.00704138,0.21442497
-5.87393697,1.39226728,0.47034475,0.27902080,0.00103480,0.08237105,0.23028115,0.75059497,0.00636231,0.21181546
-5.86793397,1.38504182,0.45910328,0.29169298,0.00101443,0.08019095,0.22436366,0.73997611,0.00572604,0.20954571
-5.86193097,1.37823448,0.44663639,0.30554234,0.00099168,0.07828124,0.21886939,0.72836986,0.00513528,0.20774916
-5.85592796,1.37248280,0.43320684,0.32063047,0.00096727,0.07669157,0.21395234,0.71614178,0.00459153,0.20654424
-5.84992496,1.36836718,0.41908395,0.33698703,0.00094189,0.07546349,0.20975023,0.70365017,0.00409524,0.20603004
-5.84392196,1.36638720,0.40453532,0.35460487,0.00091620,0.07462933,0.20638050,0.69123287,0.00364590,0.20628249
-5.83791896,1.36694013,0.38981871,0.37343621,0.00089082,0.07421122,0.20393670,0.67919473,0.00324224,0.20735123
-5.83191596,1.37030285,0.37517453,0.39339020,0.00086627,0.07422036,0.20248561,0.66779612,0.00288234,0.20925738
-5.82591296,1.37661806,0.36081922,0.41433199,0.00084299,0.07465668,0.20206512,0.65724322,0.00256379,0.21199226
-5.81990995,1.38588554,0.34693982,0.43608355,0.00082131,0.07550869,0.20268294,0.64768053,0.00228381,0.21551716
-5.81390695,1.39795911,0.33368993,0.45842616,0.00080144,0.07675372,0.20431626,0.63918598,0.00203941,0.21976413
-5.80790395,1.41254960,0.32118729,0.48110475,0.00078348,0.07835845,0.20691234,0.63176899,0.00182746,0.22463790
-5.80190095,1.42923377,0.30951301,0.50383378,0.00076741,0.08027977,0.21039005,0.62537154,0.00164478,0.23001868
-5.79589795,1.44746910,0.29871243,0.52630469,0.00075310,0.08246594,0.21464235,0.61987226,0.00148826,0.23576595
-5.78989495,1.46661381,0.28879760,0.54819451,0.00074034,0.08485798,0.21953954,0.61509344,0.00135487,0.24172294
-5.78389195,1.48595130,0.27975116,0.56917547,0.00072881,0.08739131,0.22493328,0.61081048,0.00124176,0.24772167
-5.77788894,1.50471810,0.27153141,0.58892508,0.00071816,0.08999758,0.23066119,0.60676348,0.00114625,0.25358842
-5.77188594,1.52213411,0.26407824,0.60713656,0.00070797,0.09260655,0.23655192,0.60267037,0.00106590,0.25914929
-5.76588294,1.53743374,0.25731976,0.62352893,0.00069781,0.09514812,0.24243043,0.59824083,0.00099851,0.26423586
-5.75987994,1.54989684,0.25117898,0.63785670,0.00068726,0.09755429,0.24812344,0.59319049,0.00094214,0.26869043
-5.75387694,1.55887793,0.24558055,0.64991858,0.00067590,0.09976112,0.25346482,0.58725459,0.00089510,0.27237098
-5.74787394,1.56383265,0.24045690,0.65956498,0.00066337,0.10171051,0.25830061,0.58020059,0.00085597,0.27515546
-5.74187094,1.56434032,0.23575375,0.66670418,0.00064936,0.10335182,0.26249379,0.57183901,0.00082360,0.27694539
-5.73586793,1.56012178,0.23143453,0.67130678,0.00063364,0.10464333,0.26592837,0.56203215,0.00079706,0.27766857
