energy_ev,total_up,In_p_up,In_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,1.59449853,0.05814513,0.00116831,0.89864985,0.72864070,0.00653507,0.87646612
-5.99399700,1.64558562,0.05947805,0.00124113,0.90377894,0.76507085,0.00676363,0.90308497
-5.98799400,1.69919628,0.06081169,0.00132213,0.90708373,0.80434256,0.00699519,0.93100923
-5.98199100,1.75558502,0.06217004,0.00141170,0.90872798,0.84654512,0.00723107,0.96033796
-5.97598799,1.81508759,0.06358091,0.00151025,0.90897704,0.89177530,0.00747286,0.99122118
-5.96998499,1.87809133,0.06507456,0.00161817,0.90818365,0.94012310,0.00772225,1.02384494
-5.96398199,1.94500051,0.06668231,0.00173578,0.90676996,0.99165600,0.00798097,1.05841367
-5.95797899,2.01619880,0.06843496,0.00186335,0.90520660,1.04640247,0.00825061,1.09513060
-5.95197599,2.09201064,0.07036122,0.00200099,0.90398984,1.10433562,0.00853258,1.13417739
-5.94597299,2.17266349,0.07248615,0.00214865,0.90361795,1.16535800,0.00882796,1.17569385
-5.93996998,2.25825309,0.07482973,0.00230610,0.90456779,1.22928827,0.00913745,1.21975899
-5.93396698,2.34871343,0.07740561,0.00247287,0.90727257,1.29585082,0.00946128,1.26637424
-5.92796398,2.44379301,0.08022003,0.00264824,0.91210184,1.36466866,0.00979919,1.31544973
-5.92196098,2.54303881,0.08327104,0.00283122,0.91934439,1.43526047,0.01015042,1.36679429
-5.91595798,2.64578874,0.08654801,0.00302055,0.92919468,1.50704192,0.01051376,1.42010978
-5.90995498,2.75117310,0.09003142,0.00321468,0.94174333,1.57933146,0.01088751,1.47498994
-5.90395198,2.85812523,0.09369296,0.00341182,0.95697185,1.65136056,0.01126963,1.53092389
-5.89794897,2.96540091,0.09749597,0.00360991,0.97475165,1.72228811,0.01165774,1.58730425
-5.89194597,3.07160595,0.10139609,0.00380673,0.99484741,1.79121848,0.01204928,1.64343950
-5.88594297,3.17523076,0.10534223,0.00399985,1.01692440,1.85722279,0.01244151,1.69857010
-5.87993997,3.27469078,0.10927772,0.00418678,1.04055945,1.91936238,0.01283166,1.75188788
-5.87393697,3.36837125,0.11314166,0.00436494,1.06525514,1.97671403,0.01321699,1.80255794
-5.86793397,3.45467453,0.11687041,0.00453180,1.09045658,2.02839570,0.01359480,1.84974224
-5.86193097,3.53206851,0.12039916,0.00468492,1.11557034,2.07359210,0.01396258,1.89262416
-5.85592796,3.59913439,0.12366358,0.00482200,1.13998460,2.11157926,0.01431791,1.93043318
-5.84992496,3.65461211,0.12660149,0.00494098,1.16309025,2.14174715,0.01465858,1.96246891
-5.84392196,3.69744218,0.12915442,0.00504012,1.18430196,2.16361973,0.01498251,1.98812371
-5.83791896,3.72680249,0.13126920,0.00511801,1.20307873,2.17687180,0.01528773,2.00690320
-5.83191596,3.74213896,0.13289938,0.00517369,1.21894326,2.18134214,0.01557241,2.01844409
-5.82591296,3.74318929,0.13400650,0.00520663,1.23149957,2.17704255,0.01583474,2.02252878
-5.81990995,3.72999900,0.13456121,0.00521682,1.24044818,2.16416257,0.01607295,2.01909627
-5.81390695,3.70292924,0.13454413,0.00520476,1.24559852,2.14306967,0.01628529,2.00824903
-5.80790395,3.66265633,0.13394654,0.00517144,1.24687796,2.11430495,0.01646997,1.99025556
-5.80190095,3.61016274,0.13277072,0.00511842,1.24433717,2.07857444,0.01662523,1.96554851
-5.79589795,3.54671977,0.13103010,0.00504769,1.23815142,2.03673605,0.01674931,1.93471827
-5.78989495,3.47386225,0.12874910,0.00496174,1.22861783,1.98978263,0.01684057,1.89850201
-5.78389195,3.39335572,0.12596267,0.00486344,1.21614822,1.93882125,0.01689748,1.85776842
-5.77788894,3.30715687,0.12271555,0.00475600,1.20125791,1.88504933,0.01691879,1.81349839
-5.77188594,3.21736794,0.11906134,0.00464288,1.18455054,1.82972797,0.01690364,1.76676197
-5.76588294,3.12618636,0.11506125,0.00452774,1.16669929,1.77415316,0.01685160,1.71869219
-5.75987994,3.03585049,0.11078271,0.00441430,1.14842508,1.71962537,0.01676290,1.67045630
-5.75387694,2.94858312,0.10629780,0.00430628,1.13047241,1.66741833,0.01663847,1.62322527
-5.74787394,2.86653398,0.10168155,0.00420727,1.11358359,1.61874775,0.01648005,1.57814228
-5.74187094,2.79172280,0.09701021,0.00412064,1.09847226,1.57474072,0.01629031,1.53629125
-5.73586793,2.72598466,0.09235947,0.00404946,1.08579721,1.53640662,0.01607280,1.49866625
-5.72986493,2.67091916,0.08780271,0.00399640,1.07613752,1.50461044,0.01583202,1.46614284
-5.72386193,2.62784494,0.08340935,0.00396362,1.06996984,1.48004927,0.01557332,1.43945233
-5.71785893,2.59776111,0.07924334,0.00395273,1.06764897,1.46323271,0.01530284,1.41915982
-5.71185593,2.58131685,0.07536174,0.00396476,1.06939239,1.45446793,0.01502730,1.40564681
-5.70585293,2.57879028,0.07181358,0.00400006,1.07526948,1.45384985,0.01475386,1.39909908
-5.69984992,2.59007746,0.06863886,0.00405831,1.08519595,1.46125699,0.01448985,1.39950030
-5.69384692,2.61469194,0.06586785,0.00413854,1.09893378,1.47635310,0.01424252,1.40663168
-5.68784392,2.65177518,0.06352060,0.00423910,1.11609671,1.49859476,0.01401875,1.42007763
-5.68184092,2.70011741,0.06160670,0.00435774,1.13616106,1.52724469,0.01382475,1.43923747
-5.67583792,2.75818861,0.06012529,0.00449165,1.15848167,1.56139050,0.01366578,1.46334251
-5.66983492,2.82417853,0.05906530,0.00463750,1.18231208,1.59996830,0.01354591,1.49147821
-5.66383192,2.89604453,0.05840597,0.00479160,1.20682843,1.64179050,0.01346774,1.52261046
-5.65782891,2.97156582,0.05811749,0.00494991,1.23115594,1.68557690,0.01343228,1.55561509
