energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up
-6.00000000,0.87742982,0.01398547,0.07901338,0.32243866,0.12322946,0.36249259,0.10514133,0.00326919,0.38685203
-5.99399700,0.85198843,0.01333949,0.07719981,0.31468602,0.11896308,0.35022420,0.10338767,0.00342040,0.37536194
-5.98799400,0.82628385,0.01268850,0.07531695,0.30672394,0.11457880,0.33761294,0.10187983,0.00361930,0.36377350
-5.98199100,0.80123114,0.01205421,0.07341859,0.29880612,0.11019976,0.32501434,0.10077681,0.00387752,0.35250400
-5.97598799,0.77772921,0.01145907,0.07155308,0.29116905,0.10594592,0.31277385,0.10024294,0.00420789,0.34196560
-5.96998499,0.75664324,0.01092593,0.06976183,0.28402585,0.10193144,0.30121934,0.10044590,0.00462441,0.33255760
-5.96398199,0.73879005,0.01047773,0.06807824,0.27756176,0.09826254,0.29065499,0.10155480,0.00514221,0.32465984
-5.95797899,0.72492655,0.01013725,0.06652709,0.27193117,0.09503584,0.28135661,0.10373833,0.00577742,0.31862756
-5.95197599,0.71574138,0.00992684,0.06512433,0.26725626,0.09233718,0.27356864,0.10716281,0.00654700,0.31478755
-5.94597299,0.71184930,0.00986807,0.06387735,0.26362725,0.09024089,0.26750242,0.11199023,0.00746852,0.31343538
-5.93996998,0.71378789,0.00998153,0.06278563,0.26110400,0.08880957,0.26333582,0.11837594,0.00855983,0.31483371
-5.93396698,0.72201592,0.01028646,0.06184178,0.25971876,0.08809401,0.26121389,0.12646619,0.00983868,0.31921120
-5.92796398,0.73691267,0.01080046,0.06103280,0.25947981,0.08813354,0.26125015,0.13639520,0.01132220,0.32676179
-5.92196098,0.75877748,0.01153909,0.06034151,0.26037549,0.08895630,0.26352839,0.14828183,0.01302632,0.33764405
-5.91595798,0.78782884,0.01251544,0.05974816,0.26237856,0.09057971,0.26810445,0.16222579,0.01496515,0.35198029
-5.90995498,0.82420255,0.01373973,0.05923194,0.26545025,0.09301073,0.27500788,0.17830351,0.01715022,0.36985524
-5.90395198,0.86794847,0.01521875,0.05877244,0.26954392,0.09624610,0.28424317,0.19656366,0.01958969,0.39131406
-5.89794897,0.91902591,0.01695542,0.05835096,0.27460803,0.10027231,0.29579038,0.21702244,0.02228761,0.41635981
-5.89194597,0.97729766,0.01894824,0.05795158,0.28058821,0.10506549,0.30960515,0.23965902,0.02524310,0.44495029
-5.88594297,1.04252301,0.02119083,0.05756193,0.28742845,0.11059105,0.32561808,0.26441117,0.02844967,0.47699447
-5.87993997,1.11435046,0.02367149,0.05717369,0.29507130,0.11680322,0.34373353,0.29117149,0.03189455,0.51234885
-5.87393697,1.19231085,0.02637286,0.05678275,0.30345722,0.12364466,0.36382819,0.31978452,0.03555826,0.55081403
-5.86793397,1.27581172,0.02927174,0.05638913,0.31252327,0.13104597,0.38574938,0.35004494,0.03941427,0.59213184
-5.86193097,1.36413399,0.03233898,0.05599656,0.32220118,0.13892551,0.40931364,0.38169726,0.04342896,0.63598362
-5.85592796,1.45643177,0.03553967,0.05561185,0.33241529,0.14718941,0.43430573,0.41443715,0.04756178,0.68198981
-5.84992496,1.55173605,0.03883342,0.05524416,0.34308038,0.15573195,0.46047832,0.44791452,0.05176569,0.72971143
-5.84392196,1.64896302,0.04217496,0.05490403,0.35409976,0.16443648,0.48755271,0.48173858,0.05598792,0.77865347
-5.83791896,1.74692716,0.04551490,0.05460241,0.36536391,0.17317674,0.51522068,0.51548463,0.06017093,0.82827054
-5.83191596,1.84435933,0.04880074,0.05434977,0.37674968,0.18181876,0.54314763,0.54870257,0.06425375,0.87797466
-5.82591296,1.93992936,0.05197803,0.05415510,0.38812039,0.19022329,0.57097694,0.58092695,0.06817337,0.92714508
-5.81990995,2.03227281,0.05499178,0.05402515,0.39932667,0.19824860,0.59833570,0.61168806,0.07186647,0.97513990
-5.81390695,2.12002071,0.05778784,0.05396377,0.41020839,0.20575377,0.62484134,0.64052372,0.07527110,1.02130916
-5.80790395,2.20183139,0.06031448,0.05397142,0.42059717,0.21260214,0.65010925,0.66699135,0.07832855,1.06500871
-5.80190095,2.27642298,0.06252386,0.05404484,0.43031985,0.21866487,0.67376093,0.69067971,0.08098506,1.10561461
-5.79589795,2.34260526,0.06437348,0.05417696,0.43920233,0.22382447,0.69543236,0.71121992,0.08319346,1.14253723
-5.78989495,2.39930950,0.06582750,0.05435701,0.44707397,0.22797813,0.71478230,0.72829517,0.08491462,1.17523471
-5.78389195,2.44561499,0.06685781,0.05457073,0.45377199,0.23104061,0.73150015,0.74164886,0.08611866,1.20322505
-5.77788894,2.48077122,0.06744493,0.05480083,0.45914602,0.23294666,0.74531313,0.75109065,0.08678582,1.22609654
-5.77188594,2.50421490,0.06757859,0.05502758,0.46306235,0.23365285,0.75599238,0.75650047,0.08690700,1.24351622
-5.76588294,2.51558121,0.06725795,0.05522945,0.46540779,0.23313861,0.76335798,0.75783009,0.08648393,1.25523596
-5.75987994,2.51470904,0.06649156,0.05538393,0.46609307,0.23140665,0.76728255,0.75510252,0.08552896,1.26109631
-5.75387694,2.50164043,0.06529700,0.05546834,0.46505564,0.22848247,0.76769357,0.74840919,0.08406456,1.26102801
-5.74787394,2.47661432,0.06370014,0.05546067,0.46226168,0.22441332,0.76457423,0.73790531,0.08212235,1.25505122
-5.74187094,2.44005549,0.06173427,0.05534045,0.45770754,0.21926645,0.75796304,0.72380345,0.07974203,1.24327286
-5.73586793,2.39255916,0.05943885,0.05508954,0.45142034,0.21312677,0.74795221,0.70636606,0.07696999,1.22588223
-5.72986493,2.33487241,0.05685826,0.05469292,0.44345799,0.20609421,0.73468491,0.68589698,0.07385778,1.20314515
-5.72386193,2.26787308,0.05404032,0.05413930,0.43390846,0.19828065,0.71835171,0.66273253,0.07046053,1.17539701
-5.71785893,2.19254733,0.05103484,0.05342173,0.42288846,0.18980679,0.69918616,0.63723252,0.06683534,1.14303506
-5.71185593,2.10996644,0.04789219,0.05253794,0.41054157,0.18079898,0.67745988,0.60977147,0.06303973,1.10651001
-5.70585293,2.02126374,0.04466193,0.05149066,0.39703584,0.17138608,0.65347704,0.58073034,0.05913019,1.06631737
-5.69984992,1.92761216,0.04139156,0.05028771,0.38256089,0.16169659,0.62756863,0.55048898,0.05516092,1.02298850
-5.69384692,1.83020298,0.03812550,0.04894190,0.36732457,0.15185601,0.60008642,0.51941948,0.05118271,0.97708164
-5.68784392,1.73022583,0.03490419,0.04747079,0.35154924,0.14198451,0.57139674,0.48788040,0.04724208,0.92917289
-5.68184092,1.62885036,0.03176342,0.04589628,0.33546763,0.13219502,0.54187419,0.45621202,0.04338060,0.87984726
-5.67583792,1.52720961,0.02873392,0.04424403,0.31931846,0.12259163,0.51189538,0.42473255,0.03963451,0.82968979
-5.66983492,1.42638495,0.02584113,0.04254271,0.30334170,0.11326844,0.48183260,0.39373518,0.03603444,0.77927692
-5.66383192,1.32739278,0.02310514,0.04082315,0.28777369,0.10430867,0.45204770,0.36348599,0.03260540,0.72916795
-5.65782891,1.23117287,0.02054085,0.03911739,0.27284212,0.09578420,0.42288618,0.33422254,0.02936694,0.67989699
-5.65182591,1.13857833,0.01815823,0.03745768,0.25876098,0.08775527,0.39467154,0.30615317,0.02633340,0.63196523
-5.64582291,1.05036732,0.01596276,0.03587542,0.24572565,0.08027057,0.36770009,0.27945679,0.02351428,0.58583393
-5.63981991,0.96719651,0.01395590,0.03440014,0.23390818,0.07336745,0.34223638,0.25428323,0.02091471,0.54191816
-5.63381691,0.88961643,0.01213562,0.03305848,0.22345302,0.06707234,0.31850921,0.23075404,0.01853598,0.50058159
-5.62781391,0.81806884,0.01049698,0.03187335,0.21447325,0.06140135,0.29670855,0.20896367,0.01637601,0.46213240
-5.62181091,0.75288625,0.00903272,0.03086309,0.20704749,0.05636098,0.27698343,0.18898113,0.01442999,0.42682061
-5.61580790,0.69429369,0.00773379,0.03004089,0.20121769,0.05194896,0.25944083,0.17085194,0.01269078,0.39483693
-5.60980490,0.64241283,0.00658988,0.02941432,0.19698786,0.04815515,0.24414574,0.15460057,0.01114952,0.36631323
-5.60380190,0.59726853,0.00558989,0.02898509,0.19432388,0.04496262,0.23112245,0.14023306,0.00979605,0.34132465
-5.59779890,0.55879758,0.00472238,0.02874900,0.19315445,0.04234874,0.22035695,0.12774010,0.00861933,0.31989342
-5.59179590,0.52685968,0.00397588,0.02869610,0.19337314,0.04028637,0.21180049,0.11710024,0.00760784,0.30199415
-5.58579290,0.50125025,0.00333924,0.02881112,0.19484172,0.03874508,0.20537424,0.10828333,0.00674990,0.28756052
-5.57978989,0.48171474,0.00280187,0.02907395,0.19739442,0.03769245,0.20097471,0.10125404,0.00603400,0.27649316
-5.57378689,0.46796402,0.00235391,0.02946048,0.20084324,0.03709535,0.19848002,0.09597529,0.00544901,0.26866821
-5.56778389,0.45969018,0.00198642,0.02994341,0.20498406,0.03692119,0.19775650,0.09241158,0.00498441,0.26394649
-5.56178089,0.45658224,0.00169146,0.03049330,0.20960330,0.03713914,0.19866549,0.09053196,0.00463042,0.26218255
-5.55577789,0.45834099,0.00146218,0.03107957,0.21448498,0.03772125,0.20107011,0.09031262,0.00437816,0.26323342
-5.54977489,0.46469239,0.00129287,0.03167165,0.21941782,0.03864343,0.20484153,0.09173876,0.00421972,0.26696650
-5.54377189,0.47539875,0.00117896,0.03224001,0.22420221,0.03988622,0.20986451,0.09480586,0.00414816,0.27326622
-5.53776888,0.49026726,0.00111708,0.03275718,0.22865666,0.04143538,0.21604201,0.09952006,0.00415759,0.28203908
-5.53176588,0.50915518,0.00110500,0.03319865,0.23262350,0.04328220,0.22329852,0.10589759,0.00424306,0.29321671
-5.52576288,0.53197148,0.00114167,0.03354364,0.23597367,0.04542354,0.23158194,0.11396326,0.00440057,0.30675690
-5.51975988,0.55867473,0.00122720,0.03377571,0.23861026,0.04786155,0.24086389,0.12374801,0.00462691,0.32264224
-5.51375688,0.58926709,0.00136283,0.03388317,0.24047075,0.05060313,0.25113846,0.13528544,0.00491959,0.34087656
-5.50775388,0.62378473,0.00155095,0.03385931,0.24152793,0.05365906,0.26241933,0.14860766,0.00527667,0.36147912
-5.50175088,0.66228500,0.00179508,0.03370240,0.24178930,0.05704288,0.27473539,0.16374028,0.00569662,0.38447697
-5.49574787,0.70483097,0.00209988,0.03341554,0.24129515,0.06076962,0.28812518,0.18069710,0.00617818,0.40989566
-5.48974487,0.75147404,0.00247117,0.03300629,0.24011546,0.06485432,0.30263027,0.19947442,0.00672015,0.43774889
-5.48374187,0.80223568,0.00291591,0.03248620,0.23834565,0.06931047,0.31828806,0.22004546,0.00732126,0.46802757
-5.47773887,0.85708902,0.00344221,0.03187015,0.23610151,0.07414850,0.33512433,0.24235508,0.00798005,0.50068895
-5.47173587,0.91594172,0.00405940,0.03117567,0.23351363,0.07937432,0.35314593,0.26631515,0.00869471,0.53564646
-5.46573287,0.97862076,0.00477792,0.03042217,0.23072144,0.08498805,0.37233414,0.29180082,0.00946299,0.57276084
-5.45972986,1.04486042,0.00560939,0.02963016,0.22786724,0.09098297,0.39263907,0.31864797,0.01028215,0.61183323
-5.45372686,1.11429406,0.00656654,0.02882052,0.22509055,0.09734477,0.41397532,0.34665210,0.01114889,0.65260061
-5.44772386,1.18645046,0.00766310,0.02801374,0.22252285,0.10405124,0.43621947,0.37556875,0.01205939,0.69473416
-5.44172086,1.26075497,0.00891375,0.02722935,0.22028304,0.11107218,0.45920930,0.40511557,0.01300924,0.73784056
-5.43571786,1.33653571,0.01033386,0.02648533,0.21847375,0.11836983,0.48274503,0.43497611,0.01399356,0.78146651
-5.42971486,1.41303461,0.01193934,0.02579771,0.21717849,0.12589956,0.50659246,0.46480514,0.01500702,0.82510627
-5.42371186,1.48942277,0.01374626,0.02518020,0.21645982,0.13361090,0.53048799,0.49423541,0.01604388,0.86821208
-5.41770885,1.56481959,0.01577054,0.02464397,0.21635840,0.14144885,0.55414506,0.52288564,0.01709811,0.91020685
-5.41170585,1.63831467,0.01802738,0.02419753,0.21689286,0.14935522,0.57726197,0.55036939,0.01816339,0.95049880
-5.40570285,1.70899137,0.02053079,0.02384665,0.21806051,0.15727019,0.59953045,0.57630445,0.01923321,0.98849727
-5.39969985,1.77595104,0.02329291,0.02359441,0.21983860,0.16513370,0.62064466,0.60032246,0.02030086,1.02362897
