energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,8.60110084,-6.54180611,0.08164020,-0.04677729,0.28469433,-0.13499338,1.73960013,-1.20835849,0.41259763,-0.40185618,1.70901275,-1.07314858,0.72915992,-0.22482028,0.19119320,-0.18344480,4.48248878,-3.71073128
-5.99399700,8.60699214,-6.57033989,0.08269202,-0.04518456,0.28786316,-0.13849971,1.76826275,-1.24674840,0.40852375,-0.40061437,1.71170565,-1.07845689,0.73388852,-0.22778004,0.18913546,-0.18345172,4.48459793,-3.72812526
-5.98799400,8.58904198,-6.59800084,0.08364609,-0.04370289,0.29009294,-0.14198830,1.79080717,-1.28637837,0.40396306,-0.39868983,1.70851720,-1.08505626,0.73630986,-0.23067414,0.18674225,-0.18311674,4.47416790,-3.74543731
-5.98199100,8.54532561,-6.62656915,0.08445628,-0.04236674,0.29130248,-0.14547293,1.80653949,-1.32724458,0.39884680,-0.39624346,1.69915753,-1.09325571,0.73624357,-0.23356860,0.18399988,-0.18251395,4.45020125,-3.76366659
-5.97598799,8.47450974,-6.65774794,0.08507995,-0.04120732,0.29143588,-0.14896927,1.81493220,-1.36933686,0.39311827,-0.39344005,1.68348640,-1.10330226,0.73356212,-0.23653158,0.18089986,-0.18172050,4.41200843,-3.78375963
-5.96998499,8.37592332,-6.69309396,0.08547931,-0.04025223,0.29046441,-0.15249371,1.81564536,-1.41262960,0.38673737,-0.39044264,1.66152171,-1.11536854,0.72819672,-0.23963061,0.17744011,-0.18081379,4.35924539,-3.80657101
-5.96398199,8.24960051,-6.73394710,0.08562258,-0.03952493,0.28838741,-0.15606204,1.80854022,-1.45707092,0.37968432,-0.38740688,1.63344144,-1.12954210,0.72014082,-0.24292959,0.17362566,-0.17986857,4.29193684,-3.83282349
-5.95797899,8.09629402,-6.78136198,0.08548482,-0.03904442,0.28523183,-0.15968783,1.79368503,-1.50257084,0.37196231,-0.38447549,1.59957907,-1.14581726,0.70945100,-0.24648557,0.16946904,-0.17895413,4.21048424,-3.86306961
-5.95197599,7.91745840,-6.83604546,0.08504847,-0.03882491,0.28105075,-0.16338090,1.77135268,-1.54898933,0.36359897,-0.38177319,1.56041268,-1.16408984,0.69624551,-0.25034563,0.16499024,-0.17813163,4.11565807,-3.89765691
-5.94597299,7.71520490,-6.89830392,0.08430358,-0.03887555,0.27592080,-0.16714570,1.74201046,-1.59612547,0.35464661,-0.37940232,1.51654847,-1.18415537,0.68070025,-0.25454391,0.16021618,-0.17745184,4.00857530,-3.93669894
