energy_ev,total_up,total_down,Al_p_up,Al_p_down,Al_d_up,Al_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.60380190,1.15167872,-1.15167872,0.04524983,-0.04524983,0.00000000,-0.00000000,0.44988875,-0.44988874,0.21951557,-0.21951557,0.00875860,-0.00875860,0.75107166,-0.75107166
-5.59779890,1.18177420,-1.18177420,0.04875254,-0.04875254,0.00000000,-0.00000000,0.45213680,-0.45213680,0.23268686,-0.23268686,0.00937914,-0.00937914,0.76014041,-0.76014041
-5.59179590,1.21769391,-1.21769391,0.05271301,-0.05271301,0.00000000,-0.00000000,0.45693386,-0.45693386,0.24819798,-0.24819798,0.01012137,-0.01012137,0.77193124,-0.77193124
-5.58579290,1.25910026,-1.25910025,0.05709565,-0.05709565,0.00000000,-0.00000000,0.46422918,-0.46422918,0.26591294,-0.26591294,0.01097544,-0.01097544,0.78633400,-0.78633399
-5.57978989,1.30551759,-1.30551759,0.06185367,-0.06185367,0.00000000,-0.00000000,0.47390957,-0.47390957,0.28565038,-0.28565038,0.01192946,-0.01192946,0.80316991,-0.80316991
-5.57378689,1.35633024,-1.35633024,0.06692929,-0.06692929,0.00000000,-0.00000000,0.48580009,-0.48580009,0.30718305,-0.30718305,0.01296944,-0.01296944,0.82218966,-0.82218966
-5.56778389,1.41078483,-1.41078483,0.07225429,-0.07225429,0.00000000,-0.00000000,0.49966609,-0.49966609,0.33023871,-0.33023871,0.01407945,-0.01407945,0.84307352,-0.84307352
-5.56178089,1.46799757,-1.46799756,0.07775089,-0.07775089,0.00000000,-0.00000000,0.51521678,-0.51521678,0.35450262,-0.35450262,0.01524176,-0.01524176,0.86543396,-0.86543396
-5.55577789,1.52696677,-1.52696677,0.08333309,-0.08333309,0.00000000,-0.00000000,0.53211034,-0.53211033,0.37962169,-0.37962169,0.01643711,-0.01643711,0.88882083,-0.88882083
-5.54977489,1.58659085,-1.58659085,0.08890840,-0.08890840,0.00000000,-0.00000000,0.54996065,-0.54996065,0.40521048,-0.40521048,0.01764503,-0.01764503,0.91272941,-0.91272941
-5.54377189,1.64569164,-1.64569164,0.09437990,-0.09437990,0.00000000,-0.00000000,0.56834562,-0.56834562,0.43085887,-0.43085887,0.01884429,-0.01884429,0.93661125,-0.93661125
-5.53776888,1.70304257,-1.70304257,0.09964857,-0.09964857,0.00000000,-0.00000000,0.58681692,-0.58681692,0.45614146,-0.45614146,0.02001335,-0.02001335,0.95988767,-0.95988767
-5.53176588,1.75740117,-1.75740117,0.10461594,-0.10461594,0.00000000,-0.00000000,0.60491110,-0.60491110,0.48062832,-0.48062833,0.02113095,-0.02113095,0.98196558,-0.98196558
-5.52576288,1.80754465,-1.80754465,0.10918681,-0.10918681,0.00000000,-0.00000000,0.62216175,-0.62216175,0.50389691,-0.50389691,0.02217665,-0.02217665,1.00225527,-1.00225527
-5.51975988,1.85230761,-1.85230761,0.11327205,-0.11327205,0.00000000,-0.00000000,0.63811233,-0.63811233,0.52554459,-0.52554459,0.02313152,-0.02313152,1.02018943,-1.02018943
-5.51375688,1.89062016,-1.89062017,0.11679132,-0.11679132,0.00000000,-0.00000000,0.65232944,-0.65232944,0.54520153,-0.54520153,0.02397864,-0.02397864,1.03524283,-1.03524283
-5.50775388,1.92154519,-1.92154519,0.11967560,-0.11967560,0.00000000,-0.00000000,0.66441591,-0.66441591,0.56254318,-0.56254318,0.02470375,-0.02470375,1.04695168,-1.04695169
-5.50175088,1.94431282,-1.94431282,0.12186946,-0.12186946,0.00000000,-0.00000000,0.67402334,-0.67402334,0.57730197,-0.57730197,0.02529570,-0.02529570,1.05493204,-1.05493204
-5.49574787,1.95835090,-1.95835091,0.12333294,-0.12333294,0.00000000,-0.00000000,0.68086352,-0.68086352,0.58927768,-0.58927769,0.02574690,-0.02574690,1.05889619,-1.05889619
-5.48974487,1.96330974,-1.96330974,0.12404294,-0.12404294,0.00000000,-0.00000000,0.68471845,-0.68471845,0.59834588,-0.59834588,0.02605356,-0.02605356,1.05866648,-1.05866649
-5.48374187,1.95908008,-1.95908008,0.12399408,-0.12399408,0.00000000,-0.00000000,0.68544821,-0.68544821,0.60446407,-0.60446407,0.02621591,-0.02621591,1.05418564,-1.05418564
-5.47773887,1.94580339,-1.94580339,0.12319901,-0.12319901,0.00000000,-0.00000000,0.68299673,-0.68299673,0.60767524,-0.60767524,0.02623820,-0.02623820,1.04552324,-1.04552324
