energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,3.03046605,0.01423735,0.17175608,1.40014321,0.20565795,0.03474578,1.55955092,0.34460326,0.27179575
-5.99399700,2.98800180,0.01288146,0.16812513,1.39120514,0.20560470,0.03269069,1.53941002,0.33997053,0.26804891
-5.98799400,2.95197504,0.01167188,0.16444702,1.38422093,0.20573560,0.03083091,1.52319562,0.33581373,0.26484731
-5.98199100,2.92003585,0.01059931,0.16065546,1.37816049,0.20592568,0.02914761,1.50960022,0.33184378,0.26199524
-5.97598799,2.89009485,0.00965454,0.15669903,1.37209047,0.20606501,0.02762434,1.49745120,0.32781663,0.25931529
-5.96998499,2.86035465,0.00882869,0.15254221,1.36519187,0.20606116,0.02624735,1.48572833,0.32353710,0.25665075
-5.96398199,2.82933106,0.00811348,0.14816604,1.35677269,0.20584104,0.02500598,1.47357570,0.31886117,0.25386736
-5.95797899,2.79586468,0.00750138,0.14356815,1.34627579,0.20535226,0.02389279,1.46030866,0.31369676,0.25085448
-5.95197599,2.75912376,0.00698581,0.13876241,1.33328225,0.20456392,0.02290376,1.44541614,0.30800310,0.24752558
-5.94597299,2.71859921,0.00656122,0.13377807,1.31751081,0.20346682,0.02203832,1.42855875,0.30178882,0.24381830
-5.93996998,2.67409283,0.00622314,0.12865866,1.29881374,0.20207330,0.02129933,1.40956327,0.29510893,0.23969407
-5.93396698,2.62569971,0.00596823,0.12346052,1.27716988,0.20041645,0.02069298,1.38841407,0.28806082,0.23513734
-5.92796398,2.57378587,0.00579421,0.11825121,1.25267525,0.19854902,0.02022857,1.36524182,0.28077948,0.23015453
-5.92196098,2.51896189,0.00569983,0.11310773,1.22553173,0.19654186,0.01991826,1.34031000,0.27343214,0.22477279
-5.91595798,2.46205337,0.00568476,0.10811467,1.19603443,0.19448192,0.01977669,1.31399961,0.26621248,0.21903849
-5.90995498,2.40406887,0.00574943,0.10336240,1.16455779,0.19246996,0.01982051,1.28679229,0.25933455,0.21301553
-5.90395198,2.34616581,0.00589487,0.09894529,1.13154111,0.19061789,0.02006789,1.25925218,0.25302662,0.20678356
-5.89794897,2.28961486,0.00612249,0.09495994,1.09747350,0.18904578,0.02053786,1.23200681,0.24752509,0.20043600
-5.89194597,2.23576322,0.00643391,0.09150353,1.06287850,0.18787862,0.02124963,1.20572717,0.24306851,0.19407794
-5.88594297,2.18599720,0.00683069,0.08867235,1.02829876,0.18724284,0.02222186,1.18110715,0.23989196,0.18782392
-5.87993997,2.14170465,0.00731408,0.08656035,0.99428073,0.18726270,0.02347186,1.15884292,0.23822178,0.18179559
-5.87393697,2.10423788,0.00788488,0.08525786,0.96135977,0.18805659,0.02501472,1.13961225,0.23827090,0.17611927
-5.86793397,2.07487756,0.00854313,0.08485041,0.93004585,0.18973337,0.02686255,1.12405446,0.24023472,0.17092346
-5.86193097,2.05479878,0.00928802,0.08541775,0.90081025,0.19238885,0.02902361,1.11275151,0.24428775,0.16633628
