energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.71416102,0.00244939,0.06454964,0.65981600,0.14203914,0.01025478,1.12453459,0.68954329,0.28680103
-5.99399700,1.71632608,0.00254563,0.05990897,0.64566953,0.14513995,0.01065137,1.13514025,0.69605742,0.28906351
-5.98799400,1.73469687,0.00265751,0.05597213,0.63736002,0.14963725,0.01116147,1.15624595,0.70876487,0.29403235
-5.98199100,1.76874967,0.00278213,0.05273283,0.63471207,0.15548777,0.01178129,1.18748517,0.72742539,0.30161894
-5.97598799,1.81762490,0.00291639,0.05017137,0.63742198,0.16261852,0.01250568,1.22827076,0.75166319,0.31167863
-5.96998499,1.88014972,0.00305706,0.04825606,0.64506982,0.17092815,0.01332821,1.27780859,0.78097631,0.32401364
-5.96398199,1.95486627,0.00320085,0.04694485,0.65713353,0.18028895,0.01424117,1.33511515,0.81474839,0.33837691
-5.95797899,2.04006492,0.00334442,0.04618701,0.67300464,0.19054926,0.01523556,1.39903856,0.85226260,0.35447695
-5.95197599,2.13382153,0.00348452,0.04592481,0.69200508,0.20153643,0.01630120,1.46828269,0.89271752,0.37198352
-5.94597299,2.23403831,0.00361796,0.04609516,0.71340469,0.21306011,0.01742671,1.54143382,0.93524449,0.39053412
-5.93996998,2.33848726,0.00374173,0.04663129,0.73643904,0.22491598,0.01859960,1.61698939,0.97892621,0.40974112
-5.93396698,2.44485561,0.00385304,0.04746421,0.76032725,0.23688974,0.01980631,1.69338844,1.02281622,0.42919948
-5.92796398,2.55079253,0.00394939,0.04852417,0.78428937,0.24876129,0.02103229,1.76904305,1.06595886,0.44849486
-5.92196098,2.65395630,0.00402858,0.04974203,0.80756322,0.26030922,0.02226217,1.84237049,1.10740943,0.46721211
-5.91595798,2.75206115,0.00408879,0.05105042,0.82942024,0.27131519,0.02347982,1.91182532,1.14625407,0.48494383
-5.90995498,2.84292306,0.00412860,0.05238488,0.84918030,0.28156846,0.02466859,1.97593087,1.18162909,0.50129898
-5.90395198,2.92450348,0.00414699,0.05368486,0.86622499,0.29087023,0.02581150,2.03330953,1.21273913,0.51591119
-5.89794897,2.99495018,0.00414342,0.05489456,0.88000951,0.29903779,0.02689147,2.08271113,1.23887402,0.52844675
-5.89194597,3.05263438,0.00411773,0.05596377,0.89007260,0.30590834,0.02789162,2.12303879,1.25942363,0.53861189
-5.88594297,3.09618311,0.00407024,0.05684840,0.89604463,0.31134247,0.02879559,2.15337150,1.27389065,0.54615930
-5.87993997,3.12450611,0.00400167,0.05751108,0.89765350,0.31522703,0.02958784,2.17298293,1.28190065,0.55089353
-5.87393697,3.13681644,0.00391312,0.05792152,0.89472831,0.31747748,0.03025406,2.18135588,1.28320935,0.55267529
-5.86793397,3.13264432,0.00380605,0.05805675,0.88720075,0.31803957,0.03078146,2.17819193,1.27770678,0.55142427
-5.86193097,3.11184342,0.00368224,0.05790120,0.87510410,0.31689027,0.03115917,2.16341590,1.26541825,0.54712060
-5.85592796,3.07458979,0.00354375,0.05744674,0.85856995,0.31403800,0.03137852,2.13717510,1.24650201,0.53980460
-5.84992496,3.02137296,0.00339282,0.05669242,0.83782260,0.30952207,0.03143338,2.09983311,1.22124376,0.52957518
-5.84392196,2.95297973,0.00323190,0.05564418,0.81317158,0.30341137,0.03132031,2.05195846,1.19004807,0.51658650
-5.83791896,2.87047082,0.00306352,0.05431440,0.78500208,0.29580241,0.03103879,1.99430839,1.15342701,0.50104341
-5.83191596,2.77515127,0.00289028,0.05272131,0.75376404,0.28681663,0.03059129,1.92780817,1.11198640,0.48319541
