energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,0.94533807,0.26013785,0.39740825,0.00152639,0.04846413,0.16673976,0.28372290,0.19493332,0.00000000
-5.99399700,0.96870362,0.27656048,0.40507256,0.00145164,0.04891680,0.17024705,0.28900375,0.20550146,0.00000000
-5.98799400,0.99893330,0.29580583,0.41568003,0.00139399,0.04998449,0.17464440,0.29571096,0.21787937,0.00000000
-5.98199100,1.03549391,0.31776675,0.42889126,0.00135244,0.05164709,0.17979581,0.30381930,0.23192909,0.00000000
-5.97598799,1.07776940,0.34230392,0.44434348,0.00132594,0.05387763,0.18555114,0.31327877,0.24748449,0.00000000
-5.96998499,1.12507072,0.36924535,0.46165602,0.00131336,0.05664285,0.19174968,0.32401631,0.26435292,0.00000000
-5.96398199,1.17664707,0.39838595,0.48043626,0.00131352,0.05990380,0.19822409,0.33593827,0.28231734,0.00000000
-5.95797899,1.23169826,0.42948767,0.50028586,0.00132514,0.06361620,0.20480449,0.34893318,0.30113874,0.00000000
-5.95197599,1.28938805,0.46227995,0.52080725,0.00134684,0.06773090,0.21132266,0.36287502,0.32055908,0.00000000
-5.94597299,1.34885835,0.49646094,0.54161020,0.00137716,0.07219413,0.21761624,0.37762680,0.34030465,0.00000000
-5.93996998,1.40924410,0.53169951,0.56231846,0.00141456,0.07694784,0.22353273,0.39304437,0.36008998,0.00000000
-5.93396698,1.46968861,0.56763813,0.58257631,0.00145744,0.08192997,0.22893319,0.40898043,0.37962218,0.00000000
-5.92796398,1.52935911,0.60389691,0.60205474,0.00150418,0.08707484,0.23369557,0.42528859,0.39860583,0.00000000
-5.92196098,1.58746229,0.64007857,0.62045735,0.00155315,0.09231357,0.23771750,0.44182740,0.41674819,0.00000000
-5.91595798,1.64325938,0.67577460,0.63752557,0.00160273,0.09757463,0.24091852,0.45846421,0.43376490,0.00000000
-5.90995498,1.69608046,0.71057235,0.65304317,0.00165139,0.10278462,0.24324160,0.47507878,0.44938577,0.00000000
-5.90395198,1.74533755,0.74406300,0.66683985,0.00169768,0.10786916,0.24465404,0.49156643,0.46336072,0.00000000
-5.89794897,1.79053593,0.77585016,0.67879360,0.00174028,0.11275396,0.24514755,0.50784060,0.47546564,0.00000000
-5.89194597,1.83128335,0.80555886,0.68883199,0.00177803,0.11736615,0.24473776,0.52383473,0.48550793,0.00000000
-5.88594297,1.86729657,0.83284454,0.69693189,0.00180993,0.12163571,0.24346298,0.53950326,0.49333153,0.00000000
-5.87993997,1.89840491,0.85740179,0.70311790,0.00183520,0.12549702,0.24138238,0.55482172,0.49882132,0.00000000
-5.87393697,1.92455052,0.87897240,0.70745917,0.00185326,0.12889051,0.23857371,0.56978574,0.50190650,0.00000000
-5.86793397,1.94578519,0.89735242,0.71006496,0.00186376,0.13176430,0.23513052,0.58440914,0.50256303,0.00000000
-5.86193097,1.96226379,0.91239788,0.71107873,0.00186653,0.13407576,0.23115911,0.59872102,0.50081483,0.00000000
-5.85592796,1.97423443,0.92402906,0.71067131,0.00186164,0.13579291,0.22677537,0.61276197,0.49673362,0.00000000
-5.84992496,1.98202582,0.93223289,0.70903313,0.00184933,0.13689562,0.22210146,0.62657971,0.49043754,0.00000000
-5.84392196,1.98603236,0.93706371,0.70636601,0.00183000,0.13737648,0.21726265,0.64022428,0.48208849,0.00000000
-5.83791896,1.98669766,0.93864209,0.70287485,0.00180421,0.13724134,0.21238429,0.65374309,0.47188814,0.00000000
-5.83191596,1.98449736,0.93715210,0.69875956,0.00177262,0.13650935,0.20758917,0.66717627,0.46007306,0.00000000
-5.82591296,1.97992214,0.93283701,0.69420774,0.00173597,0.13521270,0.20299520,0.68055248,0.44690884,0.00000000
-5.81990995,1.97346185,0.92599367,0.68938838,0.00169506,0.13339576,0.19871359,0.69388575,0.43268364,0.00000000
-5.81390695,1.96559149,0.91696606,0.68444698,0.00165072,0.13111391,0.19484754,0.70717332,0.41770130,0.00000000
-5.80790395,1.95675996,0.90613796,0.67950230,0.00160375,0.12843193,0.19149141,0.72039499,0.40227435,0.00000000
-5.80190095,1.94738191,0.89392533,0.67464487,0.00155496,0.12542206,0.18873046,0.73351399,0.38671710,0.00000000
-5.79589795,1.93783303,0.88076845,0.66993732,0.00150508,0.12216179,0.18664099,0.74647936,0.37133902,0.00000000
-5.78989495,1.92844895,0.86712415,0.66541643,0.00145482,0.11873154,0.18529081,0.75922985,0.35643867,0.00000000
-5.78389195,1.91952727,0.85345803,0.66109672,0.00140481,0.11521223,0.18474010,0.77169905,0.34229824,0.00000000
-5.77788894,1.91133246,0.84023695,0.65697521,0.00135562,0.11168292,0.18504226,0.78382159,0.32917888,0.00000000
-5.77188594,1.90410269,0.82792162,0.65303706,0.00130779,0.10821853,0.18624486,0.79553978,0.31731669,0.00000000
-5.76588294,1.89805786,0.81695924,0.64926157,0.00126176,0.10488783,0.18839043,0.80681052,0.30691958,0.00000000
-5.75987994,1.89340778,0.80777608,0.64562804,0.00121796,0.10175173,0.19151693,0.81761174,0.29816475,0.00000000
-5.75387694,1.89035939,0.80076984,0.64212112,0.00117680,0.09886187,0.19565789,0.82794800,0.29119689,0.00000000
-5.74787394,1.88912221,0.79630172,0.63873522,0.00113866,0.09625963,0.20084202,0.83785474,0.28612677,0.00000000
-5.74187094,1.88991119,0.79468816,0.63547751,0.00110390,0.09397552,0.20709236,0.84740081,0.28303040,0.00000000
-5.73586793,1.89294629,0.79619225,0.63236944,0.00107293,0.09202903,0.21442481,0.85668898,0.28194842,0.00000000
-5.72986493,1.89844857,0.80101491,0.62944659,0.00104615,0.09042877,0.22284624,0.86585420,0.28288584,0.00000000
-5.72386193,1.90663276,0.80928617,0.62675687,0.00102399,0.08917305,0.23235213,0.87505968,0.28581196,0.00000000
-5.71785893,1.91769666,0.82105680,0.62435717,0.00100694,0.08825065,0.24292401,0.88449080,0.29066059,0.00000000
-5.71185593,1.93180800,0.83629088,0.62230883,0.00099551,0.08764194,0.25452674,0.89434717,0.29733052,0.00000000
