energy_ev,total_up,Ag_p_up,Ag_d_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up
-6.00000000,4.51801392,0.58534580,1.01124034,0.54029660,2.80905064,0.01741287,0.03574349,0.30394829,0.00000000
-5.99399700,4.48827084,0.58105583,0.99428267,0.53508729,2.79614920,0.01741827,0.03498657,0.30673827,0.00000000
-5.98799400,4.44966790,0.57669796,0.98031542,0.52891243,2.77287367,0.01742868,0.03419405,0.30877774,0.00000000
-5.98199100,4.40261931,0.57222905,0.96948111,0.52179287,2.73951561,0.01744403,0.03337138,0.31001979,0.00000000
-5.97598799,4.34781956,0.56764448,0.96191859,0.51377766,2.69660327,0.01746405,0.03252636,0.31043975,0.00000000
-5.96998499,4.28622864,0.56298044,0.95775828,0.50494478,2.64489131,0.01748840,0.03166897,0.31003588,0.00000000
-5.96398199,4.21904695,0.55831453,0.95711621,0.49540087,2.58534349,0.01751693,0.03081094,0.30882926,0.00000000
-5.95797899,4.14768096,0.55376454,0.96008716,0.48528000,2.51910854,0.01754972,0.02996530,0.30686284,0.00000000
-5.95197599,4.07370126,0.54948577,0.96673747,0.47474144,2.44749041,0.01758727,0.02914589,0.30419973,0.00000000
-5.94597299,3.99879467,0.54566680,0.97709797,0.46396653,2.37191372,0.01763056,0.02836678,0.30092081,0.00000000
-5.93996998,3.92471256,0.54252427,0.99115749,0.45315473,2.29388579,0.01768106,0.02764165,0.29712185,0.00000000
-5.93396698,3.85321755,0.54029674,1.00885748,0.44251898,2.21495652,0.01774076,0.02698324,0.29291031,0.00000000
-5.92796398,3.78603066,0.53923802,1.03008811,0.43228052,2.13667763,0.01781213,0.02640282,0.28840177,0.00000000
-5.92196098,3.72478116,0.53961035,1.05468621,0.42266339,2.06056251,0.01789801,0.02590966,0.28371651,0.00000000
-5.91595798,3.67096078,0.54167749,1.08243520,0.41388878,1.98804815,0.01800157,0.02551064,0.27897603,0.00000000
-5.90995498,3.62588400,0.54569814,1.11306717,0.40616936,1.92046020,0.01812612,0.02520999,0.27429984,0.00000000
-5.90395198,3.59065549,0.55191971,1.14626706,0.39970387,1.85898230,0.01827501,0.02500903,0.26980261,0.00000000
-5.89794897,3.56614550,0.56057267,1.18167878,0.39467209,1.80463040,0.01845150,0.02490616,0.26559164,0.00000000
-5.89194597,3.55297361,0.57186527,1.21891285,0.39123027,1.75823264,0.01865860,0.02489688,0.26176481,0.00000000
-5.88594297,3.55150054,0.58597888,1.25755544,0.38950728,1.72041518,0.01889893,0.02497399,0.25840893,0.00000000
-5.87993997,3.56182787,0.60306364,1.29717794,0.38960138,1.69159400,0.01917464,0.02512786,0.25559853,0.00000000
