energy_ev,total_up,Bi_p_up,Bi_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,0.50915656,0.11379582,0.00108776,0.12937320,0.16903196,0.02385917,0.09794736
-5.99399700,0.50586203,0.11249511,0.00100026,0.12687216,0.17089567,0.02421621,0.09716039
-5.98799400,0.50274391,0.11091771,0.00092284,0.12458638,0.17253368,0.02460681,0.09669952
-5.98199100,0.49947554,0.10904836,0.00085458,0.12241972,0.17383469,0.02500065,0.09644858
-5.97598799,0.49576866,0.10688496,0.00079452,0.12028321,0.17470145,0.02536968,0.09629816
-5.96998499,0.49138297,0.10443873,0.00074165,0.11809790,0.17505404,0.02568882,0.09614879
-5.96398199,0.48613380,0.10173389,0.00069499,0.11579728,0.17483247,0.02593655,0.09591364
-5.95797899,0.47989742,0.09880677,0.00065361,0.11332903,0.17399852,0.02609537,0.09552073
-5.95197599,0.47261401,0.09570455,0.00061663,0.11065621,0.17253687,0.02615213,0.09491456
-5.94597299,0.46428821,0.09248352,0.00058326,0.10775780,0.17045546,0.02609820,0.09405710
-5.93996998,0.45498733,0.08920711,0.00055284,0.10462858,0.16778491,0.02592955,0.09292820
-5.93396698,0.44483721,0.08594364,0.00052480,0.10127847,0.16457730,0.02564661,0.09152531
-5.92796398,0.43401619,0.08276392,0.00049871,0.09773126,0.16090410,0.02525404,0.08986269
-5.92196098,0.42274711,0.07973882,0.00047424,0.09402292,0.15685357,0.02476035,0.08796999
-5.91595798,0.41128796,0.07693686,0.00045116,0.09019957,0.15252749,0.02417741,0.08589039
-5.90995498,0.39992135,0.07442189,0.00042937,0.08631508,0.14803754,0.02351990,0.08367826
-5.90395198,0.38894329,0.07225100,0.00040882,0.08242858,0.14350134,0.02280460,0.08139663
-5.89794897,0.37865159,0.07047259,0.00038956,0.07860189,0.13903836,0.02204978,0.07911425
-5.89194597,0.36933438,0.06912482,0.00037166,0.07489694,0.13476579,0.02127444,0.07690275
