energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.51503297,0.54500226,1.71413495,0.00772053,0.07377458,0.01113414,0.38549831,0.39494774,0.19617441
-5.99399700,2.48684276,0.53768052,1.68540452,0.00770450,0.07486798,0.01078874,0.38365135,0.39473102,0.19664380
-5.98799400,2.45875269,0.53147440,1.65754993,0.00766329,0.07577280,0.01047311,0.38178353,0.39500623,0.19659759
-5.98199100,2.42990551,0.52619240,1.62992940,0.00759895,0.07647787,0.01018238,0.37977305,0.39564461,0.19598920
-5.97598799,2.39950915,0.52163721,1.60194249,0.00751375,0.07697471,0.00991110,0.37750869,0.39650761,0.19478377
-5.96998499,2.36686434,0.51761303,1.57305207,0.00741006,0.07725751,0.00965357,0.37489291,0.39745106,0.19295927
-5.96398199,2.33138716,0.51393198,1.54280265,0.00729030,0.07732296,0.00940408,0.37184423,0.39832911,0.19050708
-5.95797899,2.29262635,0.51041965,1.51083486,0.00715684,0.07717011,0.00915722,0.36829893,0.39899796,0.18743203
-5.95197599,2.25027538,0.50691978,1.47689600,0.00701188,0.07680016,0.00890807,0.36421208,0.39931936,0.18375202
-5.94597299,2.20417959,0.50329807,1.44084675,0.00685746,0.07621628,0.00865241,0.35955805,0.39916388,0.17949723
-5.93996998,2.15433899,0.49944525,1.40266435,0.00669540,0.07542347,0.00838685,0.35433065,0.39841396,0.17470901
-5.93396698,2.10090717,0.49527960,1.36244242,0.00652731,0.07442852,0.00810899,0.34854291,0.39696683,0.16943858
-5.92796398,2.04418704,0.49074891,1.32038812,0.00635460,0.07323995,0.00781742,0.34222676,0.39473717,0.16374553
-5.92196098,1.98462405,0.48583210,1.27681671,0.00617855,0.07186811,0.00751177,0.33543250,0.39165962,0.15769632
-5.91595798,1.92279727,0.48054047,1.23214434,0.00600036,0.07032531,0.00719269,0.32822831,0.38769101,0.15136283
-5.90995498,1.85940902,0.47491871,1.18687903,0.00582127,0.06862602,0.00686177,0.32069964,0.38281227,0.14482090
-5.90395198,1.79527310,0.46904554,1.14161047,0.00564261,0.06678707,0.00652147,0.31294862,0.37703000,0.13814913
-5.89794897,1.73130200,0.46303396,1.09699870,0.00546592,0.06482791,0.00617499,0.30509329,0.37037745,0.13142775
-5.89194597,1.66849301,0.45703104,1.05376189,0.00529309,0.06277083,0.00582618,0.29726672,0.36291502,0.12473767
-5.88594297,1.60791332,0.45121707,1.01266337,0.00512636,0.06064112,0.00547934,0.28961582,0.35473002,0.11815972
-5.87993997,1.55068387,0.44580391,0.97449791,0.00496849,0.05846720,0.00513911,0.28229988,0.34593572,0.11177404
-5.87393697,1.49796202,0.44103258,0.94007727,0.00482275,0.05628062,0.00481032,0.27548860,0.33666957,0.10565956
-5.86793397,1.45092274,0.43716971,0.91021521,0.00469297,0.05411594,0.00449785,0.26935966,0.32709069,0.09989359
-5.86193097,1.41073842,0.43450303,0.88571185,0.00458354,0.05201057,0.00420649,0.26409579,0.31737653,0.09455144
-5.85592796,1.37855737,0.43333584,0.86733757,0.00449939,0.05000435,0.00394084,0.25988126,0.30771887,0.08970605
-5.84992496,1.35548109,0.43398040,0.85581657,0.00444592,0.04813909,0.00370517,0.25689792,0.29831923,0.08542762
-5.84392196,1.34254077,0.43675059,0.85181046,0.00442889,0.04645801,0.00350340,0.25532073,0.28938384,0.08178310
-5.83791896,1.34067332,0.44195379,0.85590195,0.00445433,0.04500495,0.00333895,0.25531315,0.28111839,0.07883573
-5.83191596,1.35069768,0.44988246,0.86857928,0.00452836,0.04382361,0.00321474,0.25702218,0.27372261,0.07664438
-5.82591296,1.37329198,0.46080557,0.89022167,0.00465703,0.04295665,0.00313312,0.26057360,0.26738517,0.07526280
-5.81990995,1.40897235,0.47496024,0.92108624,0.00484611,0.04244474,0.00309583,0.26606733,0.26227872,0.07473884
-5.81390695,1.45807419,0.49254405,0.96129709,0.00510087,0.04232561,0.00310401,0.27357328,0.25855559,0.07511347
-5.80790395,1.52073659,0.51370806,1.01083675,0.00542589,0.04263302,0.00315816,0.28312778,0.25634409,0.07641984
-5.80190095,1.59689069,0.53855113,1.06954059,0.00582476,0.04339583,0.00325812,0.29473091,0.25574563,0.07868216
-5.79589795,1.68625242,0.56711557,1.13709446,0.00629994,0.04463706,0.00340314,0.30834467,0.25683264,0.08191474
-5.78989495,1.78832022,0.59938431,1.21303584,0.00685246,0.04637295,0.00359179,0.32389231,0.25964744,0.08612083
-5.78389195,1.90237773,0.63527970,1.29675846,0.00748179,0.04861224,0.00382205,0.34125876,0.26420189,0.09129171
-5.77788894,2.02750160,0.67466382,1.38752048,0.00818562,0.05135540,0.00409128,0.36029217,0.27047783,0.09740573
-5.77188594,2.16257421,0.71734030,1.48445596,0.00895977,0.05459407,0.00439624,0.38080655,0.27842823,0.10442762
-5.76588294,2.30630074,0.76305736,1.58658914,0.00979811,0.05831061,0.00473316,0.40258542,0.28797885,0.11230787
-5.75987994,2.45723011,0.81151191,1.69285128,0.01069250,0.06247780,0.00509771,0.42538621,0.29903027,0.12098242
-5.75387694,2.61377897,0.86235434,1.80209922,0.01163286,0.06705878,0.00548509,0.44894536,0.31146020,0.13037260
-5.74787394,2.77425784,0.91519371,1.91313519,0.01260728,0.07200713,0.00589007,0.47298382,0.32512578,0.14038536
-5.74187094,2.93689864,0.96960308,2.02472700,0.01360214,0.07726718,0.00630704,0.49721273,0.33986598,0.15091383
-5.73586793,3.09988252,1.02512473,2.13562820,0.01460244,0.08277460,0.00673007,0.52133908,0.35550372,0.16183831
-5.72986493,3.26136745,1.08127501,2.24459733,0.01559203,0.08845715,0.00715301,0.54507109,0.37184792,0.17302752
-5.72386193,3.41951462,1.13754876,2.35041599,0.01655402,0.09423579,0.00756960,0.56812317,0.38869532,0.18434029
-5.71785893,3.57251343,1.19342332,2.45190528,0.01747120,0.10002588,0.00797351,0.59022030,0.40583208,0.19562759
-5.71185593,3.71860449,1.24836205,2.54794036,0.01832648,0.10573876,0.00835851,0.61110176,0.42303539,0.20673490
-5.70585293,3.85610069,1.30181773,2.63746315,0.01910338,0.11128339,0.00871852,0.63052408,0.44007499,0.21750479
-5.69984992,3.98340632,1.35323584,2.71949325,0.01978646,0.11656822,0.00904778,0.64826334,0.45671490,0.22777985
-5.69384692,4.09903438,1.40205823,2.79313718,0.02036186,0.12150320,0.00934094,0.66411676,0.47271541,0.23740570
-5.68784392,4.20162251,1.44772728,2.85759637,0.02081764,0.12600179,0.00959315,0.67790384,0.48783534,0.24623407
-5.68184092,4.28994773,1.48969097,2.91217407,0.02114421,0.12998303,0.00980019,0.68946695,0.50183496,0.25412598
-5.67583792,4.36294041,1.52740903,2.95628174,0.02133459,0.13337351,0.00995857,0.69867176,0.51447926,0.26095471
-5.66983492,4.41969770,1.56036034,2.98944482,0.02138464,0.13610926,0.01006556,0.70540742,0.52554198,0.26660869
-5.66383192,4.45949651,1.58805169,3.01130848,0.02129318,0.13813737,0.01011931,0.70958685,0.53480995,0.27099402
-5.65782891,4.48180607,1.61002774,3.02164311,0.02106199,0.13941747,0.01011885,0.71114708,0.54208804,0.27403677
