energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.78601238,0.00554531,0.11821093,0.51869053,0.96693643,0.47128788,0.00000000,0.56967806,0.06036594
-5.99399700,1.85049768,0.00563035,0.12250125,0.54219805,0.99977950,0.49152790,0.00000000,0.59690745,0.06293241
-5.98799400,1.91601913,0.00569581,0.12708437,0.56816139,1.03341886,0.51166514,0.00000000,0.62415963,0.06545629
-5.98199100,1.98126766,0.00574040,0.13188053,0.59610822,1.06719401,0.53131229,0.00000000,0.65089968,0.06788647
-5.97598799,2.04496013,0.00576319,0.13681536,0.62556638,1.10045955,0.55008487,0.00000000,0.67659307,0.07017309
-5.96998499,2.10587304,0.00576363,0.14182248,0.65607502,1.13260385,0.56761015,0.00000000,0.70071646,0.07226850
-5.96398199,2.16287609,0.00574161,0.14684573,0.68719591,1.16306742,0.58353637,0.00000000,0.72276901,0.07412837
-5.95797899,2.21496429,0.00569741,0.15184123,0.71852460,1.19136007,0.59754184,0.00000000,0.74228422,0.07571277
-5.95197599,2.26128753,0.00563181,0.15677895,0.74970085,1.21707646,0.60934384,0.00000000,0.75884155,0.07698715
-5.94597299,2.30117632,0.00554601,0.16164376,0.78041803,1.23990927,0.61870672,0.00000000,0.77207772,0.07792332
-5.93996998,2.33416255,0.00544172,0.16643588,0.81043082,1.25965928,0.62544903,0.00000000,0.78169696,0.07850024
-5.93396698,2.35999411,0.00532107,0.17117064,0.83956065,1.27624198,0.62944937,0.00000000,0.78747983,0.07870467
-5.92796398,2.37864248,0.00518670,0.17587748,0.86769863,1.28969006,0.63065055,0.00000000,0.78929016,0.07853162
-5.92196098,2.39030249,0.00504165,0.18059818,0.89480534,1.30015162,0.62906196,0.00000000,0.78707973,0.07798453
-5.91595798,2.39538399,0.00488942,0.18538431,0.92090742,1.30788388,0.62475986,0.00000000,0.78089030,0.07707523
-5.90995498,2.39449526,0.00473386,0.19029398,0.94609079,1.31324244,0.61788560,0.00000000,0.77085285,0.07582360
-5.90395198,2.38841859,0.00457919,0.19538802,0.97049063,1.31666635,0.60864172,0.00000000,0.75718394,0.07425696
-5.89794897,2.37807866,0.00442987,0.20072563,0.99427846,1.31865950,0.59728599,0.00000000,0.74017924,0.07240926
-5.89194597,2.36450500,0.00429059,0.20635979,1.01764675,1.31976896,0.58412368,0.00000000,0.72020447,0.07031996
-5.88594297,2.34878981,0.00416614,0.21233259,1.04079184,1.32056106,0.56949819,0.00000000,0.69768397,0.06803282
-5.87993997,2.33204302,0.00406133,0.21867077,1.06389596,1.32159637,0.55378053,0.00000000,0.67308743,0.06559446
-5.87393697,2.31534641,0.00398087,0.22538161,1.08710928,1.32340450,0.53735786,0.00000000,0.64691529,0.06305294
-5.86793397,2.29970893,0.00392927,0.23244960,1.11053310,1.32645991,0.52062172,0.00000000,0.61968333,0.06045623
-5.86193097,2.28602506,0.00391069,0.23983395,1.13420508,1.33115985,0.50395623,0.00000000,0.59190714,0.05785076
-5.85592796,2.27503828,0.00392881,0.24746720,1.15808743,1.33780543,0.48772674,0.00000000,0.56408701,0.05528012
-5.84992496,2.26731113,0.00398672,0.25525511,1.18205901,1.34658676,0.47226937,0.00000000,0.53669381,0.05278377
-5.84392196,2.26320318,0.00408677,0.26307789,1.20591172,1.35757274,0.45788181,0.00000000,0.51015648,0.05039610
-5.83791896,2.26285801,0.00423046,0.27079269,1.22935172,1.37070610,0.44481553,0.00000000,0.48485134,0.04814561
-5.83191596,2.26619932,0.00441832,0.27823750,1.25200550,1.38580375,0.43326982,0.00000000,0.46109372,0.04605438
