energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Li_s_up,Li_s_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.67441272,-3.16919839,0.02273808,-0.01983192,0.41084992,-0.42683345,2.64380897,-2.95294222,0.50711596,-0.41675688,0.24844482,-0.60407031,1.23309236,-1.63743200,0.00000000,-0.00000000
-5.99399700,2.62462490,-3.18426530,0.02369208,-0.01874792,0.40961460,-0.42953461,2.58861453,-2.98051545,0.50929228,-0.41525373,0.23233728,-0.59298281,1.19875294,-1.64649852,0.00000000,-0.00000000
-5.98799400,2.57350684,-3.18863576,0.02459835,-0.01772387,0.40754735,-0.43127954,2.52896742,-2.99872080,0.51135579,-0.41275060,0.21733294,-0.57980186,1.16452267,-1.64917168,0.00000000,-0.00000000
-5.98199100,2.52097084,-3.18206737,0.02543706,-0.01675645,0.40451823,-0.43205467,2.46481571,-3.00754095,0.51314257,-0.40920535,0.20351413,-0.56452541,1.13056890,-1.64530562,0.00000000,-0.00000000
-5.97598799,2.46686750,-3.16453639,0.02618859,-0.01584280,0.40040766,-0.43186517,2.39614244,-3.00713348,0.51447370,-0.40459854,0.19093078,-0.54719939,1.09700458,-1.63488416,0.00000000,-0.00000000
-5.96998499,2.41100831,-3.13624275,0.02683427,-0.01498070,0.39511274,-0.43073514,2.32298524,-2.99782631,0.51516288,-0.39893537,0.17960160,-0.52791829,1.06389346,-1.61802358,0.00000000,-0.00000000
-5.96398199,2.35318860,-3.09760553,0.02735701,-0.01416859,0.38855295,-0.42870684,2.24545287,-2.98010543,0.51502412,-0.39224650,0.16951601,-0.50682377,1.03125658,-1.59496996,0.00000000,-0.00000000
-5.95797899,2.29320969,-3.04924916,0.02774196,-0.01340565,0.38067477,-0.42583896,2.16373751,-2.95459527,0.51387930,-0.38458771,0.16063679,-0.48410130,0.99907956,-1.56609145,0.00000000,-0.00000000
-5.95197599,2.23089887,-2.99198096,0.02797709,-0.01269173,0.37145512,-0.42220398,2.07812216,-2.92203274,0.51156522,-0.37603832,0.15290331,-0.45997503,0.96732040,-1.53186569,0.00000000,-0.00000000
-5.94597299,2.16612659,-2.92676140,0.02805363,-0.01202730,0.36090342,-0.41788481,1.98898287,-2.88323605,0.50793982,-0.36669869,0.14623520,-0.43470124,0.93591724,-1.49286319,0.00000000,-0.00000000
