energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Li_s_up,Se_s_up,Se_p_up
4.81740870,3.93104546,0.02818562,0.27560120,2.19520495,2.57595491,0.45277452,0.17124496,0.30721662
4.82341171,3.90851059,0.02658980,0.27422270,2.17721364,2.57185469,0.45693535,0.16611177,0.30706909
4.82941471,3.88339753,0.02509428,0.27243102,2.15684472,2.56608622,0.46069280,0.16068874,0.30701469
4.83541771,3.85749449,0.02371677,0.27033983,2.13510434,2.55974270,0.46409354,0.15508229,0.30719603
4.84142071,3.83260042,0.02247238,0.26806648,2.11301996,2.55393577,0.46718730,0.14939971,0.30775423
4.84742371,3.81047694,0.02137364,0.26572877,2.09161408,2.54976480,0.47002585,0.14374670,0.30882488
4.85342671,3.79280302,0.02043040,0.26344188,2.07187913,2.54828747,0.47266224,0.13822496,0.31053428
4.85942971,3.78113325,0.01964985,0.26131546,2.05475423,2.55049221,0.47515024,0.13293006,0.31299599
4.86543272,3.77686062,0.01903661,0.25945099,2.04110419,2.55727327,0.47754402,0.12794956,0.31630776
4.87143572,3.78118436,0.01859272,0.25793951,2.03170109,2.56940849,0.47989794,0.12336149,0.32054885
4.87743872,3.79508304,0.01831777,0.25685964,2.02720860,2.58754027,0.48226628,0.11923305,0.32577780
4.88344172,3.81929315,0.01820892,0.25627602,2.02816912,2.61215972,0.48470306,0.11561970,0.33203058
4.88944472,3.85429318,0.01826107,0.25623810,2.03499374,2.64359415,0.48726160,0.11256451,0.33931925
4.89544772,3.90029310,0.01846689,0.25677930,2.04795504,2.68199780,0.48999388,0.11009786,0.34763099
4.90145073,3.95722928,0.01881699,0.25791667,2.06718266,2.72734614,0.49294959,0.10823732,0.35692760
4.90745373,4.02476479,0.01930002,0.25965079,2.09266167,2.77943351,0.49617495,0.10698786,0.36714552
4.91345673,4.10229506,0.01990281,0.26196620,2.12423375,2.83787445,0.49971111,0.10634230,0.37819626
4.91945973,4.18895903,0.02061060,0.26483212,2.16160115,2.90210878,0.50359237,0.10628190,0.38996744
4.92546273,4.28365579,0.02140719,0.26820367,2.20433358,2.97141061,0.50784422,0.10677724,0.40232437
4.93146573,4.38506670,0.02227520,0.27202330,2.25187783,3.04490135,0.51248127,0.10778924,0.41511217
4.93746873,4.49168299,0.02319636,0.27622273,2.30357026,3.12156689,0.51750531,0.10927035,0.42815857
4.94347174,4.60183852,0.02415180,0.28072504,2.35865199,3.20027874,0.52290356,0.11116588,0.44127725
4.94947474,4.71374735,0.02512236,0.28544716,2.41628644,3.27981912,0.52864727,0.11341551,0.45427173
4.95547774,4.82554543,0.02608901,0.29030237,2.47557910,3.35890933,0.53469089,0.11595487,0.46693982
