energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Sb_p_up,Sb_p_down,Sb_d_up,Sb_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.29588289,-1.33020565,0.73407264,-0.75202626,0.27594804,-0.28182154,0.35898110,-0.37053187,0.00468406,-0.00476049,0.50253382,-0.51446361,0.00000000,-0.00000000
-5.99399700,1.23442695,-1.26422036,0.70403282,-0.71932842,0.26300986,-0.26774361,0.33892917,-0.34966550,0.00457781,-0.00463896,0.48282554,-0.49250756,0.00000000,-0.00000000
-5.98799400,1.18151781,-1.20601851,0.67892668,-0.69118348,0.25225437,-0.25565974,0.32051203,-0.33024328,0.00450068,-0.00454450,0.46715828,-0.47429509,0.00000000,-0.00000000
-5.98199100,1.13828525,-1.15681848,0.65930037,-0.66818715,0.24394875,-0.24585175,0.30401738,-0.31258125,0.00445546,-0.00448025,0.45597181,-0.46029743,0.00000000,-0.00000000
-5.97598799,1.10566331,-1.11765184,0.64559129,-0.65083051,0.23832265,-0.23856619,0.28967410,-0.29693853,0.00444414,-0.00444860,0.44963504,-0.45091863,0.00000000,-0.00000000
-5.96998499,1.08438020,-1.08935094,0.63812408,-0.63949474,0.23556551,-0.23401138,0.27765075,-0.28351478,0.00446793,-0.00445116,0.44844137,-0.44649030,0.00000000,-0.00000000
-5.96398199,1.07495351,-1.07254208,0.63710955,-0.63444888,0.23582467,-0.23235532,0.26805610,-0.27244983,0.00452726,-0.00448875,0.45260546,-0.44726794,0.00000000,-0.00000000
-5.95797899,1.07768997,-1.06764357,0.64264610,-0.63585042,0.23920412,-0.23372432,0.26094128,-0.26382515,0.00462177,-0.00456143,0.46226133,-0.45342868,0.00000000,-0.00000000
-5.95197599,1.09268882,-1.07486785,0.65472327,-0.64374808,0.24576366,-0.23820211,0.25630352,-0.25766690,0.00475039,-0.00466851,0.47746149,-0.46507020,0.00000000,-0.00000000
-5.94597299,1.11984824,-1.09422698,0.67322685,-0.65808651,0.25551853,-0.24582939,0.25409085,-0.25395024,0.00491138,-0.00480862,0.49817695,-0.48221046,0.00000000,-0.00000000
-5.93996998,1.15887387,-1.12554040,0.69794508,-0.67871214,0.26843915,-0.25660367,0.25420762,-0.25260453,0.00510238,-0.00497977,0.52429782,-0.50478826,0.00000000,-0.00000000
-5.93396698,1.20928877,-1.16844453,0.72857562,-0.70537996,0.28445119,-0.27047926,0.25652041,-0.25351911,0.00532053,-0.00517940,0.55563448,-0.53266424,0.00000000,-0.00000000
-5.92796398,1.27044450,-1.22240333,0.76473274,-0.73776063,0.30343561,-0.28736732,0.26086414,-0.25654932,0.00556251,-0.00540449,0.59191912,-0.56562224,0.00000000,-0.00000000
