energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,2.61910750,0.00302001,0.32704616,0.71664951,1.78295726,0.02538315,0.44144569
-5.99399700,2.64131848,0.00304338,0.32742561,0.72674394,1.79290950,0.02591565,0.45023677
-5.98799400,2.66249051,0.00308819,0.32766509,0.73928334,1.80103477,0.02644710,0.45918347
-5.98199100,2.68159346,0.00315241,0.32759316,0.75383368,1.80661504,0.02697675,0.46818982
-5.97598799,2.69767719,0.00323386,0.32705093,0.76994250,1.80900895,0.02750410,0.47716082
-5.96998499,2.70989824,0.00333016,0.32589767,0.78714956,1.80767271,0.02802870,0.48600220
-5.96398199,2.71754107,0.00343882,0.32401532,0.80499579,1.80217675,0.02855012,0.49462025
-5.95797899,2.72003383,0.00355722,0.32131209,0.82303081,1.79221777,0.02906773,0.50292168
-5.95197599,2.71695843,0.00368267,0.31772472,0.84081878,1.77762617,0.02958065,0.51081374
-5.94597299,2.70805552,0.00381244,0.31321977,0.85794304,1.75836900,0.03008759,0.51820474
-5.93996998,2.69322463,0.00394380,0.30779374,0.87400965,1.73454850,0.03058677,0.52500503
-5.93396698,2.67252021,0.00407409,0.30147229,0.88865018,1.70639682,0.03107588,0.53112855
-5.92796398,2.64614430,0.00420073,0.29430847,0.90152411,1.67426735,0.03155206,0.53649493
-5.92196098,2.61443651,0.00432131,0.28638043,0.91232096,1.63862321,0.03201193,0.54103208
-5.91595798,2.57786205,0.00443365,0.27778843,0.92076263,1.60002355,0.03245167,0.54467924
-5.90995498,2.53699841,0.00453584,0.26865157,0.92660587,1.55910824,0.03286715,0.54739028
-5.90395198,2.49252114,0.00462634,0.25910419,0.92964518,1.51658144,0.03325411,0.54913709
-5.89794897,2.44518922,0.00470403,0.24929227,0.92971584,1.47319468,0.03360836,0.54991289
-5.89194597,2.39583005,0.00476825,0.23936975,0.92669723,1.42972973,0.03392597,0.54973512
-5.88594297,2.34532425,0.00481888,0.22949501,0.92051600,1.38698164,0.03420355,0.54864771
-5.87993997,2.29459017,0.00485632,0.21982743,0.91114902,1.34574220,0.03443845,0.54672257
-5.87393697,2.24456788,0.00488156,0.21052419,0.89862570,1.30678391,0.03462895,0.54405991
-5.86793397,2.19620261,0.00489616,0.20173723,0.88302943,1.27084458,0.03477445,0.54078740
-5.86193097,2.15042726,0.00490221,0.19361044,0.86449780,1.23861259,0.03487555,0.53705794
-5.85592796,2.10814401,0.00490231,0.18627698,0.84322157,1.21071283,0.03493409,0.53304607
-5.84992496,2.07020490,0.00489951,0.17985680,0.81944200,1.18769338,0.03495313,0.52894293
-5.84392196,2.03739156,0.00489718,0.17445435,0.79344666,1.17001288,0.03493684,0.52495008
-5.83791896,2.01039441,0.00489895,0.17015643,0.76556376,1.15802894,0.03489032,0.52127220
-5.83191596,1.98979178,0.00490858,0.16703027,0.73615511,1.15198756,0.03481934,0.51810906
-5.82591296,1.97602982,0.00492980,0.16512182,0.70560798,1.15201408,0.03473005,0.51564697
-5.81990995,1.96940381,0.00496618,0.16445439,0.67432627,1.15810585,0.03462866,0.51405037
-5.81390695,1.97004212,0.00502100,0.16502766,0.64272126,1.17012715,0.03452105,0.51345359
-5.80790395,1.97789372,0.00509708,0.16681711,0.61120246,1.18780681,0.03441246,0.51395369
-5.80190095,1.99272042,0.00519664,0.16977408,0.58016891,1.21073902,0.03430718,0.51560434
-5.79589795,2.01409458,0.00532121,0.17382636,0.55000139,1.23838768,0.03420826,0.51841153
-5.78989495,2.04140338,0.00547151,0.17887960,0.52105576,1.27009468,0.03411734,0.52233110
