energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.98833203,0.11819097,0.01500350,0.00375658,0.00000000,0.07914214,0.25454642,0.31379289,2.09926428
-5.99399700,2.71295840,0.10939526,0.01347367,0.00339983,0.00000000,0.07093227,0.23160460,0.28879128,1.90243637
-5.98799400,2.45691621,0.10143432,0.01201991,0.00306125,0.00000000,0.06315370,0.21021073,0.26586543,1.71939602
-5.98199100,2.22185235,0.09438321,0.01065215,0.00274357,0.00000000,0.05585496,0.19052288,0.24521575,1.55124273
-5.97598799,2.00888695,0.08829304,0.00937764,0.00244887,0.00000000,0.04907085,0.17265213,0.22698129,1.39871399
-5.96998499,1.81862324,0.08319087,0.00820114,0.00217853,0.00000000,0.04282302,0.15666353,0.21123997,1.26219257
-5.96398199,1.65117109,0.07908027,0.00712499,0.00193335,0.00000000,0.03712086,0.14257822,0.19801029,1.14172340
-5.95797899,1.50618182,0.07594225,0.00614942,0.00171351,0.00000000,0.03196266,0.13037645,0.18725428,1.03703826
-5.95197599,1.38289210,0.07373676,0.00527278,0.00151866,0.00000000,0.02733704,0.12000148,0.17888162,0.94758676
-5.94597299,1.28017452,0.07240450,0.00449184,0.00134800,0.00000000,0.02322447,0.11136390,0.17275463,0.87257186
-5.93996998,1.19659288,0.07186910,0.00380206,0.00120033,0.00000000,0.01959890,0.10434652,0.16869406,0.81098844
-5.93396698,1.13046009,0.07203955,0.00319793,0.00107413,0.00000000,0.01642928,0.09880938,0.16648549,0.76166352
-5.92796398,1.07989700,0.07281290,0.00267325,0.00096766,0.00000000,0.01368108,0.09459492,0.16588619,0.72329687
-5.92196098,1.04289074,0.07407712,0.00222135,0.00087899,0.00000000,0.01131770,0.09153309,0.16663218,0.69450105
-5.91595798,1.01735126,0.07571406,0.00183539,0.00080610,0.00000000,0.00930166,0.08944635,0.16844562,0.67383996
-5.90995498,1.00116510,0.07760249,0.00150854,0.00074693,0.00000000,0.00759567,0.08815446,0.17104211,0.65986517
-5.90395198,0.99224546,0.07962118,0.00123416,0.00069944,0.00000000,0.00616352,0.08747892,0.17413790,0.65114961
-5.89794897,0.98857807,0.08165185,0.00100592,0.00066165,0.00000000,0.00497072,0.08724710,0.17745689,0.64631800
-5.89194597,0.98826196,0.08358203,0.00081799,0.00063169,0.00000000,0.00398503,0.08729599,0.18073723,0.64407384
-5.88594297,0.98954502,0.08530774,0.00066503,0.00060784,0.00000000,0.00317684,0.08747539,0.18373740,0.64322250
-5.87993997,0.99085369,0.08673587,0.00054234,0.00058852,0.00000000,0.00251931,0.08765074,0.18624163,0.64269040
-5.87393697,0.99081659,0.08778618,0.00044585,0.00057233,0.00000000,0.00198850,0.08770537,0.18806455,0.64153992
-5.86793397,0.98828186,0.08839302,0.00037220,0.00055810,0.00000000,0.00156333,0.08754226,0.18905496,0.63898013
-5.86193097,0.98232813,0.08850641,0.00031875,0.00054481,0.00000000,0.00122548,0.08708521,0.18909862,0.63437310
-5.85592796,0.97226905,0.08809286,0.00028358,0.00053167,0.00000000,0.00095923,0.08627954,0.18812002,0.62723608
-5.84992496,0.95765175,0.08713543,0.00026556,0.00051808,0.00000000,0.00075128,0.08509225,0.18608309,0.61723948
-5.84392196,0.93824926,0.08563352,0.00026436,0.00050360,0.00000000,0.00059051,0.08351167,0.18299089,0.60420101
-5.83791896,0.91404766,0.08360196,0.00028046,0.00048800,0.00000000,0.00046777,0.08154673,0.17888429,0.58807627
-5.83191596,0.88522843,0.08106978,0.00031525,0.00047120,0.00000000,0.00037564,0.07922579,0.17383981,0.56894624
-5.82591296,0.85214689,0.07807856,0.00037106,0.00045324,0.00000000,0.00030822,0.07659516,0.16796665,0.54700219
-5.81990995,0.81530754,0.07468044,0.00045119,0.00043434,0.00000000,0.00026092,0.07371741,0.16140309,0.52252862
-5.81390695,0.77533737,0.07093587,0.00056006,0.00041478,0.00000000,0.00023031,0.07066945,0.15431251,0.49588489
-5.80790395,0.73295810,0.06691134,0.00070322,0.00039497,0.00000000,0.00021390,0.06754054,0.14687907,0.46748624
-5.80190095,0.68895834,0.06267692,0.00088742,0.00037538,0.00000000,0.00021004,0.06443026,0.13930323,0.43778486
-5.79589795,0.64416666,0.05830395,0.00112074,0.00035654,0.00000000,0.00021779,0.06144652,0.13179746,0.40725159
-5.78989495,0.59942626,0.05386287,0.00141254,0.00033906,0.00000000,0.00023681,0.05870359,0.12458191,0.37635900
-5.78389195,0.55557208,0.04942120,0.00177358,0.00032353,0.00000000,0.00026726,0.05632021,0.11788042,0.34556617
-5.77788894,0.51341058,0.04504189,0.00221588,0.00031060,0.00000000,0.00030973,0.05441782,0.11191683,0.31530558
-5.77188594,0.47370279,0.04078186,0.00275278,0.00030092,0.00000000,0.00036518,0.05311878,0.10691151,0.28597243
-5.76588294,0.43715040,0.03669104,0.00339868,0.00029512,0.00000000,0.00043486,0.05254466,0.10307822,0.25791650
-5.75987994,0.40438496,0.03281159,0.00416893,0.00029384,0.00000000,0.00052024,0.05281449,0.10062105,0.23143647
-5.75387694,0.37595998,0.02917760,0.00507950,0.00029768,0.00000000,0.00062297,0.05404286,0.09973160,0.20677672
-5.74787394,0.35234539,0.02581501,0.00614661,0.00030720,0.00000000,0.00074477,0.05633798,0.10058602,0.18412628
-5.74187094,0.33392400,0.02274180,0.00738627,0.00032293,0.00000000,0.00088741,0.05979943,0.10334206,0.16361974
-5.73586793,0.32098947,0.01996852,0.00881373,0.00034532,0.00000000,0.00105260,0.06451569,0.10813584,0.14533975
-5.72986493,0.31374523,0.01749883,0.01044283,0.00037476,0.00000000,0.00124189,0.07056153,0.11507844,0.12932077
-5.72386193,0.31230409,0.01533030,0.01228532,0.00041155,0.00000000,0.00145661,0.07799497,0.12425222,0.11555360
-5.71785893,0.31668804,0.01345523,0.01435011,0.00045587,0.00000000,0.00169779,0.08685425,0.13570689,0.10399062
-5.71185593,0.32682822,0.01186148,0.01664246,0.00050779,0.00000000,0.00196601,0.09715458,0.14945555,0.09455106
-5.70585293,0.34256485,0.01053338,0.01916326,0.00056725,0.00000000,0.00226135,0.10888500,0.16547070,0.08712638
-5.69984992,0.36364741,0.00945247,0.02190830,0.00063402,0.00000000,0.00258332,0.12200542,0.18368052,0.08158536
-5.69384692,0.38973520,0.00859829,0.02486764,0.00070773,0.00000000,0.00293075,0.13644404,0.20396571,0.07777886
-5.68784392,0.42039858,0.00794901,0.02802514,0.00078780,0.00000000,0.00330173,0.15209539,0.22615709,0.07554413
-5.68184092,0.45512151,0.00748205,0.03135814,0.00087351,0.00000000,0.00369364,0.16881919,0.25003431,0.07470869
-5.67583792,0.49330571,0.00717455,0.03483739,0.00096393,0.00000000,0.00410305,0.18644023,0.27532595,0.07509377
-5.66983492,0.53427688,0.00700377,0.03842718,0.00105797,0.00000000,0.00452584,0.20474940,0.30171132,0.07651741
-5.66383192,0.57729360,0.00694744,0.04208580,0.00115437,0.00000000,0.00495717,0.22350615,0.32882404,0.07879726
-5.65782891,0.62155894,0.00698405,0.04576630,0.00125173,0.00000000,0.00539165,0.24244228,0.35625765,0.08175317
-5.65182591,0.66623506,0.00709302,0.04941750,0.00134852,0.00000000,0.00582340,0.26126719,0.38357318,0.08520979
-5.64582291,0.71046091,0.00725493,0.05298529,0.00144315,0.00000000,0.00624630,0.27967459,0.41030869,0.08899901
-5.63981991,0.75337248,0.00745165,0.05641425,0.00153396,0.00000000,0.00665409,0.29735035,0.43599041,0.09296253
-5.63381691,0.79412558,0.00766649,0.05964939,0.00161932,0.00000000,0.00704070,0.31398141,0.46014545,0.09695451
-5.62781391,0.83192023,0.00788426,0.06263811,0.00169761,0.00000000,0.00740042,0.32926553,0.48231527,0.10084421
-5.62181091,0.86602613,0.00809144,0.06533222,0.00176734,0.00000000,0.00772818,0.34292135,0.50206983,0.10451879
-5.61580790,0.89580818,0.00827623,0.06768995,0.00182717,0.00000000,0.00801987,0.35469853,0.51902148,0.10788603
-5.60980490,0.92075118,0.00842861,0.06967794,0.00187592,0.00000000,0.00827253,0.36438756,0.53283828,0.11087700
-5.60380190,0.94048269,0.00854043,0.07127300,0.00191269,0.00000000,0.00848464,0.37182877,0.54325591,0.11344865
-5.59779890,0.95479319,0.00860540,0.07246365,0.00193683,0.00000000,0.00865634,0.37692023,0.55008785,0.11558599
-5.59179590,0.96365251,0.00861912,0.07325144,0.00194801,0.00000000,0.00878961,0.37962421,0.55323310,0.11730412
-5.58579290,0.96722206,0.00857907,0.07365174,0.00194621,0.00000000,0.00888843,0.37997184,0.55268132,0.11864965
-5.57978989,0.96586206,0.00848449,0.07369420,0.00193176,0.00000000,0.00895889,0.37806594,0.54851484,0.11970169
-5.57378689,0.96013363,0.00833635,0.07342279,0.00190530,0.00000000,0.00900923,0.37408178,0.54090762,0.12057223
-5.56778389,0.95079547,0.00813719,0.07289527,0.00186782,0.00000000,0.00904982,0.36826583,0.53012114,0.12140584
