energy_ev,total_up,Au_p_up,Au_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-1.56978489,4.19554535,0.74838722,0.61510624,1.12291270,2.22098490,0.12679195,0.36962679,0.93754544,0.00000000
-1.56378189,4.15415886,0.74434136,0.60547407,1.08220991,2.20746362,0.12825729,0.36742330,0.90925422,0.00000000
-1.55777889,4.10477077,0.73987652,0.59577147,1.04002652,2.18691112,0.12926223,0.36615532,0.87845900,0.00000000
-1.55177589,4.04716899,0.73492276,0.58594274,0.99676892,2.15921771,0.12976446,0.36571498,0.84544570,0.00000000
-1.54577289,3.98125175,0.72942265,0.57592744,0.95283398,2.12438203,0.12972977,0.36597930,0.81052713,0.00000000
-1.53976988,3.90704176,0.72333259,0.56566428,0.90860277,2.08251713,0.12913385,0.36681379,0.77403610,0.00000000
-1.53376688,3.82469695,0.71662312,0.55509481,0.86443513,2.03385347,0.12796359,0.36807623,0.73631825,0.00000000
-1.52776388,3.73451665,0.70927825,0.54416688,0.82066526,1.97873843,0.12621805,0.36962069,0.69772501,0.00000000
-1.52176088,3.63694305,0.70129403,0.53283757,0.77759807,1.91763206,0.12390889,0.37130162,0.65860667,0.00000000
-1.51575788,3.53255739,0.69267649,0.52107561,0.73550658,1.85109914,0.12106027,0.37297791,0.61930587,0.00000000
-1.50975488,3.42207106,0.68343910,0.50886320,0.69463003,1.77979770,0.11770834,0.37451679,0.58015155,0.00000000
-1.50375188,3.30631186,0.67360021,0.49619703,0.65517291,1.70446427,0.11390007,0.37579747,0.54145353,0.00000000
-1.49774887,3.18620615,0.66318052,0.48308881,0.61730460,1.62589651,0.10969183,0.37671443,0.50349786,0.00000000
-1.49174587,3.06275749,0.65220101,0.46956504,0.58115975,1.54493392,0.10514749,0.37718020,0.46654296,0.00000000
-1.48574287,2.93702294,0.64068142,0.45566631,0.54683922,1.46243735,0.10033637,0.37712761,0.43081662,0.00000000
-1.47973987,2.81008804,0.62863961,0.44144611,0.51441156,1.37926826,0.09533089,0.37651137,0.39651392,0.00000000
-1.47373687,2.68304150,0.61609170,0.42696930,0.48391495,1.29626852,0.09020437,0.37530902,0.36379610,0.00000000
-1.46773387,2.55695078,0.60305308,0.41231028,0.45535956,1.21424158,0.08502869,0.37352107,0.33279024,0.00000000
-1.46173087,2.43283932,0.58954031,0.39755108,0.42873015,1.13393566,0.07987229,0.37117051,0.30358981,0.00000000
-1.45572786,2.31166632,0.57557362,0.38277930,0.40398904,1.05602960,0.07479831,0.36830152,0.27625595,0.00000000
-1.44972486,2.19430961,0.56117984,0.36808614,0.38107911,0.98112168,0.06986303,0.36497751,0.25081944,0.00000000
-1.44372186,2.08155195,0.54639553,0.35356445,0.35992695,0.90972175,0.06511476,0.36127859,0.22728313,0.00000000
-1.43771886,1.97407090,0.53126997,0.33930686,0.34044598,0.84224655,0.06059299,0.35729848,0.20562486,0.00000000
-1.43171586,1.87243224,0.51586773,0.32540408,0.32253949,0.77901827,0.05632803,0.35314092,0.18580062,0.00000000
-1.42571286,1.77708681,0.50027053,0.31194333,0.30610349,0.72026601,0.05234095,0.34891588,0.16774789,0.00000000
-1.41970985,1.68837031,0.48457810,0.29900690,0.29102935,0.66612973,0.04864386,0.34473551,0.15138902,0.00000000
-1.41370685,1.60650572,0.46890801,0.28667084,0.27720616,0.61666639,0.04524056,0.34071011,0.13663452,0.00000000
-1.40770385,1.53160802,0.45339416,0.27500382,0.26452280,0.57185757,0.04212730,0.33694420,0.12338623,0.00000000
-1.40170085,1.46369045,0.43818408,0.26406607,0.25286967,0.53161830,0.03929387,0.33353284,0.11154023,0.00000000
-1.39569785,1.40267226,0.42343499,0.25390849,0.24214015,0.49580643,0.03672465,0.33055836,0.10098952,0.00000000
-1.38969485,1.34838719,0.40930887,0.24457190,0.23223169,0.46423221,0.03439990,0.32808761,0.09162630,0.00000000
-1.38369185,1.30059265,0.39596666,0.23608642,0.22304676,0.43666766,0.03229687,0.32616976,0.08334398,0.00000000
-1.37768884,1.25897918,0.38356199,0.22847101,0.21449350,0.41285544,0.03039104,0.32483484,0.07603885,0.00000000
-1.37168584,1.22317991,0.37223467,0.22173317,0.20648620,0.39251701,0.02865716,0.32409292,0.06961140,0.00000000
-1.36568284,1.19278009,0.36210432,0.21586881,0.19894574,0.37535992,0.02707024,0.32393402,0.06396737,0.00000000
-1.35967984,1.16732630,0.35326453,0.21086238,0.19179988,0.36108417,0.02560641,0.32432872,0.05901850,0.00000000
-1.35367684,1.14633543,0.34577779,0.20668703,0.18498347,0.34938759,0.02424356,0.32522930,0.05468307,0.00000000
-1.34767384,1.12930329,0.33967157,0.20330512,0.17843875,0.33997036,0.02296193,0.32657150,0.05088619,0.00000000
-1.34167084,1.11571289,0.33493574,0.20066881,0.17211549,0.33253875,0.02174449,0.32827670,0.04756003,0.00000000
-1.33566783,1.10504221,0.33152148,0.19872080,0.16597125,0.32680807,0.02057718,0.33025434,0.04464373,0.00000000
